osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist,casino_nearestnode
821402819,4,,,POINT (-76.99993430000001 -12.0274095),437360405,0.02109599349560473,823974191
821402820,4,,,POINT (-77.0000419 -12.0268924),437360405,0.020569317976432317,823974191
821402821,4,,,POINT (-77.00027059999999 -12.025865),437360405,0.01951893638506047,823974191
821402822,4,traffic_signals,,POINT (-77.0003925 -12.0253796),437360405,0.01901885124528092,823974191
9029262533,3,,,POINT (-76.8334231 -12.0107391),438031676,0.12102735267524152,1273875162
821402824,3,,,POINT (-77.000846 -12.0231203),437360405,0.016724586493532763,823974191
4282227907,3,,,POINT (-76.95793569999999 -12.128598),437512132,0.02359062793021049,393863589
1804901584,3,,,POINT (-76.991862 -12.0147146),437360405,0.015828364100055378,823974191
1273732308,4,,,POINT (-76.9456005 -12.1465581),437647280,0.018928845635233373,1273804105
1804901591,3,,,POINT (-76.99703510000001 -12.0147477),437360405,0.011577874467378598,823974191
3023740122,3,,,POINT (-77.0865263 -12.0886634),435213831,0.010702299737475857,611484217
1727274204,3,,,POINT (-76.9595944 -12.161835),437647280,0.0023369350134613675,1273804105
3023740129,3,,,POINT (-77.0853549 -12.0892023),435213831,0.010917558647019944,611484217
416652514,4,,,POINT (-77.0132467 -12.0570884),438861899,0.006059682292003421,4354479069
3023740130,3,,,POINT (-77.0862296 -12.0887999),435213831,0.01074260725302448,611484217
3023740132,3,,,POINT (-77.0859375 -12.0889343),435213831,0.010791817744995364,611484217
5027405030,3,,,POINT (-77.0081562 -11.863619),4336173733,0.046331282364830126,5762815525
416652519,3,,,POINT (-77.0231301 -12.0601569),438861899,0.007856204697567155,4354479069
416652521,3,,,POINT (-77.0238798 -12.0584703),4139069972,0.00888246100244273,416637968
416652522,3,,,POINT (-77.0238368 -12.0592739),4139069972,0.008281243796674156,416637968
416652523,4,,,POINT (-77.0237849 -12.0601382),4139069972,0.007680323519226402,416637968
1727274220,3,,,POINT (-76.95991239999999 -12.1626548),437647280,0.0031893686995825964,1273804105
1804901612,3,,,POINT (-76.9944916 -12.0152952),437360405,0.013911136814022049,823974191
4578581741,3,,,POINT (-77.0503755 -12.0864269),436318203,0.008752804359227356,263384503
416652524,4,,,POINT (-77.0237329 -12.0610858),4139069972,0.0070810153226741075,416637968
1804901620,3,,,POINT (-76.99448700000001 -12.0154423),437360405,0.0140016570552114,823974191
4865137909,3,,,POINT (-76.93838390000001 -12.1334716),437647280,0.03346348782808748,1273804105
416652534,4,,,POINT (-77.024541 -12.0602216),4139069972,0.007103582465908001,416637968
