osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist
1305701551,3,,,POINT (-77.06010879999999 -11.9414716),4337198303,0.0011087444791320375
1746791596,4,,,POINT (-76.97392240000001 -12.0454103),437866700,0.010461012499402633
263122098,4,,,POINT (-77.0374051 -12.0839465),4346394298,0.0017051223651116548
1305701554,3,,,POINT (-77.0520349 -11.9248993),436480411,0.01026113610433572
263122100,4,traffic_signals,,POINT (-77.0357449 -12.0837275),4346394298,0.0008541396841267876
263122101,4,traffic_signals,,POINT (-77.034695 -12.0835858),4346394298,0.0014976229498768223
263122102,4,traffic_signals,,POINT (-77.03452540000001 -12.0835692),4346394298,0.0016449879817111925
263122103,4,traffic_signals,,POINT (-77.0334739 -12.083417),436280301,0.0024830699024288015
1273818292,3,,,POINT (-77.0497285 -11.898869),4336173733,0.010914281199424489
263122105,4,traffic_signals,,POINT (-77.0268597 -12.0825197),438010559,0.0036825728436228385
1305701562,3,,,POINT (-77.05387229999999 -11.9307334),436480411,0.00874228226162246
1156771003,4,traffic_signals,,POINT (-77.0389672 -11.8926325),4336173733,0.005714325062508276
1746791610,4,,,POINT (-76.9733244 -12.0467843),560845933,0.01030738371113778
1746791609,4,,,POINT (-76.9779746 -12.046625),560845933,0.01434553880116332
1305701566,3,,,POINT (-77.06434230000001 -11.9870129),4493353239,0.00403279443686492
1305701567,3,,,POINT (-77.0606039 -11.9450579),4337198303,0.002774831630928783
2469883074,3,,,POINT (-77.1085849 -11.9658672),4366593002,0.024663104340083876
1305701570,3,,,POINT (-77.0531786 -11.9290086),436480411,0.00864819355297789
1156771011,4,,,POINT (-77.0304182 -11.8992921),4336173733,0.008461758857349165
2469883078,4,,,POINT (-77.10894620000001 -11.966085),4366593002,0.025021901525269737
1273490631,3,,,POINT (-77.1158197 -12.041845),435879639,0.031067888639546362
1345350854,4,,,POINT (-76.9890688 -11.937264),437508602,0.011108111066467826
1156771017,4,traffic_signals,,POINT (-77.0390609 -11.8925528),4336173733,0.00579702873030612
1381395662,5,,,POINT (-77.0860168 -11.9494821),4366593002,0.016906319604513782
1305701584,3,,,POINT (-77.0828077 -11.9687591),4366593002,0.0027388202204576984
2469883089,3,,,POINT (-77.109604 -11.9664919),4366593002,0.025680160676488258
263122130,4,,,POINT (-77.0275656 -12.0825327),438010559,0.004359510837392412
263122131,4,traffic_signals,,POINT (-77.0334811 -12.083342),436280301,0.0025313392810250245
1758293204,3,,,POINT (-77.1369887 -11.8416546),435198459,0.06516998075774753
263122132,4,traffic_signals,,POINT (-77.0357592 -12.0836395),4346394298,0.0007667897038943342
263122134,3,,,POINT (-77.03805610000001 -12.0839608),4346394298,0.002266917345212758
485616856,4,,,POINT (-77.0032643 -12.0908793),439197471,0.0008709946019738319
263122129,4,traffic_signals,,POINT (-77.0268981 -12.0824221),438010559,0.0036884995059855165
1273720023,4,,,POINT (-76.96663789999999 -12.1367311),437376427,0.01752541363087154
4042550491,4,traffic_signals,,POINT (-77.00002979999999 -12.1118697),416304612,0.0064791022841930185
1156771034,4,traffic_signals,,POINT (-77.03995759999999 -11.9008043),4336173733,0.002706727411469321
