osmid,street_count,highway,ref,geometry,bank_osmid,bank_dist
3804479858,4,traffic_signals,,POINT (-77.0990772 -12.0401364),7335358985,0.010235360254525032
1273708919,3,,,POINT (-76.97715460000001 -12.1314166),5175518123,0.005066320113257084
8227144056,3,,,POINT (-76.9561712 -12.1266943),6933311385,0.018661487663098265
1385873787,3,,,POINT (-77.1013626 -11.9825765),4806813122,0.01905948461895475
1385873797,3,,,POINT (-77.1104519 -11.9827146),5064371778,0.025086829845362223
4367139208,4,,,POINT (-76.9574544 -12.1979433),6416609277,0.006450232259387447
1617117577,4,,,POINT (-77.0068746 -11.8618408),4574298791,0.01481814628251409
1385873801,4,,,POINT (-77.1013083 -11.9828217),4806813122,0.01908157625276528
1617117582,3,,,POINT (-77.0085389 -11.8640181),4574298791,0.01207973004540973
1834697104,4,,,POINT (-77.0082534 -12.0847406),4766071925,0.0031280286139986836
4357931410,3,,,POINT (-77.07972100000001 -12.0315264),438659447,0.002798916226120252
4357931411,3,,,POINT (-77.0795547 -12.0315478),438659447,0.002966437215054254
1617117588,3,,,POINT (-77.0106703 -11.8653983),4574298791,0.009775411599006776
1273741719,3,,,POINT (-77.0541813 -12.0593022),4336231305,0.004506975615640118
1617117595,4,,,POINT (-77.0320743 -11.8762909),435682276,0.013398248396581991
471056797,3,,,POINT (-76.9372223 -12.0711156),6016071511,0.0015989806909419723
3777708448,3,,,POINT (-76.9758612 -12.1762923),437882271,0.00937069919504511
3951804837,3,,,POINT (-77.0285894 -12.0331935),4207170241,0.007233709804792368
821379495,4,traffic_signals,,POINT (-77.01100750000001 -12.0277472),1863374482,0.0035753436883864667
471056808,3,,,POINT (-76.9379618 -12.0684758),6016071511,0.0013724158699175242
1827979690,4,,,POINT (-77.0219515 -12.1785041),4351706147,0.004795772535266682
471056810,4,,,POINT (-76.9384769 -12.0667852),6016071511,0.003076118029270725
2053915052,4,,,POINT (-77.04243750000001 -12.0508213),4336154432,0.00390100684951881
2053915053,4,,,POINT (-77.042329 -12.0508338),4336154432,0.0039048569167148524
4067049910,3,,,POINT (-76.99842390000001 -12.1359674),4334059265,0.001656478922299485
4067049915,3,,,POINT (-76.9984986 -12.1360737),4334059265,0.0017711630642098912
1287274943,4,,,POINT (-77.0233324 -12.2024406),512156980,0.010112448384656846
417251778,4,,,POINT (-77.0014717 -12.1020037),438894295,0.0007546066453031464
1827979718,4,,,POINT (-77.02162389999999 -12.1798993),4351706147,0.005366948709460679
4015833549,4,,,POINT (-77.1045795 -12.0633567),2725999757,0.0070565103571050255
6467338702,3,,,POINT (-76.92402060000001 -12.2464289),4749883422,0.006830428542923435
6467338703,4,,,POINT (-76.925355 -12.2441792),4749883422,0.008723657985617443
6467338704,4,,,POINT (-76.9259989 -12.2430934),4749883422,0.009757600427360735
6467338705,4,,,POINT (-76.9253112 -12.2442532),4749883422,0.008655388146699895
4015833550,3,,,POINT (-77.10454989999999 -12.0634952),2725999757,0.00701914909443178
1385873870,3,,,POINT (-77.100167 -11.9835811),4806813122,0.018260681830098074
4067049941,3,,,POINT (-76.9992147 -12.1390728),4334059265,0.004455825420725471
6467338709,4,,,POINT (-76.92581029999999 -12.2428824),4749883422,0.009977176310962801
6467338711,4,,,POINT (-76.92604470000001 -12.2430163),4749883422,0.009833044190381581
4352786902,4,,,POINT (-76.9269962 -12.2074035),4399169379,0.0033457741226767023
6467338714,4,,,POINT (-76.92444329999999 -12.2457162),4749883422,0.00738261231949978
1273938389,3,,,POINT (-76.97144659999999 -12.044502),6064995185,0.006231573915144455
896796346,3,,,POINT (-77.09791989999999 -12.0457564),7335358985,0.015219674915382238
6467338717,4,,,POINT (-76.92691739999999 -12.2415448),4103814916,0.010940035525535572
2053915102,4,traffic_signals,,POINT (-77.0421151 -12.0544774),4336154432,0.000876459154781069
2053915101,4,traffic_signals,,POINT (-77.0420091 -12.0544671),4336154432,0.000981977840892475
4015833567,3,,,POINT (-77.10464450000001 -12.0628942),2725999757,0.007166516250593483
1784889833,4,,,POINT (-76.9894512 -12.1949694),5800088411,0.01562621485612585
1784889835,4,,,POINT (-76.9901414 -12.1957484),5800088411,0.015717938174262407
1784889836,3,,,POINT (-76.9922727 -12.1950667),5800088411,0.013842301611001095
1385873901,4,,,POINT (-77.1109809 -11.9842923),5064371778,0.02656081719375705
1784889837,4,,,POINT (-76.9917466 -12.1943727),5800088411,0.013627003040286112
1784889838,4,,,POINT (-76.9939016 -12.1953057),5800088411,0.013138743237461808
821543409,3,,,POINT (-76.9968848 -12.0222808),4916727122,0.004182599172762381
822788593,4,,,POINT (-77.00129149999999 -12.0131218),437360394,0.0011680427222351163
1287274995,3,,,POINT (-77.02166870000001 -12.2005522),512156980,0.007816982148659269
9144320507,3,,,POINT (-76.8282387 -12.322225),437318885,0.05931802394865649
4786635259,3,,,POINT (-76.8840635 -12.0961512),7027424773,0.00626675440159985
822788604,4,,,POINT (-77.0001771 -12.0125259),437360394,0.0023297554487313973
1674134014,4,,,POINT (-76.95770330000001 -12.1947657),514314001,0.0044508634628651796
331596287,3,,,POINT (-77.09969030000001 -12.0733588),435840721,0.0012693678729052687
4786635265,3,,,POINT (-76.8837458 -12.0967402),7027424773,0.006700876077050199
331596292,4,,,POINT (-77.1001129 -12.0740615),435840721,0.002057094506280175
2053915143,3,,,POINT (-77.04925950000001 -12.0550529),4336231231,0.0003654340569825466
1831682571,4,,,POINT (-77.0127969 -12.0610271),4366343253,0.001817476932452243
863519247,4,traffic_signals,,POINT (-77.0744534 -11.8651364),1863374438,0.00019425521871983028
1295958545,4,,,POINT (-77.05470010000001 -11.9789608),439816917,0.004203760552757378
2053915154,4,,,POINT (-77.0511003 -12.0552089),4335661607,0.00012146645627620057
817349138,4,,,POINT (-77.0074793 -11.9899444),437497386,0.002216094246485119
2053915153,3,,,POINT (-77.0509438 -12.0551928),4335661607,0.0002370232056186192
1674134038,3,,,POINT (-76.95690430000001 -12.1943071),514314001,0.005040916556052846
