name,geometry,geometry_layer,geometry_proj4
3 de Octubre,POINT Z (-76.942097 -12.223605 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Cesar Vallejo,POINT Z (-76.945099 -12.218629 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Jorge Chavez,POINT Z (-76.946562 -12.216161 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Juan Velasco Alvarado,POINT Z (-76.94792700000001 -12.213893 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Arriba Perú,POINT Z (-76.949618 -12.211065 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
El Sol,POINT Z (-76.952561 -12.206166 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Parque Zonal,POINT Z (-76.92959112804253 -12.22992799433809 0),Vuelta,+proj=longlat +datum=WGS84 +no_defs
Proceres,POINT Z (-76.984009 -12.154446 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Parque Zonal,POINT Z (-76.932025 -12.231419 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Pentagonito,POINT Z (-76.97941400000001 -12.103063 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Cayetano,POINT Z (-77.058843 -12.025747 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Palao,POINT Z (-77.05935700000001 -12.022392 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Óvalo Izaguirre,POINT Z (-77.064431 -11.991019 0),Ida,+proj=longlat +datum=WGS84 +no_defs
America,POINT Z (-76.97516400000001 -12.183981 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Control,POINT Z (-77.05374399999999 -12.033358 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Habich,POINT Z (-77.056831 -12.030844 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Plaza Norte,POINT Z (-77.061792 -12.007508 0),Ida,+proj=longlat +datum=WGS84 +no_defs
El Sol,POINT Z (-76.953661 -12.205239 0),Ida,+proj=longlat +datum=WGS84 +no_defs
1° De Mayo,POINT Z (-76.9581 -12.197758 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Modelo,POINT Z (-76.959481 -12.195489 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Alipio Ponce,POINT Z (-76.978953 -12.172156 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Amauta,POINT Z (-76.98201400000001 -12.161781 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Atarjea,POINT Z (-76.986839 -12.0424 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Santos Chocano,POINT Z (-77.068939 -11.990906 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Canta Callao,POINT Z (-77.08693100000001 -11.972794 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Huandoy,POINT Z (-77.083742 -11.976614 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Naranjal,POINT Z (-77.078525 -11.977794 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Los Alisos,POINT Z (-77.078503 -11.982817 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Izaguirre,POINT Z (-77.08234400000001 -11.990331 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Panamericana,POINT Z (-77.06639199999999 -11.990511 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Mega Plaza,POINT Z (-77.063744 -11.994403 0),Ida,+proj=longlat +datum=WGS84 +no_defs
Senati,POINT Z (-77.062856 -11.998606 0),Ida,+proj=longlat +datum=WGS84 +no_defs
