osmid,street_count,highway,ref,geometry,marketplace_osmid,marketplace_dist
632179398,4,crossing,,POINT (-77.163642 -12.0727774),446736754,0.06776973747097055
1575897799,3,,,POINT (-76.88388550000001 -12.0183353),307650989,0.0014887118893852835
1617054407,3,,,POINT (-77.1342738 -11.9433385),605381902,0.036267670486969425
1405078221,5,,,POINT (-76.9607998 -12.1926221),371830802,0.0008557319889549386
1405078222,3,,,POINT (-76.96115709999999 -12.19256),371830802,0.0011473697670511772
4343614163,4,,,POINT (-77.1314761 -11.8460876),399069247,0.02232396070970531
4343614165,4,,,POINT (-77.1302901 -11.8453756),399069247,0.02106895068141562
4343614166,5,,,POINT (-77.1294345 -11.8448692),399069247,0.020180124516820178
1273645783,4,,,POINT (-76.9382746 -12.1578708),411776202,0.0018598208152892234
1273875162,3,,,POINT (-76.95278589999999 -12.0341794),7496364,0.006693215241494189
847760091,4,,,POINT (-77.10976359999999 -11.9947004),795788613,0.002537719856633309
306072283,3,traffic_signals,,POINT (-77.12719610000001 -12.0380502),446404460,0.03864777257574336
1745996511,3,,,POINT (-76.886053 -12.0286228),818126823,0.005091382614050455
847760096,4,,,POINT (-77.11024 -11.9942768),795788613,0.0019002323017647683
847760097,4,,,POINT (-77.1101625 -11.994192),795788613,0.001905656949710611
1978321637,4,,,POINT (-77.00194879999999 -11.9572789),585233648,0.002943823191821265
1273580263,3,,,POINT (-76.9683264 -12.1388676),442105226,0.0030890075620658907
3788360425,3,,,POINT (-76.97730300000001 -12.1296551),607812696,0.01105913551501056
1745996521,3,,,POINT (-76.8871056 -12.029164),818126823,0.003907956092008325
1745996523,3,,,POINT (-76.8863587 -12.0292512),818126823,0.0045449276459972356
560581367,4,,,POINT (-77.0866449 -12.0211621),446185038,0.004348765490738944
824068860,4,,,POINT (-77.0005123 -11.9921576),554935823,0.0028668119326667025
1826474748,3,,,POINT (-76.9800405 -12.0450239),444766647,0.0017913469814827836
1745996544,3,,,POINT (-76.8865033 -12.029578),818126823,0.004291854355469306
4333193986,4,,,POINT (-77.1253636 -11.9693913),605381902,0.011028371869689498
4333193987,4,traffic_signals,,POINT (-77.12534909999999 -11.9696226),605381902,0.010912464496429552
824068866,4,,,POINT (-77.0052642 -11.9921722),327442957,0.0009280030483317388
560581382,4,,,POINT (-77.0664529 -12.0283131),796442026,0.001673043640278273
392153861,3,,,POINT (-77.0141716 -12.0895305),447105219,0.010899064525103842
1022577410,4,,,POINT (-77.16391520000001 -11.7768754),7393015986,0.03833357528655573
3382430473,4,,,POINT (-76.9795992 -12.0672923),519734585,0.0045559600334129
1366343936,3,,,POINT (-77.03031470000001 -11.9136145),802704644,0.0032306980673608913
3382430475,4,,,POINT (-76.97612700000001 -12.0661079),519734585,0.00822456845472523
3382430476,3,,,POINT (-76.97392720000001 -12.0652167),519734585,0.010595476501404442
3382430477,3,,,POINT (-76.97161490000001 -12.0642655),519734585,0.013093613010477366
1022577421,4,,,POINT (-77.1697199 -11.7760777),7393015986,0.03976024556727453
1745996560,4,,,POINT (-76.88673660000001 -12.0300516),818126823,0.003930753068819724
632179474,4,,,POINT (-77.1648446 -12.0725426),446736754,0.06899390250975562
560581396,3,,,POINT (-77.0548673 -12.0353884),559773354,0.0020511599945924807
3758476053,3,,,POINT (-76.9635766 -12.1936305),371830802,0.0037919823982087543
1368673046,3,,,POINT (-77.0077113 -12.0491843),443670842,0.0019327096111679105
560581400,4,,,POINT (-77.05414399999999 -12.0331951),796479334,0.000903034466494903
3707030301,3,,,POINT (-77.0235989 -12.1300811),4597434109,0.0032825481382602476
560581405,4,,,POINT (-77.0574814 -12.0317844),621764673,0.00036009105425253887
541412127,4,,,POINT (-76.7096614 -11.9448234),484095178,0.01149099677333642
1022577437,3,,,POINT (-77.169431 -11.7756954),7393015986,0.0400856471097819
824068897,4,,,POINT (-77.0004107 -11.9919981),554935823,0.002868628468437457
824068900,4,,,POINT (-77.0051923 -11.9941518),327442957,0.0013042258846043349
258067237,3,,,POINT (-76.84072690000001 -12.3042543),296567582,0.039359267286992385
1022577445,3,,,POINT (-77.1639765 -11.7769356),7393015986,0.03827566568905141
9487928103,3,,,POINT (-77.0418286 -12.0581951),463340443,0.006172974579975961
1575897896,3,,,POINT (-76.90531780000001 -12.0408432),801365893,0.002899119126708829
6835391275,3,,,POINT (-76.83266690000001 -12.1454186),622544541,0.033716629784829796
1368673068,3,,,POINT (-77.00881800000001 -12.0494933),4412205516,0.0023487613075850486
392153904,4,,,POINT (-77.00752249999999 -12.0888409),809963632,0.005218536212752945
1368673078,3,,,POINT (-77.0070788 -12.0496956),443670842,0.0012542057076131
2833304374,4,traffic_signals,,POINT (-77.00632229999999 -12.1902925),439909388,0.003250858804705418
1368673081,3,,,POINT (-77.00851470000001 -12.0497173),443670842,0.002026911959864569
442944314,3,,,POINT (-77.11104 -12.0605453),628151964,0.02302989006196945
1575897916,4,,,POINT (-76.88608549999999 -12.0227577),307650217,0.00326771313586172
1273547583,4,,,POINT (-76.95022160000001 -12.1460462),447008367,0.001494418238722463
2833304384,4,,,POINT (-77.0108997 -12.2064312),437706651,0.007864927500920412
1745996609,3,,,POINT (-76.8919824 -12.0313237),818126823,0.001467757114770457
2833304387,3,,,POINT (-77.01636999999999 -12.2043426),584943911,0.004927016258350076
2833304386,4,,,POINT (-77.0154186 -12.2030323),437706651,0.0048541741062741355
2833304390,4,,,POINT (-77.0110552 -12.206448),437706651,0.007841787479415946
2833304392,4,,,POINT (-77.0132213 -12.2090639),584943911,0.010185118265481696
1273121608,4,,,POINT (-77.05854530000001 -11.9586535),476168489,0.005291983136783187
1368673098,4,,,POINT (-77.0082013 -12.0500564),443670842,0.0015747446938286845
416140107,4,,,POINT (-77.0090416 -12.0702236),295035660,0.004924018700613867
416140108,4,,,POINT (-77.0090543 -12.0700988),295035660,0.004800282837830261
2833304399,3,,,POINT (-77.0062867 -12.1901413),439909388,0.003119724508732379
