osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist,courthouse_nearestnode
1273833340,3,,,POINT (-76.9674847 -12.1339681),408686631,0.028497753674383938,1715696609
818620294,4,,,POINT (-77.05381060000001 -12.0211706),465071802,0.020083565002084573,6302726030
263399303,4,traffic_signals,,POINT (-77.0424744 -12.0738191),4469386913,0.010704256097461548,108064627
1273898888,4,,,POINT (-76.9231259 -12.1977174),5145408791,0.02927904140045582,4519916254
818620295,4,,,POINT (-77.0541906 -12.0208505),465071802,0.019865876553096202,6302726030
818620296,4,,,POINT (-77.0562582 -12.0191092),465071802,0.01886739967328721,6302726030
818620298,4,,,POINT (-77.05492289999999 -12.0175913),808969919,0.0192465262871732,842510801
263399305,4,,,POINT (-77.0415564 -12.0720142),4469386913,0.011401685891571324,108064627
273426321,3,,,POINT (-77.0670757 -11.9738059),301604752,0.016823816517328408,842490892
2832443285,5,,,POINT (-77.11287040000001 -11.9968329),465071802,0.051870436460230734,6302726030
5434288021,4,,,POINT (-76.97916960000001 -12.0438786),437855139,0.002025559302274339,1577564129
5434288022,4,,,POINT (-76.9792601 -12.0438212),437855139,0.0020169272518605528,1577564129
5064959896,3,,,POINT (-77.0887656 -11.9364314),301604752,0.060015654258579874,842490892
273426331,3,,,POINT (-77.0668438 -11.975335),301604752,0.01536193867617474,842490892
5064959895,3,,,POINT (-77.0885395 -11.9366133),301604752,0.059746673999368775,842490892
1752672161,3,,,POINT (-76.9637965 -12.1355168),408686631,0.025535663268675287,1715696609
1273472931,3,,,POINT (-76.93025249999999 -12.0364389),438029702,0.010608138196353128,1577492164
1752672167,3,,,POINT (-76.9634622 -12.1358686),408686631,0.0250846888466969,1715696609
1752672169,3,,,POINT (-76.9635718 -12.1359689),408686631,0.0250322976352823,1715696609
4170786730,4,,,POINT (-76.9885823 -12.1107441),437675773,0.03324067081671714,2658903287
1344415658,3,,,POINT (-76.9974971 -11.9421731),437868020,0.02764517728026608,824299551
5368817585,3,,,POINT (-76.8132409 -11.9789192),487183431,0.042451705568827235,1524458694
3500222389,4,,,POINT (-77.03169490000001 -11.8766126),679438717,0.011642941668416907,4335734843
1273472954,3,traffic_signals,,POINT (-76.9976075 -12.1199603),437675773,0.029060618137360036,2658903287
4033849275,4,traffic_signals,,POINT (-77.02550050000001 -12.0939553),437675773,0.009679165156405451,2658903287
1752672188,4,,,POINT (-76.97020120000001 -12.1393426),408686631,0.02548527642789927,1715696609
1344415676,3,,,POINT (-76.98294079999999 -11.9433942),437868020,0.031135967326819395,824299551
4328597438,3,,,POINT (-77.1218248 -12.0554739),465071802,0.05614233132394718,6302726030
4149749698,4,,,POINT (-76.9312692 -12.2168828),5145408791,0.02644261990725812,4519916254
4149749700,4,,,POINT (-76.9313715 -12.2168499),5145408791,0.026341463987028555,4519916254
4149749702,4,,,POINT (-76.9337314 -12.2182177),5145408791,0.02543138407735376,4519916254
4149749703,3,,,POINT (-76.93333389999999 -12.2179793),5145408791,0.025561183260953718,4519916254
5145700295,3,,,POINT (-77.1392008 -11.8382825),679438717,0.1257698001575446,4335734843
1273636809,4,,,POINT (-76.8725276 -12.1211831),408686631,0.09008470541228963,1715696609
133933005,3,,,POINT (-77.0247572 -12.1219562),437675773,0.019968789144685268,2658903287
1710204882,4,,,POINT (-76.8017455 -12.0124416),487183431,0.04768651728206178,1524458694
4149749715,4,,,POINT (-76.9386117 -12.2210668),5145408791,0.02444075742709239,4519916254
5734541270,3,,,POINT (-77.03158139999999 -12.0694445),4469386913,0.011920487414534229,108064627
1760798681,3,,,POINT (-77.1431738 -11.867117),679438717,0.12306639917298785,4335734843
4149749733,4,,,POINT (-76.9464874 -12.2256092),5145408791,0.025486669657685257,4519916254
4270041073,3,,,POINT (-77.0332614 -12.0622878),4338622519,0.004932687515946258,108154712
4270041082,3,,,POINT (-77.0216726 -12.0709518),4469386913,0.016315338084452603,108064627
1344415739,3,,,POINT (-76.9858208 -11.9475575),437868020,0.02607927894771228,824299551
1273505793,4,,,POINT (-76.8585878 -12.2311518),5364271522,0.039313528944882783,5946942281
1273702408,3,,,POINT (-76.9930638 -12.2003409),6695199631,0.040739287612946484,1405153097
1344415753,4,,,POINT (-76.9850313 -11.9476095),437868020,0.02645925916299019,824299551
