osmid,street_count,highway,ref,geometry,hospital_osmid,hospital_dist
1938227287,3,,,POINT (-76.9868484 -12.0192056),4503252089,0.014465449744732415
6415319128,1,,,POINT (-76.8194919 -12.333688),699686753,0.008604596065930227
427589721,4,,,POINT (-77.1125693 -11.996814),439627528,0.023747563439830574
847511646,4,,,POINT (-77.08634360000001 -12.0309514),2703608474,0.0034806234855924083
391020638,4,,,POINT (-77.0131319 -12.1398036),185197319,0.008546403306667089
6415319136,3,,,POINT (-76.8188809 -12.3349038),699686753,0.009938551315608047
391020639,4,,,POINT (-77.013805 -12.1392387),185197319,0.009414188305603664
4785274979,3,,,POINT (-76.870014 -12.1021417),454698428,0.08128458557581135
4785274985,3,,,POINT (-76.8715806 -12.0995186),454698428,0.07824395957737855
1746075767,4,,,POINT (-76.9453322 -12.0252412),513990850,0.008515113604354285
1951268989,4,,,POINT (-77.0108256 -11.9937099),817079360,0.003999027995758585
1273692286,3,,,POINT (-76.9729071 -12.1936219),-9724186,0.013269815802830928
4356276356,3,,,POINT (-76.9777239 -12.0465183),468556938,0.00897699667406154
4785275019,3,,,POINT (-76.8733982 -12.1057199),320413708,0.0831307617784104
3335028877,4,,,POINT (-77.0538719 -12.0751143),4552742992,0.0054294562069400094
3501097102,3,,,POINT (-77.0591577 -11.9924677),2316632194,0.010416569546865808
4785275024,4,,,POINT (-76.87226769999999 -12.1049003),320413708,0.08284003345165197
1273626773,4,,,POINT (-76.96684070000001 -12.1391048),391969601,0.0195586381853136
2846425237,3,,,POINT (-77.1087844 -12.0601805),446549659,0.002527270803510295
3738206362,4,,,POINT (-76.9169218 -11.9766777),513169741,0.025886741395697296
639107227,4,,,POINT (-77.0677008 -12.078234),73954281,0.008935193272356725
1746075803,4,,,POINT (-76.9476275 -12.0255973),513990850,0.008471848490834112
1369043001,3,,,POINT (-77.01403380000001 -12.0506524),122554771,0.005383177833048219
133922977,4,,,POINT (-77.0323439 -12.1257412),431592740,0.013114567950277356
627835042,4,,,POINT (-77.1215736 -12.0716412),1452866621,0.004062295140525751
627835043,4,,,POINT (-77.1223047 -12.0729262),1452866621,0.005380310825495291
133922980,4,,,POINT (-77.03173769999999 -12.1259895),431592740,0.013171604768245561
4927553711,3,,,POINT (-77.0256431 -12.075558),4458459045,0.009380598972946767
5583110321,3,,,POINT (-77.0607483 -12.0042417),439241364,0.012714416563680673
1273790642,4,,,POINT (-76.9269166 -12.2000189),126861263,0.012395757533058585
1746075826,4,,,POINT (-76.94761219999999 -12.0257511),513990850,0.008626097563848127
4948000948,4,,,POINT (-76.9803177 -12.1705066),437642241,0.012595198036351651
1746075828,4,,,POINT (-76.9500963 -12.0261323),513990850,0.00925956255064801
842596534,4,,,POINT (-77.0534396 -11.9981801),439241364,0.015099530872765988
3738206393,4,,,POINT (-76.9168152 -11.9778837),513169741,0.02582048323000146
4329570490,4,,,POINT (-77.15457139999999 -11.7849227),465231306,0.020992355341709287
1273462969,3,,,POINT (-77.0917975 -11.9556031),549170909,0.020244519802705762
842596538,3,,,POINT (-77.0525428 -11.9981741),439241364,0.01502898181660885
3740696772,3,,,POINT (-76.8735173 -12.2100957),445599680,0.003495519669615678
842596549,4,,,POINT (-77.0525456 -11.9977205),439241364,0.01548204999518141
3740696777,3,,,POINT (-76.87491319999999 -12.2118586),445599680,0.0025673779530708913
4948000970,3,,,POINT (-76.9803313 -12.1709561),437642241,0.012856479814237844
3740696779,3,,,POINT (-76.8755044 -12.2123817),445599680,0.0025111032541755237
1273921739,4,,,POINT (-77.09739639999999 -12.0591705),780622087,0.0071506297302051346
3738206411,4,,,POINT (-76.9165983 -11.9785528),513169741,0.025965229920843005
263389391,4,traffic_signals,,POINT (-77.0527302 -12.0759211),4552742992,0.005298672750618812
263389392,4,traffic_signals,,POINT (-77.0519232 -12.0749363),4552742992,0.004035304797106181
263389393,4,traffic_signals,,POINT (-77.0511095 -12.0739505),4552742992,0.0027769666136714414
263389394,4,traffic_signals,,POINT (-77.050257 -12.0729814),4552742992,0.0015565244985886455
821756112,4,,,POINT (-77.0047046 -12.0173985),4503252089,0.006527364988670272
3738206418,3,,,POINT (-76.9038796 -11.9787371),513169741,0.03863601864494384
263389397,4,traffic_signals,,POINT (-77.04784770000001 -12.070033),4552742992,0.0024604372757952766
263389398,4,traffic_signals,,POINT (-77.04705800000001 -12.0690667),4552742992,0.003681428304964388
263389399,4,,,POINT (-77.04623170000001 -12.0680735),194898813,0.003079533049599205
263389400,4,,,POINT (-77.0454082 -12.0671015),194898813,0.002340215488401281
263389401,4,,,POINT (-77.0445972 -12.0661178),194898813,0.002154778463351439
3740696790,3,,,POINT (-76.8759036 -12.2108002),445599680,0.0011813037925691204
3737747670,4,,,POINT (-77.0697699 -11.9303557),4557320590,0.017462890357624637
1273921750,4,,,POINT (-77.1206373 -11.9968694),439895202,0.02931438135153608
3737747678,3,,,POINT (-77.0678618 -11.9379018),111800007,0.011865918209834613
4948000991,4,,,POINT (-76.9791884 -12.1727139),437642241,0.013083140225439856
4948000992,3,,,POINT (-76.9789751 -12.1726442),437642241,0.01288135984837339
1814003938,4,,,POINT (-77.0296165 -11.8708335),435365523,0.028704226467618714
1746075873,4,,,POINT (-76.9500025 -12.0268801),513990850,0.009968104617007017
3737747679,3,,,POINT (-77.06783660000001 -11.9380281),111800007,0.01178772887173248
2173173989,3,,,POINT (-76.9634095 -12.0319036),456121389,0.010795788384216857
3737747686,3,,,POINT (-77.06644009999999 -11.9451661),111800007,0.009426157355422508
1746075880,3,,,POINT (-76.95328910000001 -12.0270828),513990850,0.011305243260951814
3737747680,4,,,POINT (-77.0671746 -11.9404774),111800007,0.01030371242366555
4346249450,3,,,POINT (-77.0078773 -12.1190673),445502597,0.011073481588217521
4574281964,3,,,POINT (-76.8758867 -12.0414665),454698428,0.031613068409647685
1273692402,4,,,POINT (-76.95428269999999 -12.1309404),160691934,0.030411648552878267
2352414966,3,,,POINT (-77.1068037 -11.8247537),4286965190,0.01119118282138389
3725525239,4,,,POINT (-77.0791124 -12.0600217),131940602,0.005248492961979087
1746075899,3,,,POINT (-76.9475005 -12.0280296),513990850,0.010907190336253259
3725525244,4,,,POINT (-77.0790453 -12.0603403),131940602,0.005546037493556901
3725525245,4,,,POINT (-77.0792452 -12.0603836),131940602,0.005469580600084892
3737747708,3,,,POINT (-77.0663054 -11.9458672),111800007,0.009470104308892757
2352414976,4,,,POINT (-77.108906 -11.8243649),4286965190,0.009326257040711598
1273954563,4,,,POINT (-76.9460337 -12.1644307),437683615,0.007260802727021922
1746075907,4,,,POINT (-76.9496419 -12.0283849),513990850,0.011384272672887732
2352414979,3,,,POINT (-77.11004010000001 -11.8242144),4286965190,0.008348694374452459
3725525255,3,,,POINT (-77.1331611 -12.0671984),3358845693,0.0030951424775152083
2352414983,3,,,POINT (-77.1041044 -11.8211677),4286965190,0.015019458185720874
391020814,3,,,POINT (-77.0177607 -12.1372146),618688385,0.00911458384304768
9168814354,3,,,POINT (-76.99907690000001 -12.1720956),419918941,0.02018567650681783
133955862,3,,,POINT (-77.1323756 -12.0562244),428111371,0.006992950986486942
3758457112,3,,,POINT (-76.96103720000001 -12.1924599),-9724186,0.0026717578847089054
3758457113,4,,,POINT (-76.962273 -12.1903878),-9724186,0.0050843526845517194
3758457114,4,,,POINT (-76.9630999 -12.1889679),-9724186,0.006727458968973169
6032982299,3,,,POINT (-77.0726837 -11.9272954),4557320590,0.013410146952281257
1814003996,4,,,POINT (-77.0288585 -11.8724638),435365523,0.02767933317400019
3758457117,3,,,POINT (-76.9641159 -12.1874039),-9724186,0.008591080814845858
133955870,3,,,POINT (-77.13602710000001 -12.0540241),428111371,0.009612926749924488
4284612890,3,,,POINT (-76.9184047 -12.0853975),835415398,0.03515159567561219
563839256,3,,,POINT (-77.03406579999999 -12.0519062),6733298187,0.002887052084930827
1814004002,3,,,POINT (-77.0288182 -11.872605),435365523,0.027580827322750214
4343202095,3,,,POINT (-77.0530711 -12.1085051),39557243,0.016399681002438382
133955891,3,,,POINT (-77.13451739999999 -12.0517003),428111371,0.01156703729118822
821756215,3,,,POINT (-77.00348099999999 -12.0176435),4503252089,0.0056769035916771635
4343202104,3,,,POINT (-77.05288299999999 -12.1086943),39557243,0.016666179979776402
1273725240,4,,,POINT (-76.9242078 -12.1983861),126861263,0.015105204907118204
133955898,3,,,POINT (-77.1341182 -12.0519892),428111371,0.011237128695362612
3738206527,4,,,POINT (-76.9160401 -11.9799452),513169741,0.02643096100651
4341662016,3,,,POINT (-77.12363310000001 -12.0620638),436301268,0.0006890633343167376
133955906,3,,,POINT (-77.1337717 -12.0513532),428111371,0.011845897362008586
1675395395,3,,,POINT (-76.9404534 -12.2356435),372661035,0.00660708728830021
1745486146,4,,,POINT (-76.9656009 -12.0492647),456121389,0.008735916014678215
4343202119,3,,,POINT (-77.047527 -12.1056778),431593693,0.017697667276792225
133955913,3,,,POINT (-77.1342803 -12.0512046),428111371,0.012033542690224167
4343202121,3,,,POINT (-77.0479067 -12.1040638),5008524121,0.01769141083686838
4348805454,3,,,POINT (-76.8524326 -12.2949185),699686753,0.042272638588068935
133955919,3,,,POINT (-77.1345255 -12.0514915),428111371,0.011775266486713737
427589967,3,,,POINT (-77.1096728 -12.0030042),439627528,0.017153872161014817
427589968,4,,,POINT (-77.1094444 -12.0028884),439627528,0.017084198655863688
821756241,3,,,POINT (-77.0076734 -12.018684),4503252089,0.007882053346788846
3738206546,3,,,POINT (-76.9142739 -11.9810054),513169741,0.028177612066061754
3267592535,3,,,POINT (-76.91844759999999 -12.0440065),699538736,0.01694024001698733
3738206553,3,,,POINT (-76.9147485 -11.9811795),513169741,0.02770382976908182
3738206564,4,,,POINT (-76.9154707 -11.9814404),513169741,0.026985012743395206
1796866431,3,,,POINT (-76.97688170000001 -12.1518438),391969601,0.00833247768352766
3738206599,3,,,POINT (-76.9277415 -11.9843536),513169741,0.01509581296063118
6047105415,3,,,POINT (-77.0604484 -11.9895711),2316632194,0.009200534078753852
6047105417,3,,,POINT (-77.0616047 -11.9895927),2316632194,0.008061283831714654
1745486222,3,,,POINT (-76.9635167 -12.0485221),456121389,0.009113760870170491
3738206607,3,,,POINT (-76.9244455 -11.9852671),513169741,0.01851338786342996
1745486227,4,,,POINT (-76.966224 -12.051379),456121389,0.010545116332705428
3738206615,3,,,POINT (-76.9253945 -11.9854523),513169741,0.01763801388216419
412189084,4,,,POINT (-77.01633150000001 -12.0740954),4458459045,0.008060486696370248
6129287592,3,,,POINT (-76.97341780000001 -12.0864539),151303103,0.01878370716605933
4336189865,3,,,POINT (-77.0340587 -11.8902576),9721207,0.010985474726422115
4336189866,3,,,POINT (-77.0339118 -11.889975),9721207,0.011272835547526316
842695087,3,,,POINT (-77.0611224 -11.9859231),412251739,0.00950894469285134
412189107,3,,,POINT (-77.02134 -12.0777576),4458459045,0.010306500214247588
842695095,4,,,POINT (-77.0583393 -11.9854888),412251739,0.008285711716648544
842695098,4,,,POINT (-77.0579388 -11.9854139),118291969,0.00801580900094016
5589402044,3,,,POINT (-77.12695890000001 -11.8183003),405698392,0.01244547790278663
412189116,4,,,POINT (-77.0188533 -12.076144),4458459045,0.008923633626597587
5589402046,3,,,POINT (-77.1236365 -11.8239853),405698392,0.005895360581377928
631734720,4,traffic_signals,,POINT (-77.142746 -12.0631727),428111371,0.009647922012270011
1993703873,3,,,POINT (-76.89292690000001 -12.2740705),525919060,0.035568049167883475
842695108,4,,,POINT (-77.0579647 -11.9853075),118291969,0.007949489068644507
5589402054,3,,,POINT (-77.1034781 -11.839888),4286965190,0.01853517969802161
1814004171,4,,,POINT (-77.032172 -11.8762081),435365523,0.022766169422274374
387416528,3,,,POINT (-77.0022115 -12.1275151),3946355480,0.014182036108061997
560562642,4,,,POINT (-77.09920049999999 -12.0406531),133436884,0.0020264437063337716
560562643,4,,,POINT (-77.09900399999999 -12.040634),133436884,0.0020020414236224244
3737747935,4,traffic_signals,,POINT (-77.08371320000001 -11.962213),4430998394,0.010162105961504407
3737747937,4,traffic_signals,,POINT (-77.0836941 -11.9623463),4430998394,0.010045764777506665
3627352550,3,,,POINT (-76.9725002 -12.0675289),4576632912,0.026084122150720927
442761704,3,traffic_signals,,POINT (-76.9993765 -12.1394529),185197319,0.007926435675453744
3736732137,3,,,POINT (-77.0636873 -11.9897349),2316632194,0.005999553576989673
263389679,4,,,POINT (-77.058302 -12.080689),278393025,0.004590094479186655
4406378995,3,,,POINT (-77.0258346 -12.036073),393487901,0.007728650141044438
914293237,3,,,POINT (-76.8580692 -12.2291742),525919060,0.0219935940911421
263389687,4,,,POINT (-77.0521074 -12.0831883),5008524121,0.005217263547794355
263389688,4,,,POINT (-77.0505981 -12.0826054),5008524121,0.00655065766017885
263389689,3,,,POINT (-77.0497112 -12.0822705),5008524121,0.007381776837127607
3736732154,4,,,POINT (-77.06161350000001 -12.0083371),439241364,0.011027903850753662
263389691,4,traffic_signals,,POINT (-77.0487862 -12.0820081),5008524121,0.00821473540348639
3736732156,4,,,POINT (-77.0615236 -12.0088528),439241364,0.010729052441980124
182419965,3,,,POINT (-76.6791102 -11.9230453),483179062,0.005952454787801697
263389694,3,,,POINT (-77.0477825 -12.0819759),436278843,0.008522211035371294
263389695,3,,,POINT (-77.04761449999999 -12.0819909),436278843,0.008355593362750179
412189184,3,,,POINT (-77.0226057 -12.0764836),4458459045,0.00918174949277577
263389697,3,,,POINT (-77.04697040000001 -12.0821193),436278843,0.007699708383038273
412189186,4,,,POINT (-77.0233942 -12.0749051),4458459045,0.007849080750526814
4234707459,4,,,POINT (-76.9367543 -12.2131886),126861263,0.005097071510218438
1273758211,4,,,POINT (-76.9635629 -12.1328088),3946355480,0.02499588663339013
3736732158,4,,,POINT (-77.0898873 -12.0116179),439627528,0.008967416187165891
4276978176,4,,,POINT (-77.0860749 -12.0874256),866156340,0.00550111925912173
3738206731,3,,,POINT (-76.8957588 -11.98595),454698428,0.0436701803800122
627835408,3,,,POINT (-77.1228576 -12.0719839),1452866621,0.0053610516299977375
3738206739,3,,,POINT (-76.92393060000001 -11.9860505),513169741,0.019207068813151113
3738206740,3,,,POINT (-76.8364728 -11.9869823),483500696,0.022730300685904505
1273889301,3,,,POINT (-77.0038413 -12.20349),419918941,0.011646781813880494
4268392982,3,,,POINT (-77.12154150000001 -12.0732134),1452866621,0.00499453873709779
6032949785,3,,,POINT (-77.0486313 -11.9772608),118291969,0.0046938774809473695
4357685789,4,,,POINT (-77.01325420000001 -11.9822273),437364307,0.006611193835633276
263389729,4,traffic_signals,,POINT (-77.0487808 -12.0818756),5008524121,0.008311299719112857
1273594402,4,,,POINT (-76.93899020000001 -12.1340568),160691934,0.033222543184263396
8978825764,3,,,POINT (-76.9811521 -12.0477157),468556938,0.007905860512672693
263389733,4,,,POINT (-77.0521648 -12.0830692),5008524121,0.005293524929804229
1399063080,4,,,POINT (-77.0564677 -12.0579566),194898813,0.012254747311647139
462979629,3,,,POINT (-77.0815363 -12.0775011),1943486021,0.008085187658767682
1399063094,4,,,POINT (-77.0545485 -12.062655),194898813,0.008441075744209537
1951269430,3,,,POINT (-77.0026824 -11.9962517),817079360,0.010692245525580183
611484217,3,,,POINT (-77.0837021 -12.0780594),866156340,0.009331054326465991
1399063099,4,,,POINT (-77.0569026 -12.0610791),195079449,0.010112477942104436
821756480,4,,,POINT (-77.01209950000001 -12.0177061),4503252089,0.012271426018677643
847512129,4,,,POINT (-77.0931458 -12.0296398),1904507931,0.003076445329734661
847512130,4,,,POINT (-77.0929357 -12.0291617),1904507931,0.0030746084466697953
847512131,4,,,POINT (-77.0927416 -12.0286733),1904507931,0.0031792324741583295
847512132,4,,,POINT (-77.0932825 -12.0299914),1904507931,0.0031163873823009036
847512133,4,,,POINT (-77.0876943 -12.0292098),2703608474,0.0020488639839091162
1256325701,4,traffic_signals,,POINT (-77.0477518 -11.9151491),110061951,0.00976975974418658
1814004295,4,,,POINT (-77.0300853 -11.8779767),435365523,0.02242598710000313
821756488,4,,,POINT (-77.01114680000001 -12.0178157),4503252089,0.011360032780330754
611484233,3,,,POINT (-77.0823372 -12.0780942),1943486021,0.00890354259970226
847512138,4,,,POINT (-77.08789899999999 -12.0296872),2703608474,0.001750866160405857
847512139,4,,,POINT (-77.0881129 -12.0301706),2703608474,0.0015647707078077899
847512140,4,,,POINT (-77.0882574 -12.0305204),2703608474,0.0015423755838429466
847512135,4,,,POINT (-77.0891254 -12.0290432),2703608474,0.0009524419945012907
847512144,4,,,POINT (-77.08968590000001 -12.0303678),2703608474,0.0005267945038848704
1951269457,3,,,POINT (-77.003694 -11.996303),817079360,0.009944165106774734
4261053019,4,,,POINT (-77.08705569999999 -11.9964533),5324586422,0.016409731000845522
1399063132,3,,,POINT (-77.0588482 -12.0607028),195079449,0.010116672972810142
1399063134,4,,,POINT (-77.0573631 -12.0589885),195079449,0.012031622970885399
1399063151,4,,,POINT (-77.05366189999999 -12.0587091),194898813,0.009578321698312492
1844839026,4,,,POINT (-77.0023616 -12.1741533),442795790,0.01656979580610433
4796023415,3,,,POINT (-76.9265022 -12.1783552),370798546,0.014332215122663979
391021177,4,,,POINT (-77.0144837 -12.1413033),185197319,0.0091660888065348
391021178,4,,,POINT (-77.0151467 -12.140731),185197319,0.009979449269464907
391021179,4,,,POINT (-77.0160881 -12.1399016),185197319,0.011156987952910171
4202660476,4,,,POINT (-76.9664848 -12.1456191),160691934,0.01749273381248054
331597632,4,traffic_signals,,POINT (-77.1050475 -12.071973),446549659,0.010319397291623924
4337566340,3,,,POINT (-77.03172000000001 -12.0954218),431593693,0.00857917502415603
1843102342,3,,,POINT (-77.09962090000001 -12.0344995),133436884,0.008163588045284902
2761654924,3,,,POINT (-76.98494650000001 -12.1602089),391969601,0.012242408549737606
1843102351,3,,,POINT (-77.099273 -12.0356168),133436884,0.007016408770319726
5615223441,3,,,POINT (-76.8976218 -11.9754714),513169741,0.04516471503651986
5615223444,3,,,POINT (-76.89843190000001 -11.976185),513169741,0.044278066084628184
624493225,3,,,POINT (-77.11243810000001 -12.0726521),1452866621,0.006330010099394296
4334474649,3,,,POINT (-77.03491219999999 -11.9011009),-9721207,0.0005707301412976655
1399063217,3,,,POINT (-77.0553488 -12.0633756),195079449,0.00861986800262242
1399063223,3,,,POINT (-77.0548446 -12.0635445),194898813,0.00852988497983851
8982463159,3,,,POINT (-76.99089480000001 -12.0155773),4503252089,0.012267123494183331
639107769,4,,,POINT (-77.0695173 -12.0776763),73954281,0.010050814581341853
1843102397,3,,,POINT (-77.0595287 -12.0491297),398850206,0.008707333181303472
316801727,4,traffic_signals,,POINT (-77.0716279 -12.0965559),39557243,0.006516947699345444
316801728,4,traffic_signals,,POINT (-77.0718665 -12.0971215),39557243,0.006703348392326072
3042149058,4,,,POINT (-77.049986 -12.0233623),307664865,0.005494488234877749
1399063237,4,,,POINT (-77.0529906 -12.0630576),194898813,0.006832816773445518
817660614,3,,,POINT (-77.01017710000001 -11.9816008),437364307,0.005199629301370206
1273594567,3,,,POINT (-76.9199613 -12.1646756),370798546,0.02452092138234219
1399063249,4,,,POINT (-77.05313990000001 -12.0635805),194898813,0.006848845516252396
1938227922,3,,,POINT (-76.9815476 -12.025095),468556938,0.015665883698805467
1342138346,3,,,POINT (-76.97726900000001 -11.965145),116948941,0.018649954783605045
1287422680,3,,,POINT (-77.02262469999999 -12.200434),442795790,0.019023151363581
262573997,3,,,POINT (-77.0182427 -12.1194434),618688385,0.00867094986163947
1273889504,4,,,POINT (-76.9417274 -12.1412241),160691934,0.025872924205957108
3738206957,4,,,POINT (-76.8752374 -12.0032564),454698428,0.03898484891663529
3630203630,4,,,POINT (-77.000917 -12.1057999),338350659,0.00720219148743285
627180271,4,,,POINT (-77.0877102 -12.0401887),1904507931,0.00989157627398362
885687025,4,,,POINT (-77.0649007 -12.0326593),7657266220,0.0009062713556168396
262570744,4,,,POINT (-77.0368074 -12.1115747),431592740,0.00884268204878233
885687041,4,,,POINT (-77.06497899999999 -12.0332369),7657266220,0.0014075642578620707
7556301576,3,,,POINT (-76.8139493 -12.1184021),320125239,0.10307986995802534
6829179665,3,,,POINT (-76.92836819999999 -12.2056812),126861263,0.0067129082382636415
262570769,4,,,POINT (-77.0357796 -12.1140021),431592740,0.007671555674594875
4927554323,3,,,POINT (-77.0251567 -12.0755623),4458459045,0.009148532224511811
4224615189,4,,,POINT (-76.92531719999999 -12.2322424),371266564,0.002517928675866805
1273725720,4,traffic_signals,,POINT (-77.017957 -12.0616338),412486776,0.003791589034051497
370967339,4,traffic_signals,,POINT (-77.01858850000001 -12.1046911),780628452,0.002455170213145144
629048130,4,,,POINT (-77.130763 -12.0669917),3358845693,0.0016782622953772897
6162088771,3,,,POINT (-76.8901328 -12.2316),525919060,0.019425799273744673
1396409155,4,,,POINT (-77.06331849999999 -12.0628059),195079449,0.00872767771306969
1273889605,3,,,POINT (-76.9476866 -12.0343179),517495828,0.011081171180931949
844464967,4,,,POINT (-77.0782153 -12.0123171),446209514,0.005375918703769936
821756744,3,,,POINT (-77.0106284 -12.0178797),4503252089,0.010865617569310784
263390027,4,,,POINT (-77.0509588 -12.085315),5008524121,0.004438339201543356
3996615508,3,,,POINT (-77.1158757 -12.0405774),420078496,0.011167300318645206
4283138901,3,,,POINT (-76.9600749 -12.1216668),3946355480,0.028598848760736394
370967384,4,traffic_signals,,POINT (-77.01860069999999 -12.1044521),780628452,0.0023077167240431917
1573127001,4,,,POINT (-76.9648189 -12.1695731),437642241,0.0077037044009004105
5577540442,3,,,POINT (-77.0134082 -12.1005592),780628452,0.007605863211812553
1573127003,4,traffic_signals,,POINT (-76.9718163 -12.1538612),437642241,0.01000860705012639
387416929,3,,,POINT (-77.0012191 -12.128353),3946355480,0.013204735324202443
1573127009,3,,,POINT (-76.9627151 -12.1796264),-9724186,0.015438711221425813
3740697448,4,,,POINT (-76.89441619999999 -12.2287976),525919060,0.02453180917280996
263390056,4,,,POINT (-77.0520619 -12.0813513),5008524121,0.006891486122406534
263390064,3,,,POINT (-77.0507387 -12.0852956),5008524121,0.004634895350477933
1573127026,4,,,POINT (-76.9623388 -12.1728396),437642241,0.011802304919345969
1834091379,3,,,POINT (-76.9466762 -12.0926307),835415398,0.02905195228836046
1834091381,3,,,POINT (-76.9466475 -12.0927139),835415398,0.02913444822828876
1834091391,4,,,POINT (-76.9461761 -12.093958),835415398,0.030371400013838454
1426686852,3,,,POINT (-77.032191 -12.0923859),436278843,0.011108236651048908
1426686853,3,,,POINT (-77.0331267 -12.0921918),436278843,0.010361592570000995
1573127046,4,,,POINT (-76.967602 -12.1724742),437642241,0.00907779374940855
1273824143,3,,,POINT (-76.9242023 -12.234109),371266564,0.0037479228481755826
1573127058,3,,,POINT (-76.9704268 -12.1491812),391969601,0.013891765640808441
1396409237,4,traffic_signals,,POINT (-77.0757031 -12.0593211),131940602,0.007420974854077275
262570902,4,,,POINT (-77.03579430000001 -12.1158686),431592740,0.00806912531674579
1426686872,3,,,POINT (-77.0350916 -12.0881992),436278843,0.006075313579692741
1573127068,4,,,POINT (-76.96163850000001 -12.1702375),160691934,0.009739681615435423
1396409246,3,,,POINT (-77.0692389 -12.0545654),398850206,0.0054566693229895725
1396409247,3,,,POINT (-77.0693581 -12.0545802),398850206,0.005494323138179575
2182644641,3,,,POINT (-77.07586259999999 -11.869173),465561830,0.004699388937384599
1781236643,4,,,POINT (-76.972561 -12.1559597),437642241,0.008191921687777068
263390121,4,,,POINT (-77.0506506 -12.0836422),5008524121,0.005739960474806881
4356244396,3,,,POINT (-77.0068321 -12.0743407),4576632912,0.010904770654884773
3738207151,4,,,POINT (-76.9007532 -12.0139415),454698428,0.015277974196078762
3738207153,3,,,POINT (-76.90103499999999 -12.0140689),454698428,0.015082422060549508
1814004659,3,,,POINT (-77.0293087 -11.884157),9721207,0.01781273346487994
3758359479,3,,,POINT (-76.99272740000001 -12.187604),419918941,0.011273656677152324
1317143479,4,,,POINT (-76.9964141 -11.9664533),116948941,0.0021820067299419
3758359483,3,,,POINT (-76.9923204 -12.1860926),419918941,0.012284773811576935
1273660349,4,,,POINT (-76.9238514 -12.1965806),126861263,0.016846867764475314
1573127105,4,,,POINT (-76.9616109 -12.1701258),160691934,0.009625282319015415
6016402370,3,,,POINT (-77.1285626 -11.9591104),549170909,0.04217286390644793
1573127109,4,,,POINT (-76.959909 -12.1365425),160691934,0.024593733015313018
1404109773,3,,,POINT (-76.971391 -12.1924244),-9724186,0.011936145402436815
825426894,3,,,POINT (-76.9674983 -12.0178499),513990850,0.019585651217268928
1317143509,3,,,POINT (-77.0044719 -11.9685652),187076624,0.0025011921248264735
316802006,3,,,POINT (-77.06114340000001 -12.0682095),195079449,0.0029144087684888553
