osmid,street_count,highway,ref,geometry,university_osmid,university_dist
885811834,4,,,POINT (-77.0303871 -12.0416687),4763488127,0.0056304820681698335
1273981559,4,,,POINT (-76.94592900000001 -12.1426346),512632035,0.025034916357969846
262728314,3,,,POINT (-77.0523376 -12.1028712),625175155,0.007682271089238
885811838,4,traffic_signals,,POINT (-77.0284468 -12.0409734),4763488127,0.00588635249539053
262728323,4,traffic_signals,,POINT (-77.0573765 -12.1012625),625175155,0.0024612124229767265
885811844,4,,,POINT (-77.02709729999999 -12.0379328),4763488127,0.008988593699239409
885811843,3,,,POINT (-77.0226309 -12.0403908),6585870,0.006313332177425155
885811846,4,,,POINT (-77.0402598 -12.0339024),172600384,0.013385036160646673
1342139015,4,,,POINT (-76.9917512 -11.9658519),119562231,0.012077714574303977
885811847,3,,,POINT (-77.03037140000001 -12.0414899),4763488127,0.005789649019588611
885811853,4,,,POINT (-77.02852970000001 -12.0418829),4763488127,0.004982755101348008
885811855,3,,,POINT (-77.0252521 -12.0403043),6585870,0.006428135821255079
885811857,3,,,POINT (-77.03112419999999 -12.0396666),4763488127,0.007762218354307661
847669907,3,,,POINT (-77.0788549 -12.0194323),68872592,0.022545804529017745
885811860,3,,,POINT (-77.02726730000001 -12.0325184),4763488127,0.01436578836158882
1342139031,3,,,POINT (-76.9850276 -11.9599682),119562231,0.00584843587851146
885811864,3,,,POINT (-77.0226028 -12.0419228),6585870,0.004827690374354876
885811865,1,,,POINT (-77.02394630000001 -12.0415404),6585870,0.005041905292161297
1273621151,3,,,POINT (-76.8171985 -12.0172166),701396579,0.03622933892267599
4327205536,3,,,POINT (-76.9981274 -12.1889966),437330220,0.01149783282995406
1273883298,4,,,POINT (-76.957116 -12.1574265),512632035,0.017699836318465525
5043677858,3,,,POINT (-77.06899199999999 -11.9567946),220415161,0.00191624907627056
5043677860,3,motorway_junction,,POINT (-77.06899799999999 -11.9581403),405584319,0.0018020410225965938
885811875,4,,,POINT (-77.0289259 -12.0372601),4763488127,0.009622114289490344
885811878,4,,,POINT (-77.0276217 -12.0419668),4763488127,0.004920834430255903
885811879,3,,,POINT (-77.02726029999999 -12.0401767),4763488127,0.006742492417497189
885811880,4,,,POINT (-77.0254762 -12.0413265),6585870,0.0054957064731459915
1342139049,4,,,POINT (-76.9836032 -11.958201),119562231,0.00519830403620619
4354632363,3,,,POINT (-77.00912099999999 -12.0926694),437375014,0.01379035428009398
885811882,4,,,POINT (-77.0271637 -12.0377036),4763488127,0.00920846341850704
885811885,4,,,POINT (-77.03030889999999 -12.040779),4763488127,0.006433054270714914
386853552,4,traffic_signals,,POINT (-76.98181099999999 -12.129847),127709115,0.0030167817695962037
874867377,3,,,POINT (-77.0697297 -12.0678092),73952076,0.004559557117489227
885811888,4,,,POINT (-77.0302112 -12.039906),4763488127,0.007235329030526318
885811894,4,traffic_signals,,POINT (-77.025699 -12.0422729),6585870,0.004681621853076787
885811896,4,traffic_signals,,POINT (-77.02836000000001 -12.0401066),4763488127,0.00674975388736525
3247368889,3,traffic_signals,,POINT (-76.96490590000001 -12.0775895),331618378,0.00598748915448696
885811898,3,,,POINT (-77.02520800000001 -12.0424723),6585870,0.00432229464776209
1918036667,3,,,POINT (-77.0617835 -12.0035083),2699376371,0.003941042929230236
885811899,4,,,POINT (-77.03336880000001 -12.0395166),4763488127,0.008979174315048946
885811900,4,,,POINT (-77.0268701 -12.0378751),4763488127,0.009076200758025902
885811897,4,,,POINT (-77.0274548 -12.0410764),4763488127,0.005824929707730316
885811904,4,,,POINT (-77.0312931 -12.0406757),4763488127,0.006912497241952006
885811905,4,,,POINT (-77.032335 -12.038727),4763488127,0.009121678986898368
386853570,4,traffic_signals,,POINT (-76.98176170000001 -12.1297364),127709115,0.003082656064769232
1273916099,4,,,POINT (-76.8968933 -12.2462924),488970172,0.027170754717200426
1305701058,3,,,POINT (-77.0556689 -11.9339548),621763280,0.0028562358588742893
842885829,3,,,POINT (-77.0623238 -12.0023777),70650383,0.0027387306424318104
885811909,4,,,POINT (-77.0379317 -12.0359443),172600384,0.01155625596279274
1918036675,4,,,POINT (-77.05599960000001 -11.9661506),405584317,0.010622052519193811
4288572104,3,,,POINT (-77.0545125 -11.8333777),621763280,0.1011300210282611
1342139077,4,,,POINT (-76.9923678 -11.9709847),186174865,0.013269025611964053
1918036685,3,,,POINT (-77.06105530000001 -12.0041437),2699376371,0.0029839166560143376
3128682677,3,,,POINT (-77.0534024 -12.02159),68872592,0.003961366424202373
1342139091,4,,,POINT (-76.98407400000001 -11.9606125),119562231,0.006846980997836641
1305701076,4,,,POINT (-77.0927093 -11.9779736),590276717,0.02835665540995818
629041882,4,,,POINT (-77.1335376 -12.0611971),418674556,0.04272247965963415
4201081573,3,,,POINT (-77.1293548 -11.920086),438893627,0.06750107779705425
