u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,name,bridge,ref,tunnel,junction,access
315561710,416960537,0,470104499,True,3,primary,80,116.553,"LINESTRING (-76.9820715 -12.0878266, -76.9819645 -12.0879574, -76.9818329 -12.0881171, -76.9817177 -12.0882722, -76.98160470000001 -12.0884498, -76.9814732 -12.0886926)",Avenida Circunvalación,,,,,
315561713,1623035348,0,"[1013534377, 319664459, 400658929]",True,4,motorway,80,600.5989999999999,"LINESTRING (-76.9813271 -12.0890703, -76.9809504 -12.0915583, -76.98078580000001 -12.0926207, -76.98069529999999 -12.0932669, -76.98061509999999 -12.0939286, -76.9805479 -12.0944173)",Avenida Panamericana Sur,,PE-1S,,,
315562592,2840596713,0,439927974,True,6,motorway,90,40.197,"LINESTRING (-76.9828997 -12.0849147, -76.9832692 -12.0849263)",Avenida Javier Prado Este,,,,,
315562605,315562687,0,"[1187727266, 28707085, 399546978]",True,4,primary,"['80', '60']",124.96,"LINESTRING (-76.9841918 -12.0842806, -76.9841229 -12.0846737, -76.984003 -12.0853233, -76.9839922 -12.0853873)",Avenida Circunvalación,yes,,,,
315562653,315562605,0,28707026,True,2,motorway_link,60,268.4680000000001,"LINESTRING (-76.984566 -12.0849684, -76.9847477 -12.0849166, -76.9848423 -12.0848885, -76.98489790000001 -12.0848724, -76.9849516 -12.0848511, -76.98500730000001 -12.0848221, -76.98505950000001 -12.0847875, -76.98509850000001 -12.0847545, -76.9851333 -12.0847173, -76.9851637 -12.084676, -76.9851889 -12.0846314, -76.9852087 -12.0845837, -76.98522370000001 -12.0845344, -76.9852339 -12.0844839, -76.9852398 -12.0844168, -76.9852372 -12.0843495, -76.9852288 -12.0842956, -76.9852145 -12.0842429, -76.9851943 -12.0841921, -76.9851685 -12.0841436, -76.9851374 -12.0840981, -76.9851014 -12.0840562, -76.9850591 -12.0840167, -76.985012 -12.0839827, -76.984961 -12.0839547, -76.98491110000001 -12.0839347, -76.9848593 -12.0839204, -76.9848061 -12.0839121, -76.984753 -12.0839082, -76.9846998 -12.08391, -76.9846471 -12.0839174, -76.9845936 -12.0839309, -76.984542 -12.0839502, -76.98449290000001 -12.0839751, -76.98442850000001 -12.0840183, -76.98436820000001 -12.0840669, -76.9843085 -12.0841246, -76.98425469999999 -12.0841877, -76.9841918 -12.0842806)",,,,,,
315562653,2990150875,0,279876631,True,5,motorway,90,59.167,"LINESTRING (-76.984566 -12.0849684, -76.9847066 -12.0849731, -76.984847 -12.0849822, -76.9849778 -12.0849947, -76.98510810000001 -12.0850109)",Avenida Javier Prado Este,,,,,
315562656,315561470,0,279876630,True,5,motorway,90,73.319,"LINESTRING (-76.9842348 -12.085112, -76.98356080000001 -12.0850917)",Avenida Javier Prado Este,,,,,
315562687,315562656,0,28707030,True,1,motorway_link,75,283.59999999999997,"LINESTRING (-76.9839922 -12.0853873, -76.9839826 -12.0856333, -76.9839826 -12.0856989, -76.9839877 -12.0857839, -76.9839987 -12.0858418, -76.9840081 -12.0858722, -76.98401749999999 -12.0859008, -76.9840349 -12.0859374, -76.984055 -12.085969, -76.98407779999999 -12.0859953, -76.9841114 -12.0860228, -76.9841457 -12.0860425, -76.98419320000001 -12.0860608, -76.984228 -12.0860713, -76.98427650000001 -12.086078, -76.9843219 -12.0860766, -76.9843637 -12.0860689, -76.9844145 -12.0860516, -76.98446819999999 -12.0860302, -76.9845419 -12.0859992, -76.9846076 -12.085969, -76.98466500000001 -12.0859424, -76.9847055 -12.0859179, -76.98474179999999 -12.0858901, -76.9847779 -12.0858563, -76.9848047 -12.0858195, -76.9848227 -12.0857918, -76.98484089999999 -12.0857566, -76.98485839999999 -12.0857107, -76.9848671 -12.0856746, -76.98487249999999 -12.0856224, -76.9848745 -12.0855822, -76.98487110000001 -12.085538, -76.98486509999999 -12.0854982, -76.9848509 -12.0854521, -76.98483419999999 -12.0854091, -76.984813 -12.0853747, -76.98478830000001 -12.0853375, -76.98476580000001 -12.0853129, -76.9847298 -12.0852825, -76.9846862 -12.0852494, -76.9846505 -12.0852268, -76.9845983 -12.085204, -76.9845419 -12.0851822, -76.9844681 -12.0851612, -76.9842348 -12.085112)",,,,,,
315562687,315561710,0,279876650,True,4,primary,80,359.792,"LINESTRING (-76.9839922 -12.0853873, -76.9839209 -12.0858141, -76.9838586 -12.0861513, -76.98384299999999 -12.0862121, -76.9838231 -12.0862716, -76.9837989 -12.0863297, -76.9837631 -12.086399, -76.9837213 -12.0864649, -76.9836684 -12.0865319, -76.9836111 -12.0865952, -76.9835377 -12.0866654, -76.9834589 -12.0867296, -76.9824095 -12.0875151, -76.9823391 -12.0875683, -76.9822714 -12.0876246, -76.98220139999999 -12.0876887, -76.9821347 -12.0877561, -76.9820715 -12.0878266)",Avenida Circunvalación,,,,,
316069449,3630203630,0,314787097,True,2,primary,55,129.383,"LINESTRING (-77.0007489 -12.1069518, -77.00075649999999 -12.1068997, -77.00080440000001 -12.1065715, -77.0008972 -12.1059356, -77.0009096 -12.1058515, -77.000917 -12.1057999)",Avenida Aviación,,,,,
316069659,417251208,0,761868178,True,,residential,40,19.242,"LINESTRING (-77.00117950000001 -12.1052083, -77.00100260000001 -12.1052135)",Jirón Andrés Vesalio,,,,,
316069659,3630222472,0,404636461,True,3,primary,60,67.53,"LINESTRING (-77.00117950000001 -12.1052083, -77.0011715 -12.1052794, -77.0011331 -12.1056681, -77.00112729999999 -12.1057323, -77.00112 -12.1058128)",Avenida Aviación,,,,,
316071836,263928959,0,319786282,True,3,primary,,28.718,"LINESTRING (-77.0000642 -12.1116474, -77.00032760000001 -12.1116668)",Avenida Angamos Este,,,,,
316071836,473984924,0,"[1147125772, 761868046]",True,3,primary,55,83.06899999999999,"LINESTRING (-77.0000642 -12.1116474, -77.00009180000001 -12.1114897, -77.0001377 -12.1112271, -77.00017990000001 -12.1109091)",Avenida Aviación,,,,,
316072788,1673695523,0,400658929,True,4,motorway,80,41.168,"LINESTRING (-76.97975599999999 -12.0999904, -76.97970309999999 -12.100357)",Avenida Panamericana Sur,,PE-1S,,,
316073060,3627437020,0,"[416298596, 28746982]",True,2,motorway_link,40,463.6120000000001,"LINESTRING (-76.9790594 -12.1050661, -76.97903049999999 -12.105946, -76.9789514 -12.1069913, -76.9788666 -12.1083413, -76.9788303 -12.1087722, -76.9788279 -12.1089136, -76.97884670000001 -12.109031, -76.9788623 -12.1090799, -76.9788786 -12.1091246, -76.9789253 -12.1092102)",,,,,,
316073060,316073328,0,"[1013534380, 1013534381, 446691519]",True,4,motorway,80,529.22,"LINESTRING (-76.9790594 -12.1050661, -76.97894599999999 -12.1058077, -76.97883419999999 -12.1065852, -76.9784303 -12.1094254, -76.97838830000001 -12.1097799)",Avenida Panamericana Sur,,PE-1S,,,
316073153,3627437019,0,34113731,True,2,secondary,50,166.924,"LINESTRING (-76.9801691 -12.1101958, -76.9802598 -12.1101452, -76.9803052 -12.1101096, -76.98033789999999 -12.1100587, -76.98035280000001 -12.1100075, -76.9803508 -12.1099569, -76.9803323 -12.1099057, -76.9801903 -12.1096562, -76.9801186 -12.1095216, -76.9800317 -12.1093528, -76.9799422 -12.1091518, -76.9798885 -12.1090044, -76.979851 -12.1088881)",Avenida Buena Vista,,,,,
316073153,4352768318,0,416298596,True,2,motorway_link,40,48.859,"LINESTRING (-76.9801691 -12.1101958, -76.9804563 -12.1102401, -76.98054089999999 -12.1102648, -76.9806047 -12.1102938)",,,,,,
316624764,471581977,0,"[39359907, 39359908, 1146755654]",True,3,primary,"['60', '55']",56.04600000000001,"LINESTRING (-77.00346260000001 -12.0882818, -77.0034694 -12.088235, -77.0035196 -12.0878869, -77.00353130000001 -12.0877823)",Avenida Aviación,yes,,,,
