source;amenity;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes;tiempoponderado30kmh
31035148;hospital;0.033;0.05;0.033;0.05;0.066
31035148;police;0.002;0.0;0.002;0.0;0.004
31035148;school;0.003;0.0;0.003;0.0;0.006
31035148;university;0.034;0.05;0.034;0.05;0.068
31035152;bank;0.6970000000000001;1.8;0.6970000000000001;1.1666666666666663;1.394
31035152;courthouse;0.7890000000000001;1.95;0.7890000000000001;1.35;1.5780000000000003
31035152;hospital;0.6970000000000001;1.8;0.6970000000000001;1.1666666666666663;1.394
31035152;police;0.344;0.6833333333333333;0.344;0.6833333333333333;0.688
31035152;school;0.0;0.0;0.0;0.0;0.0
31035152;university;0.7000000000000001;1.8;0.7000000000000001;1.1666666666666663;1.4
31035172;bank;0.184;0.31666666666666665;0.184;0.31666666666666665;0.368
31035172;courthouse;0.057;0.1;0.057;0.1;0.114
31035172;hospital;0.0;0.0;0.0;0.0;0.0
31035172;police;0.226;1.5833333333333333;0.226;0.7166666666666667;0.452
31035172;school;0.0;0.0;0.0;0.0;0.0
31035172;university;0.002;0.0;0.002;0.0;0.004
31035231;bank;0.7090000000000001;1.8;0.7090000000000001;1.1666666666666663;1.418
31035231;courthouse;0.8010000000000002;1.95;0.8010000000000002;1.35;1.6020000000000003
31035231;hospital;0.7090000000000001;1.8;0.7090000000000001;1.1666666666666663;1.418
31035231;police;0.35600000000000004;0.6833333333333333;0.35600000000000004;0.6833333333333333;0.7120000000000001
31035231;school;0.012;0.0;0.012;0.0;0.024
31035231;university;0.7120000000000001;1.8;0.7120000000000001;1.1666666666666663;1.4240000000000002
31035247;bank;0.0;0.0;0.0;0.0;0.0
31035247;courthouse;0.4040000000000001;1.45;0.4070000000000001;1.2666666666666666;0.8080000000000002
31035247;hospital;1.517;3.95;1.515;4.266666666666668;3.0340000000000003
31035247;police;0.34;1.0333333333333334;0.34299999999999997;0.9;0.68
31035247;school;0.002;0.0;0.002;0.0;0.004
31035247;university;1.2180000000000002;2.2666666666666666;1.2190000000000003;1.95;2.4360000000000004
31035249;bank;0.5359999999999999;1.5;0.5339999999999999;1.9666666666666668;1.0719999999999998
