source;target;tiempoponderado30kmh
263389687;108064627;0.4
263389688;257946636;9.559999999999993
263389688;4334512405;9.131999999999994
263389688;885797822;5.0779999999999985
263389688;257946702;9.417999999999994
263389688;108154712;11.483999999999996
263389688;888357854;9.385999999999994
263389688;108064627;0.3940000000000001
263389689;257946636;9.551999999999994
263389689;4334512405;9.123999999999995
263389689;885797822;5.0699999999999985
263389689;257946702;9.409999999999995
263389689;108154712;11.475999999999997
263389689;888357854;9.377999999999995
263389689;108064627;0.38600000000000007
263389691;257946636;9.547999999999993
263389691;4334512405;9.119999999999994
263389691;885797822;5.065999999999998
263389691;257946702;9.405999999999993
263389691;108154712;11.471999999999996
263389691;888357854;9.373999999999993
263389691;108064627;0.38200000000000006
263389694;257946636;9.539999999999994
263389694;4334512405;9.111999999999995
263389694;885797822;5.057999999999998
263389694;257946702;9.397999999999994
263389694;108154712;11.463999999999997
263389694;888357854;9.365999999999994
263389694;108064627;0.37400000000000005
263389697;257946636;9.523999999999992
263389697;4334512405;9.095999999999993
263389697;885797822;5.041999999999998
263389697;257946702;9.381999999999993
263389697;108154712;11.447999999999995
263389697;888357854;9.349999999999993
263389697;108064627;0.3580000000000001
263389695;257946636;9.531999999999993
263389695;4334512405;9.103999999999994
263389695;885797822;5.049999999999998
263389695;257946702;9.389999999999993
263389695;108154712;11.455999999999996
263389695;888357854;9.357999999999993
263389695;108064627;0.36600000000000005
627835408;301457363;0.28600000000000003
4268392982;301457363;0.4660000000000001
263389729;257946636;9.569999999999993
263389729;4334512405;9.141999999999994
263389729;885797822;5.087999999999998
263389729;257946702;9.427999999999994
263389729;108154712;11.493999999999996
263389729;888357854;9.395999999999994
263389729;108064627;0.404
263389733;257946636;9.585999999999993
263389733;4334512405;9.157999999999994
263389733;885797822;5.103999999999998
263389733;257946702;9.443999999999994
263389733;108154712;11.509999999999996
263389733;888357854;9.411999999999994
263389733;108064627;0.42000000000000004
821756480;821687856;0.014
3042149058;257946636;6.307999999999998
3042149058;4334512405;5.879999999999998
3042149058;885797822;2.5739999999999976
3042149058;257946702;6.165999999999999
3042149058;108154712;8.231999999999998
3042149058;888357854;6.133999999999999
3042149058;108064627;7.157999999999994
262570744;259996518;1.03
262570769;259996518;1.014
