osmid,y,x,ref,highway,street_count,geometry
3014901405,-12.1086698,-76.9835878,,,3,POINT (-76.9835878 -12.1086698)
3191627303,-12.0885313,-77.000547,,,3,POINT (-77.000547 -12.0885313)
3191635855,-12.0898185,-77.0003704,,,3,POINT (-77.00037039999999 -12.0898185)
3352889093,-12.0944804,-77.004301,,,3,POINT (-77.004301 -12.0944804)
3352889094,-12.0951142,-77.0043248,,,3,POINT (-77.00432480000001 -12.0951142)
3627410901,-12.0875255,-76.9882522,,,3,POINT (-76.98825220000001 -12.0875255)
3627410928,-12.0937044,-76.9823893,,,3,POINT (-76.98238929999999 -12.0937044)
3627418982,-12.0946608,-76.9879953,,,3,POINT (-76.98799529999999 -12.0946608)
3627429731,-12.0953586,-76.9875201,,,3,POINT (-76.9875201 -12.0953586)
3627437019,-12.1088881,-76.979851,,,3,POINT (-76.979851 -12.1088881)
3627437020,-12.1092102,-76.9789253,,,3,POINT (-76.9789253 -12.1092102)
3627443194,-12.1105353,-76.9855832,,,3,POINT (-76.98558319999999 -12.1105353)
3627448181,-12.1098775,-76.9927814,,,3,POINT (-76.9927814 -12.1098775)
3627448184,-12.1104026,-76.9934139,,,3,POINT (-76.99341389999999 -12.1104026)
3627452922,-12.1084143,-76.9915045,,,3,POINT (-76.9915045 -12.1084143)
3627735595,-12.1063841,-76.9915727,,,3,POINT (-76.99157270000001 -12.1063841)
3627759397,-12.0988653,-76.9936651,,,3,POINT (-76.9936651 -12.0988653)
3627759425,-12.097628,-76.9924238,,,3,POINT (-76.9924238 -12.097628)
3627823286,-12.0867785,-76.9927481,,,3,POINT (-76.9927481 -12.0867785)
3627823287,-12.0874004,-76.9926418,,,3,POINT (-76.9926418 -12.0874004)
3628169187,-12.110548,-77.0002229,,,3,POINT (-77.0002229 -12.110548)
3628169497,-12.1086949,-76.9994137,,,3,POINT (-76.99941370000001 -12.1086949)
3628169514,-12.1074306,-76.9995081,,,3,POINT (-76.9995081 -12.1074306)
3628169544,-12.1098663,-76.9984315,,,3,POINT (-76.9984315 -12.1098663)
3628169549,-12.1114553,-76.9986422,,,3,POINT (-76.99864220000001 -12.1114553)
3628169582,-12.1098055,-76.9974938,,,3,POINT (-76.9974938 -12.1098055)
3628169593,-12.1092455,-76.9984641,,,3,POINT (-76.99846410000001 -12.1092455)
3628169609,-12.1085689,-76.9975754,,,3,POINT (-76.9975754 -12.1085689)
3628181702,-12.1085007,-76.9967049,,,3,POINT (-76.9967049 -12.1085007)
3628181708,-12.1091859,-76.997532,,,3,POINT (-76.99753200000001 -12.1091859)
3628181742,-12.1097503,-76.9965945,,,3,POINT (-76.9965945 -12.1097503)
3628219077,-12.1100208,-76.996563,,,3,POINT (-76.99656299999999 -12.1100208)
3628219078,-12.1100558,-76.9953542,,,3,POINT (-76.99535419999999 -12.1100558)
3628219079,-12.111254,-76.995827,,,3,POINT (-76.99582700000001 -12.111254)
3630203630,-12.1057999,-77.000917,,,4,POINT (-77.000917 -12.1057999)
3630204829,-12.1058306,-76.9926746,,,3,POINT (-76.9926746 -12.1058306)
3630204830,-12.1061352,-76.9931615,,,3,POINT (-76.9931615 -12.1061352)
3630210491,-12.1064487,-76.9986878,,,1,POINT (-76.9986878 -12.1064487)
3630222472,-12.1058128,-77.00112,,,4,POINT (-77.00112 -12.1058128)
3630222483,-12.1058413,-77.0035871,,,3,POINT (-77.0035871 -12.1058413)
3630222488,-12.1062382,-77.0024108,,,3,POINT (-77.00241080000001 -12.1062382)
3630222489,-12.1058391,-77.002454,,,3,POINT (-77.002454 -12.1058391)
3630229204,-12.1072175,-77.0012339,,,3,POINT (-77.0012339 -12.1072175)
3630229213,-12.1084376,-77.0009272,,,3,POINT (-77.00092720000001 -12.1084376)
3630229215,-12.1086641,-77.0008901,,,4,POINT (-77.00089010000001 -12.1086641)
3630229218,-12.1087051,-77.0013281,,,3,POINT (-77.00132809999999 -12.1087051)
3630229223,-12.1058401,-77.0041795,,,3,POINT (-77.00417950000001 -12.1058401)
3630330845,-12.1104568,-77.0027407,,,3,POINT (-77.0027407 -12.1104568)
3630330846,-12.1113596,-77.003505,,,4,POINT (-77.003505 -12.1113596)
3630330855,-12.1088973,-77.0009506,,,3,POINT (-77.0009506 -12.1088973)
3630330864,-12.1088237,-77.0007202,,,3,POINT (-77.0007202 -12.1088237)
3630330869,-12.1073063,-77.0030163,,,4,POINT (-77.0030163 -12.1073063)
3630420663,-12.1086159,-77.0090452,,,3,POINT (-77.0090452 -12.1086159)
3649272055,-12.1078676,-76.9836453,,,4,POINT (-76.98364530000001 -12.1078676)
3743408643,-12.0816618,-76.986301,,,3,POINT (-76.986301 -12.0816618)
3743408647,-12.0824214,-76.9857101,,,3,POINT (-76.98571010000001 -12.0824214)
3903819427,-12.1116785,-77.0061936,,,1,POINT (-77.0061936 -12.1116785)
3903819663,-12.1066026,-77.003907,,,3,POINT (-77.003907 -12.1066026)
3903819668,-12.1058402,-77.0041095,,,3,POINT (-77.0041095 -12.1058402)
3949418115,-12.0877435,-77.0016447,5,motorway_junction,3,POINT (-77.0016447 -12.0877435)
3949426095,-12.0875554,-77.0024943,,,3,POINT (-77.0024943 -12.0875554)
3949426097,-12.0875417,-77.0010083,,,3,POINT (-77.0010083 -12.0875417)
3975112916,-12.107729,-76.9922872,,,3,POINT (-76.99228720000001 -12.107729)
3975113032,-12.1066415,-76.9923269,,,3,POINT (-76.99232689999999 -12.1066415)
3976168000,-12.0951477,-76.9994445,,,2,POINT (-76.9994445 -12.0951477)
3976168029,-12.0953623,-76.9975239,,,1,POINT (-76.9975239 -12.0953623)
4022495044,-12.0868256,-77.0039076,,,3,POINT (-77.00390760000001 -12.0868256)
4022571668,-12.0887741,-77.0070293,,,3,POINT (-77.0070293 -12.0887741)
4022571672,-12.088274,-77.0044619,,,3,POINT (-77.0044619 -12.088274)
4022580203,-12.0882195,-77.0030581,,,3,POINT (-77.0030581 -12.0882195)
4022580205,-12.0878158,-77.0010716,,,3,POINT (-77.0010716 -12.0878158)
4022580206,-12.0877401,-77.0005137,,motorway_junction,3,POINT (-77.0005137 -12.0877401)
4022580207,-12.087644,-76.9990272,,,3,POINT (-76.9990272 -12.087644)
4022602745,-12.0864193,-76.992999,,,3,POINT (-76.992999 -12.0864193)
4022717906,-12.0873953,-77.0031034,,,3,POINT (-77.0031034 -12.0873953)
4022717907,-12.0874419,-77.0035715,,,4,POINT (-77.00357150000001 -12.0874419)
4022717915,-12.0860291,-77.0037277,,,4,POINT (-77.0037277 -12.0860291)
4037277663,-12.0855436,-77.0003475,,,3,POINT (-77.0003475 -12.0855436)
4037293700,-12.084136,-76.9992288,,,3,POINT (-76.9992288 -12.084136)
4037293706,-12.0841672,-76.9989707,,,1,POINT (-76.9989707 -12.0841672)
4037293707,-12.0841009,-76.9989879,,,3,POINT (-76.9989879 -12.0841009)
4037293751,-12.0853145,-76.9973273,,,1,POINT (-76.99732729999999 -12.0853145)
4037364582,-12.0870186,-76.9979996,,,3,POINT (-76.9979996 -12.0870186)
4037364583,-12.0860346,-76.9981601,,,3,POINT (-76.99816010000001 -12.0860346)
4038977441,-12.082772,-76.9851546,5A,motorway_junction,4,POINT (-76.9851546 -12.082772)
4042528361,-12.1112697,-76.9960836,,,3,POINT (-76.99608360000001 -12.1112697)
4042528362,-12.1114005,-76.9965017,,,3,POINT (-76.9965017 -12.1114005)
4042528365,-12.1109397,-76.9897281,,,3,POINT (-76.98972809999999 -12.1109397)
4042528366,-12.1111084,-76.9934417,,traffic_signals,4,POINT (-76.99344170000001 -12.1111084)
4069101876,-12.0975663,-76.9951408,,,3,POINT (-76.9951408 -12.0975663)
4069101926,-12.0988693,-76.9930104,,,3,POINT (-76.9930104 -12.0988693)
4069101985,-12.0957637,-77.0100132,,,3,POINT (-77.0100132 -12.0957637)
4069101992,-12.0958364,-77.0096288,,,3,POINT (-77.0096288 -12.0958364)
4069103434,-12.101015,-77.0062868,,,4,POINT (-77.0062868 -12.101015)
4069186616,-12.1011324,-77.001791,,,4,POINT (-77.001791 -12.1011324)
4109970355,-12.1086129,-77.0005013,,,3,POINT (-77.0005013 -12.1086129)
4115602736,-12.1080064,-77.0021387,,,4,POINT (-77.0021387 -12.1080064)
4115602737,-12.1085589,-77.0009054,,,4,POINT (-77.00090539999999 -12.1085589)
4170785937,-12.1098272,-76.9804914,,,3,POINT (-76.98049140000001 -12.1098272)
4170785941,-12.1103005,-76.9807078,,traffic_signals,4,POINT (-76.9807078 -12.1103005)
4170786726,-12.1106204,-76.9884875,,,3,POINT (-76.98848750000001 -12.1106204)
4170786730,-12.1107441,-76.9885823,,,4,POINT (-76.9885823 -12.1107441)
4170786741,-12.1080427,-76.9886687,,,5,POINT (-76.98866870000001 -12.1080427)
4170789705,-12.1068857,-76.9995527,,,3,POINT (-76.9995527 -12.1068857)
4197399900,-12.1076511,-76.9885654,,,4,POINT (-76.9885654 -12.1076511)
4197399901,-12.1078366,-76.9857642,,,3,POINT (-76.98576420000001 -12.1078366)
4261314258,-12.0869547,-77.0079538,,,3,POINT (-77.0079538 -12.0869547)
4267410199,-12.1064365,-76.9897388,,,3,POINT (-76.9897388 -12.1064365)
4267410201,-12.1075689,-76.9896627,,,3,POINT (-76.9896627 -12.1075689)
4267410213,-12.1031324,-76.9898407,,,3,POINT (-76.9898407 -12.1031324)
4267410214,-12.1082079,-76.9919132,,,3,POINT (-76.9919132 -12.1082079)
4267427382,-12.0914216,-76.9858149,,,3,POINT (-76.98581489999999 -12.0914216)
4267427383,-12.09123,-76.9859645,,,3,POINT (-76.98596449999999 -12.09123)
4267427385,-12.0915438,-76.9860211,,,3,POINT (-76.9860211 -12.0915438)
4267427388,-12.0913169,-76.9861223,,,3,POINT (-76.98612230000001 -12.0913169)
4267427491,-12.0914626,-76.9861228,,,3,POINT (-76.9861228 -12.0914626)
4267427498,-12.0913257,-76.9858256,,,3,POINT (-76.9858256 -12.0913257)
4267427506,-12.0916067,-76.9861609,,,3,POINT (-76.9861609 -12.0916067)
4267427508,-12.0928835,-76.9858588,,,3,POINT (-76.9858588 -12.0928835)
4267427512,-12.0912433,-76.9860425,,,3,POINT (-76.9860425 -12.0912433)
4267524448,-12.0858337,-76.9966999,,,3,POINT (-76.9966999 -12.0858337)
4274013912,-12.0826173,-76.9875329,,,3,POINT (-76.98753290000001 -12.0826173)
4274013913,-12.0829871,-76.9872398,,,3,POINT (-76.9872398 -12.0829871)
4274013914,-12.0833732,-76.9869341,,,3,POINT (-76.9869341 -12.0833732)
4295217130,-12.0985949,-76.9990978,,,1,POINT (-76.9990978 -12.0985949)
4324429964,-12.0846299,-76.9937074,,,3,POINT (-76.99370740000001 -12.0846299)
4348865379,-12.1107096,-76.9896491,,,3,POINT (-76.98964909999999 -12.1107096)
4348865382,-12.110694,-76.989402,,,3,POINT (-76.989402 -12.110694)
4351474149,-12.1114655,-76.998768,,,3,POINT (-76.998768 -12.1114655)
4351514722,-12.111493,-76.9991888,,,3,POINT (-76.9991888 -12.111493)
4351514723,-12.1115904,-76.9990818,,,3,POINT (-76.9990818 -12.1115904)
4351533376,-12.1096533,-77.0003547,,,3,POINT (-77.0003547 -12.1096533)
4351533382,-12.1095626,-77.0006189,,,3,POINT (-77.00061890000001 -12.1095626)
4351533393,-12.1093657,-77.0006423,,traffic_signals,3,POINT (-77.0006423 -12.1093657)
4351533396,-12.1116851,-77.0006742,,,3,POINT (-77.00067420000001 -12.1116851)
4351533398,-12.1120061,-77.0051276,,,3,POINT (-77.00512759999999 -12.1120061)
4351533399,-12.1119146,-77.0053612,,,3,POINT (-77.0053612 -12.1119146)
4351664991,-12.1108671,-76.9899789,,,3,POINT (-76.9899789 -12.1108671)
4351672998,-12.1113704,-76.9986461,,,1,POINT (-76.9986461 -12.1113704)
4351724515,-12.0917993,-77.004383,,,3,POINT (-77.004383 -12.0917993)
4351744830,-12.0931583,-76.9954113,,,3,POINT (-76.9954113 -12.0931583)
4351765734,-12.092236,-76.9950735,,,3,POINT (-76.9950735 -12.092236)
4352753160,-12.0861998,-76.988348,,,3,POINT (-76.988348 -12.0861998)
4352753162,-12.0859245,-76.9868897,,,3,POINT (-76.98688970000001 -12.0859245)
4352768318,-12.1102938,-76.9806047,,,3,POINT (-76.9806047 -12.1102938)
4352832972,-12.1070553,-76.9848462,,,3,POINT (-76.98484620000001 -12.1070553)
4352832978,-12.1074278,-76.9846772,,,3,POINT (-76.98467719999999 -12.1074278)
4352832979,-12.1064004,-76.984901,,,3,POINT (-76.98490099999999 -12.1064004)
4352893209,-12.1103786,-76.981783,,,3,POINT (-76.98178299999999 -12.1103786)
4352989148,-12.105165,-77.0050843,,,4,POINT (-77.00508429999999 -12.105165)
4352989150,-12.1072326,-77.0011069,,,3,POINT (-77.0011069 -12.1072326)
4352989151,-12.1059094,-77.0011141,,,3,POINT (-77.0011141 -12.1059094)
4353006213,-12.1086464,-77.0007456,,,4,POINT (-77.0007456 -12.1086464)
4353013495,-12.1063663,-76.9886584,,,3,POINT (-76.98865840000001 -12.1063663)
4353108041,-12.097618,-77.0002936,,,3,POINT (-77.00029360000001 -12.097618)
4353108045,-12.0974501,-77.0000255,,,3,POINT (-77.00002550000001 -12.0974501)
4354022565,-12.1072534,-77.0104226,,,4,POINT (-77.0104226 -12.1072534)
4354035769,-12.10874,-77.0088049,,,3,POINT (-77.0088049 -12.10874)
4354035770,-12.1086039,-77.0088131,,,3,POINT (-77.0088131 -12.1086039)
4354472876,-12.1086169,-77.0101258,,,3,POINT (-77.0101258 -12.1086169)
4354632363,-12.0926884,-77.0091311,,,3,POINT (-77.0091311 -12.0926884)
4354637579,-12.1015263,-77.0105628,,,3,POINT (-77.0105628 -12.1015263)
4355813784,-12.0868424,-77.0046839,,,1,POINT (-77.0046839 -12.0868424)
