index1;u;v;wazeinfo
346014;1817562503;5794547930;(1.9333333333333333, 0.225)
152034;915282667;915282159;(0.0, 0.0)
346015;1817562505;1817562518;(0.21666666666666667, 0.047)
346018;1817562509;1817562497;(0.016666666666666666, 0.002)
152038;915282669;912508010;(0.0, 0.003)
281563;5390573811;1024466687;(0.0, 0.0)
118;495246440;495246258;(0.0, 0.002)
75850;5557860729;9711874236;(0.16666666666666666, 0.035)
204827;1379780059;1379780161;(0.0, 0.0)
204836;1379780068;1379780187;(0.0, 0.001)
281568;5390577577;5390577576;(0.7666666666666667, 0.428)
281575;5391007126;5489263753;(0.0, 0.002)
204838;1379780068;1379780109;(0.2833333333333333, 0.086)
75860;5557860732;5557860733;(0.16666666666666666, 0.085)
120;495246440;495247833;(0.16666666666666666, 0.06)
152041;915282672;915282439;(0.25, 0.033)
346021;1817562518;4333046523;(0.7833333333333333, 0.221)
346028;1817562529;4333046522;(-1, -1)
152042;915282672;915282236;(1.3833333333333333, 0.092)
152052;915282694;915282191;(0.4166666666666667, 0.14)
346033;1817605495;4288690278;(0.21666666666666667, 0.058)
346035;1817605509;2469924533;(0.0, 0.001)
204846;1379780078;1379780041;(0.43333333333333335, 0.221)
75864;5557860734;5557860732;(0.25, 0.046)
204857;1379780092;9130944688;(0.06666666666666667, 0.035)
204862;1379780105;1379780080;(0.13333333333333333, 0.046)
281577;5391032328;2146224917;(0.0, 0.001)
130;495246915;495248233;(0.0, 0.003)
133;495247286;495249883;(0.016666666666666666, 0.003)
138;495247803;495246440;(0.15, 0.022)
152053;915282694;819210987;(0.3, 0.101)
346040;1817605526;1817605528;(0.016666666666666666, 0.004)
346050;1817605532;1817605538;(-1, -1)
346053;1817605538;1817605581;(0.016666666666666666, 0.003)
281592;5391032366;414231227;(0.0, 0.002)
75866;5557860734;5557860735;(0.23333333333333334, 0.099)
75868;5557860735;5557860734;(0.0, 0.003)
204866;1379780109;1379780068;(0.0, 0.001)
204870;1379780128;7286521986;(0.0, 0.0)
346055;1817605544;1817605567;(0.03333333333333333, 0.01)
204918;1379780250;11018868034;(0.18333333333333332, 0.036)
204926;1379780259;11018868034;(-1, -1)
281618;5392854589;1273899852;(0.3333333333333333, 0.123)
281624;5393125968;133955868;(-1, -1)
281627;5393126018;5393126019;(0.0, 0.0)
152056;915282695;915282169;(0.016666666666666666, 0.002)
142;495247833;495246440;(0.0, 0.001)
152059;915282698;915282075;(0.06666666666666667, 0.014)
157;495249195;495249799;(-1, -1)
152061;915282699;915282075;(0.0, 0.0)
75874;5559416822;5559416821;(0.16666666666666666, 0.121)
159;495249232;495246258;(0.06666666666666667, 0.018)
160;495249232;495249745;(-1, -1)
75875;5559416822;4779817428;(0.0, 0.0)
165;495249745;495249195;(0.2833333333333333, 0.058)
166;495249745;495249799;(0.0, 0.0)
281636;5393128194;5393128195;(0.23333333333333334, 0.284)
281655;5393231517;5393231518;(0.0, 0.001)
281659;5393231518;5393231517;(0.1, 0.052)
346057;1817605544;1817605532;(0.0, 0.002)
204929;1379780261;3126718369;(0.0, 0.0)
346061;1817605567;1817605591;(-1, -1)
281662;5393231519;1756593128;(0.0, 0.0)
281665;5393231520;1273895861;(-1, -1)
346063;1817605567;5120653790;(0.8, 0.171)
172;495249883;495250272;(0.03333333333333333, 0.004)
75876;5559416822;5559416834;(0.08333333333333333, 0.06)
175;495250272;495251141;(0.08333333333333333, 0.022)
204949;1379780287;1379780281;(0.0, 0.0)
204954;1379780293;1379780319;(0.0, 0.0)
281668;5393231522;1273986233;(0.2833333333333333, 0.066)
152063;915282700;915282530;(0.11666666666666667, 0.052)
281679;5393231541;5115831850;(0.0, 0.004)
183;495251141;495248223;(0.0, 0.002)
346067;1817605581;1817605663;(1.4, 0.139)
281685;5393252248;5393252249;(-1, -1)
281693;5393252250;5574533969;(0.13333333333333333, 0.048)
281701;5393252257;4270231329;(0.4, 0.079)
185;495277725;495280524;(0.25, 0.049)
194;495279987;495280193;(1.6333333333333333, 0.549)
346068;1817605591;5120653792;(0.0, 0.003)
346069;1817605591;1817605567;(-1, -1)
198;495280193;9901117249;(0.5, 0.17)
205;495280524;5625419952;(0.3, 0.106)
204956;1379780297;1379780289;(0.0, 0.0)
281703;5393252262;5645976296;(0.3333333333333333, 0.038)
204960;1379780299;1379780320;(0.4666666666666667, 0.037)
281706;5393252263;5740114004;(0.8, 0.168)
204966;1379780304;1379780323;(-1, -1)
75885;5559416825;5559416824;(0.13333333333333333, 0.094)
204967;1379780304;1379780287;(-1, -1)
75888;5559416826;4779817437;(0.0, 0.004)
281711;5393252266;5755267668;(0.16666666666666666, 0.034)
281712;5393252266;5393252271;(0.0, 0.002)
346070;1817605591;9257624451;(0.0, 0.0)
209;495280679;9901117333;(0.9, 0.238)
152071;915282702;915282123;(0.25, 0.035)
152073;915282704;915282619;(0.18333333333333332, 0.139)
281721;5393451565;1273913267;(0.0, 0.001)
152074;915282704;915282368;(0.3333333333333333, 0.152)
204968;1379780306;1379749057;(0.0, 0.001)
204969;1379780306;1379780319;(0.16666666666666666, 0.052)
204985;1379780323;1379780320;(-1, -1)
204992;1379780326;1379780324;(0.0, 0.0)
204993;1379780326;1379780331;(0.21666666666666667, 0.051)
346079;1817605652;1817605788;(0.5, 0.148)
346087;1817605663;1817605702;(0.15, 0.052)
75891;5559416827;5559416829;(0.1, 0.074)
346093;1817605673;1817605700;(0.5666666666666667, 0.066)
210;495280679;9901117336;(0.8666666666666667, 0.228)
281723;5393451566;1371263278;(0.0, 0.002)
281727;5393451567;1273714364;(0.13333333333333333, 0.048)
204995;1379780327;1379780323;(0.0, 0.0)
204999;1379780331;1379780326;(0.0, 0.0)
221;495284663;472562901;(0.016666666666666666, 0.009)
222;495284701;7059096576;(0.0, 0.0)
228;495301299;7061240102;(0.0, 0.006)
233;495302188;495302399;(-1, -1)
346102;1817605724;1817605820;(0.016666666666666666, 0.005)
152075;915282705;915282374;(0.0, 0.001)
346104;1817605724;5120653770;(0.2833333333333333, 0.048)
75896;5559416828;5559416834;(0.16666666666666666, 0.114)
281731;5393459600;4396923064;(0.3, 0.096)
346113;1817605777;1817605671;(0.0, 0.0)
346114;1817605788;1817605797;(0.0, 0.0)
152081;915282709;915282268;(0.7833333333333333, 0.09)
152082;915282709;912508016;(-1, -1)
346135;1817605824;1814939493;(-1, -1)
152083;931751522;6300735671;(0.0, 0.0)
152084;931751522;1383676886;(-1, -1)
152085;931751523;3129748974;(0.0, 0.0)
152086;931751523;2978070746;(0.06666666666666667, 0.015)
75905;5559416834;5559416828;(0.16666666666666666, 0.112)
236;495302418;495302182;(0.0, 0.001)
245;495319504;1932466004;(-1, -1)
247;495319504;1932466003;(0.016666666666666666, 0.005)
205002;1379780341;1379780324;(0.18333333333333332, 0.053)
205008;1381254339;1382546542;(0.15, 0.057)
346138;1817605838;1817605820;(0.4, 0.114)
346141;1831118094;1831118262;(-1, -1)
205009;1381254339;1381254370;(0.43333333333333335, 0.164)
346144;1831118096;2469924342;(-1, -1)
346147;1831118097;1831118201;(-1, -1)
152090;931751911;931751910;(0.26666666666666666, 0.117)
75914;5559416837;5559416835;(0.06666666666666667, 0.049)
75928;5559416855;5559416984;(0.0, 0.0)
75947;5559416872;5559416873;(-1, -1)
75951;5559416873;5559416888;(0.016666666666666666, 0.013)
281732;5393459600;392151284;(0.2833333333333333, 0.102)
346164;1831118127;5027405128;(0.0, 0.0)
205020;1381254347;1381254373;(0.3333333333333333, 0.114)
205021;1381254349;1381254365;(-1, -1)
281736;5393459615;1273708737;(0.0, 0.0)
346165;1831118127;5027405120;(0.23333333333333334, 0.12)
205038;1381254364;1381254414;(-1, -1)
281741;5393459749;1839084441;(0.15, 0.053)
346172;1831118134;5027428104;(0.0, 0.001)
281743;5393459750;3232462017;(-1, -1)
281757;5393490704;5393490706;(-1, -1)
251;495319674;495319539;(0.26666666666666666, 0.053)
281760;5393490706;5098766113;(-1, -1)
257;495320271;1273758817;(0.11666666666666667, 0.064)
281763;5393490707;5098766109;(0.016666666666666666, 0.017)
75952;5559416873;5559416934;(0.2833333333333333, 0.193)
75956;5559416875;5559416874;(0.03333333333333333, 0.032)
152092;931751911;1382724704;(0.0, 0.003)
205042;1381254365;1381254349;(0.05, 0.044)
205045;1381254366;1381254360;(0.0, 0.0)
259;495320275;1273661152;(0.08333333333333333, 0.034)
205046;1381254366;1381254341;(0.0, 0.003)
152098;938877077;624669978;(0.15, 0.048)
205048;1381254367;1381254347;(0.0, 0.0)
152099;938877077;883962492;(-1, -1)
281771;5393490712;1487267024;(0.0, 0.0)
205049;1381254367;1381254387;(0.85, 0.094)
281772;5393490717;1273591604;(0.0, 0.0)
205052;1381254368;1381254389;(-1, -1)
281778;5393490718;5393490717;(0.03333333333333333, 0.006)
75970;5559416881;5559416880;(0.0, 0.003)
346175;1831118146;5027405121;(0.016666666666666666, 0.004)
75977;5559416888;5559416891;(0.06666666666666667, 0.048)
205058;1381254373;1381254387;(0.18333333333333332, 0.066)
281784;5393490720;5393492021;(1.1333333333333333, 0.155)
263;495320365;1273856455;(0.0, 0.002)
75985;5559416899;5497637226;(0.08333333333333333, 0.03)
75987;5559416900;11056038565;(0.13333333333333333, 0.025)
281799;5393492026;2177199802;(0.0, 0.001)
346179;1831118166;1831118155;(0.1, 0.124)
75990;5559416901;11056038565;(0.016666666666666666, 0.015)
281809;5393492030;2173558763;(-1, -1)
75994;5559416902;5559416901;(-1, -1)
281816;5393492038;1273889450;(0.9666666666666667, 0.063)
75996;5559416902;5559416934;(-1, -1)
76003;5559416904;5559416935;(-1, -1)
76004;5559416912;5559416925;(-1, -1)
205069;1381254383;1273681090;(2.4, 0.28)
152100;938883936;938883964;(0.6166666666666667, 0.071)
281832;5393509447;1273961473;(0.0, 0.001)
205074;1381254389;1381254381;(0.2, 0.143)
205081;1381254400;1381254422;(-1, -1)
152103;938883936;938883945;(0.0, 0.002)
281835;5393509448;1486993228;(-1, -1)
152104;938883937;938883938;(-1, -1)
205090;1381254411;1381254361;(0.0, 0.0)
205095;1381254413;1381254432;(-1, -1)
282;495321960;495321963;(0.18333333333333332, 0.074)
76010;5559416917;5559416918;(0.8166666666666667, 0.163)
152106;938883937;938883946;(0.0, 0.0)
346183;1831118168;2469924408;(0.0, 0.004)
281836;5393509448;8943500582;(0.08333333333333333, 0.018)
346184;1831118168;5027428053;(0.0, 0.001)
152114;938883939;938883955;(0.5, 0.074)
346185;1831118171;4373138431;(0.16666666666666666, 0.043)
205100;1381254420;273948253;(0.0, 0.0)
152117;938883940;938883941;(0.0, 0.0)
205103;1381254422;1381254400;(-1, -1)
