osmid,y,x,ref,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
412528284,-12.1031961,-77.0014569,,,4,POINT (-77.00145689999999 -12.1031961),438894295,417251165,17.442,,,,151303103,5599156588,3145.2559999999994,437891106,2383679240,2697.489,161399768,417252109,566.808,5597304241,4510814611,291.315,438435174,4361787348,2296.618
412528285,-12.1045781,-77.0019239,,,3,POINT (-77.00192389999999 -12.1045781),437376015,791160263,63.507999999999996,,,,151303103,5599156588,3359.638,437891106,2383679240,2911.8710000000005,161399768,417252109,510.67,507987342,3903819668,532.829,438435174,4361787348,2240.4800000000005
412528286,-12.1025588,-77.0022082,,,3,POINT (-77.0022082 -12.1025588),438894295,417251165,159.477,,,,151303103,5599156588,3132.9649999999992,437891106,2383679240,2685.198,161399768,417252109,708.8430000000001,5597304241,4510814611,149.28,438435174,4361787348,2438.6530000000002
412528287,-12.1020115,-77.0023074,,,4,POINT (-77.00230740000001 -12.1020115),438894295,417251165,221.282,,,,151303103,5599156588,3071.16,437891106,2383679240,2623.3930000000005,161399768,417252109,766.865,5597304241,4510814611,87.475,438435174,4361787348,2487.3260000000005
412528293,-12.1045874,-77.0045004,,,3,POINT (-77.0045004 -12.1045874),437376015,791160263,334.6460000000001,,,,151303103,5599156588,3561.143,809963632,6128998296,2516.266,161399768,417252109,790.807,5597279288,791159835,156.195,438435174,4361787348,2520.617
412528294,-12.101989,-77.0050869,,,3,POINT (-77.00508689999999 -12.101989),437376015,791160263,527.196,,,,151303103,5599156588,3340.5739999999996,809963632,6128998296,2259.1620000000007,4510821067,419483012,1197.239,5597279288,791159835,199.26999999999998,438435174,4361787348,2789.5520000000006
412528295,-12.1058224,-77.0050953,,,3,POINT (-77.00509529999999 -12.1058224),437376015,791160263,536.4190000000001,,,,151303103,5599156588,3762.916,809963632,6128998296,2685.4289999999996,161399768,417252109,868.365,387040315,412528295,0.0,438435174,4361787348,2598.175
412528296,-12.1018611,-77.0056468,,,3,POINT (-77.00564679999999 -12.1018611),437376015,791160263,589.958,,,,151303103,5599156588,3392.6640000000007,809963632,6128998296,2196.4000000000005,4510821067,419483012,1134.477,5597279288,791159835,262.032,438435174,4361787348,2852.3140000000003
412528297,-12.1058409,-77.0031356,,,3,POINT (-77.00313559999999 -12.1058409),437490656,417251208,304.992,,,,151303103,5599156588,3643.303,809963632,6128998296,2598.426,161399768,417252109,656.421,507987342,3903819668,105.88499999999999,438435174,4361787348,2386.2309999999998
412528299,-12.1020061,-77.001654,,,4,POINT (-77.001654 -12.1020061),438894295,417251165,151.526,,,,151303103,5599156588,3013.0159999999996,437891106,2383679240,2565.2490000000003,161399768,417252109,695.8229999999999,5597304241,4510814611,158.517,438435174,4361787348,2416.284
412528303,-12.1016955,-77.0062851,,,4,POINT (-77.0062851 -12.1016955),437376015,791160263,661.901,,,,151303103,5599156588,3320.7210000000005,809963632,6128998296,2124.457000000001,4510821067,419483012,1062.5339999999999,5597279292,412528267,267.55899999999997,437375014,392152684,2393.366000000001
412528304,-12.101345,-77.0080613,,,4,POINT (-77.00806129999999 -12.101345),1983115417,419483012,1160.416,,,,151303103,5599156588,3493.691,809963632,6128998296,2297.427,4510821067,419483012,1160.416,454531159,412528267,335.426,437375014,392152684,2566.3360000000007
412528311,-12.1019212,-77.0096821,,,4,POINT (-77.00968210000001 -12.1019212),1983115417,419483012,963.129,,,,151303103,5599156588,3615.843,809963632,6128998296,2418.4269999999997,4510821067,419483012,963.129,454531159,412528267,430.30999999999995,437375014,392152684,2763.623000000001
412528319,-12.1058121,-77.0091015,,,3,POINT (-77.0091015 -12.1058121),1983115417,419483012,1406.8179999999998,,,,151303103,5599156588,4059.5319999999992,809963632,6128998296,2862.1159999999995,4510821067,419483012,1406.8179999999998,803210302,412529889,280.096,438435174,4361787348,3051.735
412528320,-12.1069804,-77.0088518,,,4,POINT (-77.0088518 -12.1069804),4749878324,3630330845,1185.8249999999998,,,,151303103,5599156588,4192.248,809963632,6128998296,2994.832,4510821067,419483012,1539.5339999999999,803210302,412529889,147.38,438435174,4361787348,3159.246
412528321,-12.1075537,-77.0087256,,,3,POINT (-77.00872560000001 -12.1075537),4749878324,3630330845,1120.617,,,,151303103,5599156588,4206.396,809963632,6128998296,3010.131999999999,4510821067,419483012,1604.7420000000002,803210302,412529889,212.588,438435174,4361787348,3158.8759999999997
412528323,-12.1057716,-77.0071169,,,3,POINT (-77.0071169 -12.1057716),437376015,791160263,1200.6750000000002,,,,151303103,5599156588,4275.746,809963632,6128998296,3078.33,4510821067,419483012,1623.0320000000002,803210302,412529889,496.31,438435174,4361787348,3267.948999999999
412528324,-12.1057767,-77.0063047,,,3,POINT (-77.0063047 -12.1057767),437376015,791160263,664.819,,,,151303103,5599156588,3774.5370000000003,809963632,6128998296,2578.273,161399768,417252109,997.2069999999999,387040315,412528295,275.06,438435174,4361787348,2727.017
412529854,-12.1045768,-77.0062978,,,3,POINT (-77.0062978 -12.1045768),437376015,791160263,531.393,,,,151303103,5599156588,3641.111,809963632,6128998296,2444.847,4510821067,419483012,1382.924,5597279292,412528267,191.165,438435174,4361787348,2721.627
412529863,-12.1002338,-77.0062905,,,4,POINT (-77.00629050000001 -12.1002338),1983115417,419483012,939.5079999999999,,,,151303103,5599156588,3158.175,809963632,6128998296,1961.9110000000007,4510821067,419483012,939.5079999999999,5597279292,412528267,430.10499999999996,437375014,392152684,2230.8200000000006
412529880,-12.1069279,-77.0069932,,,3,POINT (-77.0069932 -12.1069279),437376015,791160263,892.455,,,,151303103,5599156588,4002.173,809963632,6128998296,2805.9089999999997,161399768,417252109,1224.843,803210302,412529889,57.212999999999994,438435174,4361787348,2954.6530000000002
412529885,-12.1069857,-77.0070791,,,3,POINT (-77.0070791 -12.1069857),4749878324,3630330845,1157.722,,,,151303103,5599156588,4013.51,809963632,6128998296,2817.2459999999996,161399768,417252109,1236.18,803210302,412529889,45.876,438435174,4361787348,2965.9900000000002
412529886,-12.1071558,-77.0073935,,,3,POINT (-77.00739350000001 -12.1071558),4749878324,3630330845,1118.656,,,,151303103,5599156588,4052.576,809963632,6128998296,2856.3119999999994,161399768,417252109,1275.246,803210302,412529889,84.94200000000001,438435174,4361787348,3005.056
412529887,-12.1074083,-77.0078322,,,3,POINT (-77.0078322 -12.1074083),4749878324,3630330845,1063.31,,,,151303103,5599156588,4107.922,809963632,6128998296,2911.657999999999,161399768,417252109,1330.592,803210302,412529889,140.288,438435174,4361787348,3060.402
412529888,-12.1084649,-77.0079471,,,3,POINT (-77.0079471 -12.1084649),4749878324,3630330845,938.5720000000001,,,,151303103,5599156588,4232.66,809963632,6128998296,3036.3959999999993,161399768,417252109,1455.33,803229029,473950804,351.46399999999994,438435174,4361787348,3185.14
412529889,-12.1069594,-77.0075002,,,3,POINT (-77.0075002 -12.1069594),437376015,791160263,949.6680000000001,,,,151303103,5599156588,4059.3859999999995,809963632,6128998296,2863.1219999999994,161399768,417252109,1282.056,803210302,412529889,0.0,438435174,4361787348,3011.866
412529891,-12.1071063,-77.0095735,,,3,POINT (-77.0095735 -12.1071063),4749878324,3630330845,1265.5289999999998,,,,151303103,5599156588,4189.794,809963632,6128998296,2992.3779999999997,4510821067,419483012,1537.08,803210302,412529889,227.084,438435174,4361787348,3238.95
412529892,-12.107465,-77.0081537,,,3,POINT (-77.00815369999999 -12.107465),4749878324,3630330845,1057.661,,,,151303103,5599156588,4143.44,809963632,6128998296,2947.175999999999,4510821067,419483012,1667.6979999999999,803210302,412529889,175.806,438435174,4361787348,3095.92
412529893,-12.1076465,-77.0092088,,,3,POINT (-77.0092088 -12.1076465),4749878324,3630330845,1174.1589999999999,,,,151303103,5599156588,4259.937999999999,809963632,6128998296,3063.673999999999,4510821067,419483012,1658.284,803229028,457800516,589.067,438435174,4361787348,3212.418
412549362,-12.1051603,-77.0100027,,,3,POINT (-77.0100027 -12.1051603),1983115417,419483012,1315.7199999999998,,,,151303103,5599156588,3968.4339999999993,809963632,6128998296,2771.0179999999996,4510821067,419483012,1315.7199999999998,803210302,412529889,448.444,438435174,4361787348,3244.848
412549373,-12.1044155,-77.0101583,,,3,POINT (-77.0101583 -12.1044155),1983115417,419483012,1231.192,,,,151303103,5599156588,3883.906,809963632,6128998296,2686.49,4510821067,419483012,1231.192,803210302,412529889,532.972,438435174,4361787348,3160.3199999999997
412549583,-12.1053253,-77.0108037,,,4,POINT (-77.0108037 -12.1053253),4186614902,419482972,775.317,,,,151303103,5599156588,4002.0729999999994,809963632,6128998296,2804.6569999999997,4510821067,419483012,1349.359,803210302,412529889,537.442,438435174,4361787348,3333.8459999999995
412553899,-12.0935246,-77.0060876,,,4,POINT (-77.0060876 -12.0935246),438892411,485617546,420.74000000000007,,,,151303103,5599156588,2395.009999999999,809963632,6128998296,1198.746,4510821067,419483012,954.298,5597276778,4354632363,633.437,437375014,392152684,1467.6549999999997
412553905,-12.0952227,-77.0058577,,,4,POINT (-77.00585770000001 -12.0952227),3353009469,391038146,485.565,,,,151303103,5599156588,2592.0899999999992,809963632,6128998296,1395.8260000000002,4510821067,419483012,757.39,5597276778,4354632363,733.124,437375014,392152684,1664.735
412553924,-12.0966748,-77.0057198,,,4,POINT (-77.00571979999999 -12.0966748),4102718490,419481873,425.56600000000003,,,,151303103,5599156588,2754.544999999999,809963632,6128998296,1558.2810000000002,4510821067,419483012,800.1859999999999,5597304246,419481862,630.206,437375014,392152684,1827.1899999999998
412553943,-12.0978217,-77.0060221,,traffic_signals,4,POINT (-77.0060221 -12.0978217),4102715290,419481893,435.704,,,,151303103,5599156588,2886.6989999999996,809963632,6128998296,1690.4350000000002,4510821067,419483012,668.0319999999999,5597304241,4510814611,783.186,437375014,392152684,1959.3439999999996
412553989,-12.097939,-77.0022505,,,4,POINT (-77.0022505 -12.097939),4102715290,419481893,19.766,,,,151303103,5599156588,2642.731999999999,809963632,6128998296,1508.6210000000003,4510791447,392152315,1020.3010000000002,439754604,391036814,415.775,437375014,392152684,1715.3809999999999
412553995,-12.0980258,-77.002893,,,4,POINT (-77.002893 -12.0980258),4102715290,419481893,90.286,,,,151303103,5599156588,2713.2519999999986,809963632,6128998296,1576.4020000000003,4510821067,419483012,1013.4499999999999,439754604,391036814,482.6379999999999,437375014,392152684,1785.9009999999998
412554019,-12.0981497,-77.00416,,,3,POINT (-77.00416 -12.0981497),4102715290,419481893,228.81599999999997,,,,151303103,5599156588,2851.7819999999992,809963632,6128998296,1714.9320000000002,4510821067,419483012,874.92,439754604,391036814,621.1679999999999,437375014,392152684,1924.431
412554037,-12.0980183,-77.0054173,,,4,POINT (-77.0054173 -12.0980183),4102715290,419481893,366.40799999999996,,,,151303103,5599156588,2946.0069999999996,809963632,6128998296,1759.7310000000004,4510821067,419483012,737.328,5597304241,4510814611,852.4820000000001,437375014,392152684,2018.656
412554042,-12.0976502,-77.0065795,,,3,POINT (-77.0065795 -12.0976502),1983115417,419483012,604.497,,,,151303103,5599156588,2950.2339999999995,809963632,6128998296,1753.9700000000005,4510821067,419483012,604.497,5597304241,4510814611,846.721,437375014,392152684,2022.879
412554048,-12.0974683,-77.0071628,,,4,POINT (-77.0071628 -12.0974683),1983115417,419483012,537.93,,,,151303103,5599156588,2950.365,809963632,6128998296,1754.1010000000003,4510821067,419483012,537.93,5597276778,4354632363,795.256,437375014,392152684,2023.0099999999998
412554053,-12.0968986,-77.0089528,,,4,POINT (-77.0089528 -12.0968986),1983115417,419483012,333.26099999999997,,,,151303103,5599156588,2985.9750000000004,809963632,6128998296,1788.5590000000004,4510821067,419483012,333.26099999999997,5597276778,4354632363,590.5870000000001,437375014,392152684,2170.6810000000005
412554058,-12.0966951,-77.0095667,,,4,POINT (-77.00956669999999 -12.0966951),1983115417,419483012,262.78299999999996,,,,151303103,5599156588,2915.4970000000003,809963632,6128998296,1718.0810000000004,4510821067,419483012,262.78299999999996,5597276778,4354632363,520.109,437375014,392152684,2100.203
412554073,-12.1008977,-77.0024883,,,3,POINT (-77.0024883 -12.1008977),438894295,417251165,619.25,,,,151303103,5599156588,2949.4929999999995,809963632,6128998296,1898.8120000000004,161399768,417252109,1163.547,5597304241,4510814611,626.2410000000001,437375014,392152684,2022.1419999999998
412554096,-12.1003017,-77.0025861,,,3,POINT (-77.0025861 -12.1003017),4102715290,419481893,345.5760000000001,,,,151303103,5599156588,2882.3729999999996,809963632,6128998296,1831.6920000000005,161399768,417252109,1096.4270000000001,439754604,391036814,359.462,437375014,392152684,1955.022
412554131,-12.0986233,-77.0028091,,,3,POINT (-77.00280909999999 -12.0986233),4102715290,419481893,157.34799999999998,,,,151303103,5599156588,2780.3139999999985,809963632,6128998296,1643.4640000000004,4510821067,419483012,1080.512,439754604,391036814,415.5759999999999,437375014,392152684,1852.9629999999997
412554148,-12.0974614,-77.0029724,,,3,POINT (-77.0029724 -12.0974614),438893461,419481893,153.635,,,,151303103,5599156588,2651.297999999999,809963632,6128998296,1513.0530000000003,4510821067,419483012,1055.35,5597304246,419481862,402.369,437375014,392152684,1723.9469999999997
412554170,-12.0964828,-77.003111,,,3,POINT (-77.003111 -12.0964828),4102718490,419481873,87.873,,,,151303103,5599156588,2541.441999999999,809963632,6128998296,1403.1970000000001,4510821067,419483012,1137.879,5597304246,419481862,292.51300000000003,437375014,392152684,1614.091
412554191,-12.0956461,-77.0032274,,,3,POINT (-77.0032274 -12.0956461),4102718490,419481873,181.76899999999998,,,,151303103,5599156588,2635.337999999999,809963632,6128998296,1497.0930000000003,4510821067,419483012,1091.5449999999998,5597304246,419481862,386.409,437375014,392152684,1707.9869999999996
412554201,-12.0951682,-77.0032865,,,3,POINT (-77.0032865 -12.0951682),3353009469,391038146,421.531,,,,151303103,5599156588,2631.971999999999,809963632,6128998296,1477.3730000000003,4510821067,419483012,1038.0179999999998,5597304246,419481862,439.93600000000004,437375014,392152684,1704.6209999999996
412554242,-12.1003554,-77.0041716,,,4,POINT (-77.00417160000001 -12.1003554),4102715290,419481893,474.11499999999995,,,,151303103,5599156588,3048.803999999999,809963632,6128998296,1960.2310000000002,4510821067,419483012,1120.2189999999998,5597304241,4510814611,725.552,437375014,392152684,2121.4529999999995
412554253,-12.1003151,-77.0056698,,,3,POINT (-77.00566980000001 -12.1003151),4102715290,419481893,624.1479999999999,,,,151303103,5599156588,3203.7469999999994,809963632,6128998296,2017.4710000000007,4510821067,419483012,995.068,5597304241,4510814611,885.8580000000001,437375014,392152684,2276.3959999999997
412554266,-12.1001564,-77.006902,,,3,POINT (-77.006902 -12.1001564),1983115417,419483012,886.784,,,,151303103,5599156588,3225.215,809963632,6128998296,2028.9510000000007,4510821067,419483012,886.784,454531159,412528267,497.14500000000004,437375014,392152684,2297.860000000001
412554277,-12.1000253,-77.0074814,,,4,POINT (-77.0074814 -12.1000253),1983115417,419483012,826.2159999999999,,,,151303103,5599156588,3238.651,809963632,6128998296,2042.3870000000004,4510821067,419483012,826.2159999999999,454531159,412528267,561.805,437375014,392152684,2311.2960000000007
412554299,-12.0990601,-77.0088976,,,3,POINT (-77.0088976 -12.0990601),1983115417,419483012,632.3779999999999,,,,151303103,5599156588,3285.0919999999996,809963632,6128998296,2087.6760000000004,4510821067,419483012,632.3779999999999,454531159,412528267,758.75,437375014,392152684,2469.798000000001
412554319,-12.0980601,-77.0090976,,,3,POINT (-77.0090976 -12.0980601),1983115417,419483012,746.1229999999999,,,,151303103,5599156588,3271.148,809963632,6128998296,2074.8840000000005,4510821067,419483012,746.1229999999999,5597276778,4354632363,1003.449,437375014,392152684,2343.7930000000006
412554325,-12.0974611,-77.0090828,,,3,POINT (-77.0090828 -12.0974611),1983115417,419483012,802.486,,,,151303103,5599156588,3214.9210000000003,809963632,6128998296,2018.6570000000006,4510821067,419483012,802.486,5597276778,4354632363,1059.8119999999997,437375014,392152684,2287.5660000000007
412554336,-12.0962854,-77.0087796,,,3,POINT (-77.0087796 -12.0962854),1983115417,419483012,403.99799999999993,,,,151303103,5599156588,3020.0609999999997,809963632,6128998296,1823.7970000000005,4510821067,419483012,403.99799999999993,5597276778,4354632363,661.3240000000001,437375014,392152684,2092.706
412554359,-12.095732,-77.008217,,,3,POINT (-77.008217 -12.095732),1983115417,419483012,494.6919999999999,,,,151303103,5599156588,2864.4829999999993,809963632,6128998296,1668.2190000000003,4510821067,419483012,494.6919999999999,5597276778,4354632363,584.5380000000001,437375014,392152684,1937.1279999999997
412554365,-12.0954672,-77.0070147,,,4,POINT (-77.0070147 -12.0954672),3353009469,391038146,616.353,,,,151303103,5599156588,2722.877999999999,809963632,6128998296,1526.6140000000003,4510821067,419483012,628.689,5597276778,4354632363,718.5350000000001,437375014,392152684,1795.523
412554377,-12.0951262,-77.0052176,,,3,POINT (-77.00521759999999 -12.0951262),3353009469,391038146,556.002,,,,151303103,5599156588,2662.526999999999,809963632,6128998296,1466.2630000000004,4510821067,419483012,827.827,5597304246,419481862,679.4010000000001,437375014,392152684,1735.1719999999998
412554411,-12.0951749,-77.0026337,,,4,POINT (-77.0026337 -12.0951749),3353009469,391038146,413.937,,,,151303103,5599156588,2608.0239999999985,809963632,6128998296,1469.7790000000005,4510821067,419483012,1108.9989999999998,5597304246,419481862,359.095,437375014,392152684,1680.6729999999998
412557534,-12.1006652,-77.007485,,,3,POINT (-77.007485 -12.1006652),1983115417,419483012,838.355,,,,151303103,5599156588,3309.8060000000005,809963632,6128998296,2113.542000000001,4510821067,419483012,838.355,454531159,412528267,632.96,437375014,392152684,2382.451000000001
412557535,-12.0994289,-77.0075004,,,3,POINT (-77.0075004 -12.0994289),1983115417,419483012,759.867,,,,151303103,5599156588,3172.3019999999997,809963632,6128998296,1976.0380000000005,4510821067,419483012,759.867,454531159,412528267,628.154,437375014,392152684,2244.9470000000006
412557537,-12.0986042,-77.0074328,,,3,POINT (-77.0074328 -12.0986042),1983115417,419483012,667.8639999999999,,,,151303103,5599156588,3080.299,809963632,6128998296,1884.0350000000005,4510821067,419483012,667.8639999999999,454531159,412528267,720.1569999999999,437375014,392152684,2152.9440000000004
412557539,-12.0980226,-77.0073334,,,3,POINT (-77.00733339999999 -12.0980226),1983115417,419483012,602.2959999999999,,,,151303103,5599156588,3014.7309999999998,809963632,6128998296,1818.4670000000006,4510821067,419483012,602.2959999999999,454531159,412528267,785.7249999999999,437375014,392152684,2087.376
