osmid,ref,highway,street_count,geometry,NN,NN_dist
391038482,,,4,POINT (-76.99253160000001 -12.0937259),392152321,0.002995586755538131
391038491,,,4,POINT (-76.99570370000001 -12.092809),391038491,0.0
391038492,,,4,POINT (-76.99584780000001 -12.0928064),391038491,0.00014412345402464965
391038494,,,3,POINT (-76.9971001 -12.09286),391038491,0.0013973310130289554
391038498,,,4,POINT (-76.9992089 -12.0935541),391038146,0.003472548784389454
391038505,,,3,POINT (-77.0013744 -12.0940084),391038146,0.001271047819705154
391038509,,,3,POINT (-77.0040801 -12.0939666),391038147,0.0012862388969366255
391038513,,,4,POINT (-77.0060036 -12.0941464),391038147,0.003208145359862325
391038514,,,3,POINT (-77.0074396 -12.0944545),392153976,0.0023630808238430793
391038654,,,4,POINT (-76.9810475 -12.0965535),4459619573,0.0013288590482127415
391038657,,,3,POINT (-76.9802949 -12.0971474),4459619573,0.0015962411910504862
391038660,,motorway_junction,3,POINT (-76.98027070000001 -12.0976878),4031954815,0.001608143242999407
391038663,4A,motorway_junction,3,POINT (-76.9805403 -12.0944541),4459619573,0.0011627427961523557
391038692,,,3,POINT (-76.9802875 -12.0980745),4031954815,0.0012643535660572295
391038719,,motorway_junction,3,POINT (-76.98038529999999 -12.0959835),4459619573,0.0004788356398612891
391038744,,,4,POINT (-76.98024409999999 -12.1033651),391038834,0.0015374762339609882
391038745,,,4,POINT (-76.9801082 -12.1043253),1673695549,0.0010416094565717951
391038754,,,3,POINT (-76.98061819999999 -12.1099253),4352768318,0.00036874720337945596
391038759,,,4,POINT (-76.98445030000001 -12.1104602),386851779,0.00025799001918711385
391038775,,,3,POINT (-76.9800158 -12.1043182),1673695549,0.0009566408155718846
391038829,,,4,POINT (-76.9830843 -12.1035712),391038834,0.003922946476825657
391038834,5B,motorway_junction,3,POINT (-76.9794752 -12.1020337),391038834,0.0
391038846,,,4,POINT (-76.9801909 -12.1030455),391038834,0.0012393408449664163
391038847,,,4,POINT (-76.98027999999999 -12.1030526),391038834,0.0012984068122109814
391038850,,,4,POINT (-76.9829119 -12.1032391),391038834,0.0036419632137159974
391038859,,,4,POINT (-76.98459680000001 -12.1105822),386851778,0.00014602742893091126
391038860,,,4,POINT (-76.984444 -12.1105715),386851779,0.00014654422540612202
391038862,,traffic_signals,4,POINT (-76.9847991 -12.107958),386851778,0.0027780090316628313
391038863,,traffic_signals,4,POINT (-76.98480979999999 -12.1077689),386851778,0.002967373013289043
391038872,,traffic_signals,4,POINT (-76.98465539999999 -12.1077584),386851779,0.002967399056413173
391038874,,,4,POINT (-76.9848738 -12.1046924),392148615,0.004723827304202952
391038875,,,3,POINT (-76.9849349 -12.1037367),392148615,0.004455469862985279
391038886,,,3,POINT (-76.9838805 -12.10362),391038834,0.004682202022554756
391038889,,,4,POINT (-76.9828881 -12.1035571),391038834,0.0037374635744050746
391038891,,,4,POINT (-76.9801521 -12.1033391),391038834,0.0014704634541537714
392148429,,,3,POINT (-76.9836622 -12.1076883),386851779,0.0031280468874368824
392148551,,,4,POINT (-76.9825824 -12.1078017),4352768318,0.0031814870265329215
392148553,,,4,POINT (-76.9857514 -12.108029),386851778,0.002940216095797725
392148562,,,4,POINT (-76.9896097 -12.1081034),392148937,0.0022920826010453554
392148563,,,3,POINT (-76.9878446 -12.1079905),4170786730,0.002850704167395069
392148615,,traffic_signals,4,POINT (-76.9893592 -12.1032106),392148615,0.0
392148623,,,3,POINT (-76.9887482 -12.1073354),483326196,0.002709796451764683
392148624,,,4,POINT (-76.98881009999999 -12.1063761),483326196,0.0019666668477456768
392148691,,traffic_signals,4,POINT (-76.9894348 -12.1033654),392148691,0.0
392148805,,,4,POINT (-76.9885531 -12.1098232),4170786730,0.0009213628221287403
392148806,,,4,POINT (-76.9883928 -12.1107335),4170786730,0.0001897962328440207
392148894,,,3,POINT (-76.9840457 -12.0881347),416958445,0.0017504471571564767
392148896,,,3,POINT (-76.9845426 -12.0891012),416958445,0.0026983155949592027
392148910,,,3,POINT (-76.98659720000001 -12.0922284),315561713,0.006143903451393553
392148929,,,3,POINT (-76.9888007 -12.100438),392148615,0.002828291535538215
392148936,,,3,POINT (-76.9910792 -12.1065849),392149142,0.0011048538455418777
392148937,,,3,POINT (-76.99190040000001 -12.108183),392148937,0.0
392148942,,,3,POINT (-76.99306780000001 -12.1105579),3627448184,0.00037934588437344113
392148945,,,3,POINT (-76.9926691 -12.1110565),4042528366,0.0007743412490675384
392149142,,,4,POINT (-76.99218310000001 -12.106539),392149142,0.0
392149145,,,3,POINT (-76.991676 -12.1057317),392149142,0.0009533539216928984
392149147,,,3,POINT (-76.9905996 -12.1034242),391036716,0.0006247240830946631
392149148,,traffic_signals,4,POINT (-76.99026379999999 -12.1027258),391036716,0.00015022097057475613
392149149,,,3,POINT (-76.9895631 -12.101179),391036716,0.001848252712698704
392149150,,,4,POINT (-76.9893039 -12.1005358),391036716,0.0025412058259820795
392149151,,,3,POINT (-76.98912900000001 -12.0999137),391036716,0.0031822557926696245
392149154,,,3,POINT (-76.98919239999999 -12.0988488),391036721,0.00394907921547148
392149155,,,3,POINT (-76.9892353 -12.0973383),391036721,0.0050458802373820905
392149156,,,3,POINT (-76.9892428 -12.0967544),391036721,0.005527349188357419
392149165,,,3,POINT (-76.9883796 -12.094357),392152320,0.006989397811679685
392149169,,,3,POINT (-76.98815380000001 -12.0933938),392152321,0.007383002615460426
392149173,,,3,POINT (-76.98560790000001 -12.0896448),416958445,0.003472346517850146
392149174,,,3,POINT (-76.9850285 -12.0888252),416958445,0.002509847330019545
392151788,,,3,POINT (-76.9948089 -12.1111916),474021515,0.0007568345261770497
392151791,,,3,POINT (-76.9943579 -12.1111639),392151795,0.00037426389085261694
392151795,,traffic_signals,4,POINT (-76.9939844 -12.11114),392151795,0.0
392151809,,,3,POINT (-76.9893907 -12.110821),392151740,0.00030917212034708465
392151970,,,3,POINT (-76.9964578 -12.111298),1273491228,0.0003007110407009378
392152310,,,4,POINT (-76.9934789 -12.1043287),392152310,0.0
392152312,,,3,POINT (-76.99412169999999 -12.1031291),392152312,0.0
392152314,,,4,POINT (-76.994325 -12.1022059),392152314,0.0
392152315,,traffic_signals,4,POINT (-76.9945804 -12.1004137),392152315,0.0
392152316,,,3,POINT (-76.994653 -12.0999425),392152315,0.00047676010739244293
392152318,,,4,POINT (-76.9948143 -12.0988575),392152318,0.0
392152319,,,3,POINT (-76.99506820000001 -12.0971085),417249925,0.00043891532213136505
392152320,,,4,POINT (-76.9952692 -12.0955339),392152320,0.0
392152321,,,4,POINT (-76.9955267 -12.0937799),392152321,0.0
392152322,,,4,POINT (-76.9959016 -12.0914279),392152322,0.0
392152323,,,4,POINT (-76.9960981 -12.0898598),392152323,0.0
392152324,,,4,POINT (-76.99629059999999 -12.088568),392152324,0.0
392152327,,,4,POINT (-76.9968174 -12.0850554),392152327,0.0
392152328,,,4,POINT (-76.9968367 -12.0849259),392152328,0.0
