osmid,highway,street_count,geometry,NN,NN_dist
263384692,,4,POINT (-77.05739560000001 -12.0925377),4341839228,0.001231512841997597
263384693,,3,POINT (-77.05713489999999 -12.0918418),263384616,0.0014277040484704329
263384694,,3,POINT (-77.05675770000001 -12.0908132),263384565,0.0011560606212439076
263384791,,4,POINT (-77.0615047 -12.091517),8412856226,0.001513309485861723
263384793,,3,POINT (-77.0610227 -12.0917374),8412856226,0.0015619029419301246
263384796,,4,POINT (-77.0600998 -12.0919628),263384613,0.0012392991446830363
263384801,,3,POINT (-77.06099810000001 -12.0901594),263384500,0.001806951604227556
263384802,,3,POINT (-77.06073720000001 -12.0894927),263384500,0.0011631176208859958
263384803,,3,POINT (-77.06055689999999 -12.0889891),263384500,0.0007831637185139564
263384930,,4,POINT (-77.06440790000001 -12.0892051),5728765649,0.0014594938985809387
263384932,,4,POINT (-77.0638775 -12.0896333),5728765649,0.0017773798693579647
263384933,,4,POINT (-77.06328600000001 -12.0900959),5728765649,0.0023239218683060838
263384934,,4,POINT (-77.06306789999999 -12.0902706),5728765649,0.00255218135916159
263384935,,4,POINT (-77.06266840000001 -12.0906004),6131131883,0.0023235242391682924
263384936,,4,POINT (-77.0620246 -12.0911125),6131131883,0.0017664840220051956
263385020,,4,POINT (-77.0591493 -12.0905334),263384616,0.0009743899270817151
263385021,,4,POINT (-77.0598703 -12.090055),263384500,0.0012452397761069914
263385022,,3,POINT (-77.06027779999999 -12.0897712),263384500,0.0010742137822596527
263385179,,3,POINT (-77.0681615 -12.0977846),606182861,0.0005443967027792562
263385180,,3,POINT (-77.06781580000001 -12.0968382),606182861,0.0015519585174830811
263385181,,4,POINT (-77.0674281 -12.0958296),263385306,0.002447914671714216
263385182,,4,POINT (-77.06717020000001 -12.0952161),263386122,0.0024097881940104756
263385183,,4,POINT (-77.0665163 -12.0944522),263386171,0.0024296431754489973
263385184,,4,POINT (-77.06522699999999 -12.0928888),380908323,0.002780227458323216
263385185,,3,POINT (-77.0622126 -12.0892333),3854554751,0.0016954470619881886
263385304,,3,POINT (-77.0691065 -12.0940887),263386122,0.00017076805907552753
263385305,,4,POINT (-77.0694898 -12.0951182),263386000,0.0005590163682775368
263385306,,4,POINT (-77.0698613 -12.0960976),263385306,0.0
263385372,traffic_signals,4,POINT (-77.0714266 -12.0966275),1943098977,7.793587107862177e-05
263385374,,4,POINT (-77.069197 -12.0974015),606182868,0.0005701811115762077
263385428,,3,POINT (-77.0687452 -12.0988168),606182861,0.0006550649738761089
263385465,,2,POINT (-77.069822 -12.0990544),606182868,0.0011973374503468843
263385514,,4,POINT (-77.06962179999999 -12.0985335),606182868,0.0006393351077469206
263385515,,3,POINT (-77.07060319999999 -12.0982068),606182869,0.0006518837703115418
263385662,,4,POINT (-77.06884820000001 -12.096467),263385306,0.0010783450143571627
263385663,,4,POINT (-77.0685091 -12.0954531),263385306,0.0014979402825207975
263385664,,3,POINT (-77.0682944 -12.0949545),263386122,0.001344086343956683
263385665,,4,POINT (-77.0681225 -12.0944362),263386122,0.0012141664136389985
263385666,,4,POINT (-77.0677633 -12.0934553),263386171,0.0008641910494886766
