osmid,highway,street_count,geometry,NN,NN_dist
819210791,,4,POINT (-77.05084220000001 -12.061072),819211255,0.0012035988118956028
819210802,,4,POINT (-77.05159260000001 -12.0619569),819211251,0.0011740014736003985
819210806,,3,POINT (-77.0517242 -12.0621738),819211251,0.0011650310940036588
819210829,,3,POINT (-77.0517637 -12.0631209),819211052,0.0006580557575154143
819210839,,4,POINT (-77.05183460000001 -12.063481),819211052,0.0003880388124988751
819210853,,3,POINT (-77.0522012 -12.0633292),819211052,0.0007730263902366066
819210860,,3,POINT (-77.052144 -12.063101),1399063237,0.0008477116962767995
819210871,,3,POINT (-77.0520868 -12.0621113),1399063237,0.001308563384023573
819210877,,3,POINT (-77.05216799999999 -12.0616882),1399063237,0.0015974752329879487
819210883,,3,POINT (-77.0521025 -12.0600637),1273529623,0.0005944302229867697
819210897,,4,POINT (-77.0504912 -12.0576026),819210897,0.0
819210950,,4,POINT (-77.0465988 -12.0632553),593974679,0.0009066551494417953
819210954,,3,POINT (-77.04633269999999 -12.063859),2060102857,0.0015194122152946442
819210958,,3,POINT (-77.04533139999999 -12.064658),4333022367,0.0005618551859687876
819210978,,3,POINT (-77.0452185 -12.0615695),819210989,0.0008831826651398274
819210983,,4,POINT (-77.0472338 -12.0640197),819211313,0.0009135581700156608
819210987,,3,POINT (-77.0479409 -12.0594427),819210987,0.0
819210988,,4,POINT (-77.0468947 -12.0602335),819210988,0.0
819210989,,4,POINT (-77.04590640000001 -12.0610156),819210989,0.0
819210992,,3,POINT (-77.0437682 -12.0627362),4325766721,0.0022561303685744564
819211039,,3,POINT (-77.0525559 -12.0632431),1399063237,0.00047262494644188227
819211052,,4,POINT (-77.051548 -12.0637426),819211052,0.0
819211064,,4,POINT (-77.0505874 -12.0645492),819211064,0.0
819211075,,4,POINT (-77.0495811 -12.0653726),819211075,0.0
819211080,traffic_signals,4,POINT (-77.0483864 -12.0663401),819211214,0.0012849668361445262
819211095,,4,POINT (-77.05320260000001 -12.0640799),819211095,0.0
819211101,,4,POINT (-77.05238319999999 -12.0647573),819211101,0.0
819211109,,4,POINT (-77.0514277 -12.0655496),819211109,0.0
819211116,traffic_signals,4,POINT (-77.0504289 -12.0663687),819211116,0.0
819211120,,4,POINT (-77.049204 -12.0673406),819211120,0.0
819211122,traffic_signals,4,POINT (-77.0482088 -12.0681362),819211122,0.0
819211141,,3,POINT (-77.0525803 -12.063423),4332735080,0.0005122321446367327
819211165,,3,POINT (-77.05243849999999 -12.0621019),1399063237,0.0011037105145865402
819211176,,3,POINT (-77.0528063 -12.0620919),1399063237,0.0009831291776772927
819211188,,3,POINT (-77.05297059999999 -12.0633136),1399063237,0.00025678006153201426
819211214,,4,POINT (-77.0475653 -12.0653517),819211214,0.0
819211216,,3,POINT (-77.0467821 -12.0643961),819211214,0.0012355458712663037
819211251,,4,POINT (-77.0506865 -12.0627034),819211251,0.0
819211255,,4,POINT (-77.04991390000001 -12.0618381),819211255,0.0
819211281,,3,POINT (-77.0528944 -12.0616699),1399063237,0.001391030456173231
819211286,,4,POINT (-77.0527926 -12.0616701),1399063237,0.0014015563670429579
819211288,,3,POINT (-77.0520743 -12.061706),1399063237,0.00163292016032744
819211293,,4,POINT (-77.04972309999999 -12.0635186),819211293,0.0
819211295,traffic_signals,4,POINT (-77.04873859999999 -12.0643753),819211295,0.0
819211297,,3,POINT (-77.0465669 -12.0661593),2060102857,0.001105500886475098
819211313,,4,POINT (-77.0479411 -12.0634415),819211313,0.0
819211336,,4,POINT (-77.0522485 -12.0584998),819211336,0.0
909271522,,4,POINT (-77.0431822 -12.0572655),909271525,0.0009494569605816471
909271525,,3,POINT (-77.0432558 -12.0563189),909271525,0.0
909271542,,4,POINT (-77.043094 -12.058199),9487928103,0.0012654060099371398
912507932,,3,POINT (-77.04709099999999 -12.0538028),1273833071,0.0010879184206534687
912507934,,3,POINT (-77.04379640000001 -12.0582715),912508035,0.0012028767933573274
912507936,,3,POINT (-77.0426075 -12.0581416),9487928103,0.0007807352047912147
912507938,,4,POINT (-77.05329020000001 -12.0543222),915282068,0.0012692634793462522
912507946,,3,POINT (-77.0501507 -12.0569072),819210897,0.0007742876790927052
912507952,,4,POINT (-77.0470517 -12.0523348),2860030626,0.0019347562456294924
912507953,,3,POINT (-77.0492161 -12.056823),915282358,0.0010974748698741792
912507955,,3,POINT (-77.04515379999999 -12.0564798),912508004,0.0017616854344636734
912507956,,4,POINT (-77.0525849 -12.054261),915282068,0.0010642172005751272
912507959,,3,POINT (-77.05024 -12.0560444),2053915153,0.0011047882149957148
912507961,,3,POINT (-77.0457413 -12.0536874),1273486796,0.0012050423436526507
912507964,,3,POINT (-77.0491621 -12.0550445),2053915143,9.776154663400243e-05
912507967,,4,POINT (-77.0434482 -12.0518734),912507969,0.0012853517028430697
912507974,,4,POINT (-77.04403840000001 -12.0518279),310953976,0.0018280703378179425
912507976,,3,POINT (-77.0469354 -12.0515139),2860030626,0.0011057969479062865
912507979,,3,POINT (-77.04183310000001 -12.0586885),9487928103,0.000493420520448728
