osmid,highway,street_count,ref,geometry,NN,NN_dist
5752704598,,4,,POINT (-77.1057543 -11.9685572),5752704598,0.0
5752704599,,4,,POINT (-77.104941 -11.9672833),5752704600,0.0004426426323813826
5752704600,,4,,POINT (-77.10471149999999 -11.9669048),5752704600,0.0
5752704601,,4,,POINT (-77.10418850000001 -11.9660694),5752704601,0.0
5752704602,,4,,POINT (-77.1036119 -11.9651693),1384280692,7.133197038269276e-05
5752704605,,4,,POINT (-77.10235520000001 -11.9638323),1384280595,0.0013535096453302022
5752704607,,4,,POINT (-77.10104320000001 -11.9626802),5752704608,0.0010486463846380372
5752704608,,4,,POINT (-77.1002422 -11.9620034),5752704608,0.0
5752704609,,4,,POINT (-77.09939439999999 -11.9612866),5752704609,0.0
5752704610,,4,,POINT (-77.0992062 -11.9611383),5752704609,0.00023960828449478782
5759473462,,3,,POINT (-77.09467410000001 -11.9905193),5759473462,0.0
5761989291,,3,,POINT (-77.05251680000001 -12.0198076),3421715538,0.0005871800490431446
5761989296,,3,,POINT (-77.0522565 -12.0197898),3421715538,0.000761345571996804
5793018708,,3,,POINT (-77.0819082 -12.0305734),847503210,0.0008655694137389948
5793018709,,3,,POINT (-77.08137259999999 -12.0306295),846782207,0.0006060422592481648
5793018710,,3,,POINT (-77.0815714 -12.0304164),846782207,0.0008910458181272887
5793018711,,3,,POINT (-77.081757 -12.0309018),847503210,0.0005728858961460556
5844929358,,3,,POINT (-77.0741472 -12.0290468),846536201,0.0022220018046810843
5844929359,,3,,POINT (-77.0738334 -12.0291595),846536201,0.0022319104036689777
5866102316,,3,,POINT (-77.0494897 -12.0327436),9362954353,0.0023204405034381948
5866102318,,3,,POINT (-77.0497771 -12.0312207),827102885,0.001021128517867244
5866978464,,3,,POINT (-77.0540444 -12.0307125),827103311,0.0016091359327306345
5872612138,,3,,POINT (-77.0632945 -12.0277337),846503517,0.001874591222106283
6027724291,,3,,POINT (-77.0963261 -11.9816864),4145350043,0.00037606278731532966
6027724294,,3,,POINT (-77.09672879999999 -11.9817961),4145350039,0.00019138968102061596
6027724296,,3,,POINT (-77.1007778 -11.9854361),1385873870,0.0019529725138878408
6027734919,,3,,POINT (-77.0918533 -11.9768558),1305701235,0.0013452420005371371
6027734920,,3,,POINT (-77.09179039999999 -11.976623),1305701235,0.0015716320720873633
6027734921,,3,,POINT (-77.0955053 -11.9801286),4145350043,0.0017792970803123863
6027734924,,3,,POINT (-77.09533570000001 -11.9797487),4145350043,0.0021823833783253255
6027747367,,3,,POINT (-77.10188530000001 -11.9858622),1385873870,0.002855866260878215
6027747368,,3,,POINT (-77.10173949999999 -11.9855113),1385873870,0.0024896642926275072
6027804512,,4,,POINT (-77.1127109 -11.9965371),1743642573,9.508585594132219e-05
6027804513,,3,,POINT (-77.11169630000001 -11.995444),5115831843,0.0006464758773539577
6027804514,,3,,POINT (-77.1114827 -11.9953802),5115831843,0.00046837687816077023
6027804515,,3,,POINT (-77.1081171 -11.9919528),31069792,0.0015074824343942884
6027804516,,3,,POINT (-77.1082256 -11.9922466),31069792,0.0018018666598831965
6027804517,,3,,POINT (-77.10777419999999 -11.991758),31069792,0.001139605659865518
6027804518,,3,,POINT (-77.1079956 -11.9918188),31069792,0.0013266005955062618
6027834419,,3,,POINT (-77.0856388 -11.9508373),1379780358,0.0004049498734410388
6027834423,,4,,POINT (-77.08568459999999 -11.9502031),6027834423,0.0
6027840739,,3,,POINT (-77.0937942 -11.9487657),1381395583,7.486741615204338e-05
6047008464,,3,,POINT (-77.05398409999999 -12.0112357),6047008464,0.0
6047008465,,3,,POINT (-77.05404559999999 -12.0111396),6047008464,0.00011409408398423255
6047008466,,3,,POINT (-77.0541024 -12.0111736),6047008467,0.00011212782884235001
6047008467,,3,,POINT (-77.0540465 -12.0112708),6047008467,0.0
6047008470,,3,,POINT (-77.0523194 -12.0151369),3672842947,0.00011298822947835735
6047036753,,4,,POINT (-77.09959139999999 -11.9838057),6047036753,0.0
6047036754,,3,,POINT (-77.1072003 -11.9905275),31069790,0.0002915685854142757
6047036755,,3,,POINT (-77.1099123 -11.9936272),847760097,0.0006177370638042491
6047036756,,3,,POINT (-77.1101087 -11.9937056),4080312167,0.00045401428391855656
6047071900,,3,,POINT (-77.0930054 -11.9925279),6047071900,0.0
