osmid,ref,highway,street_count,geometry,NN,NN_dist
1273475157,,,3,POINT (-76.9595537 -12.0376135),4271907484,0.0016495079144972513
1273477385,,,3,POINT (-76.9640989 -12.0355989),1746106156,0.0012884893208706877
1273477676,,,3,POINT (-76.95661440000001 -12.0473568),5434265968,0.0006558167122109979
1273481758,,,3,POINT (-76.96110950000001 -12.0312023),1746105910,0.0009380030063833855
1273483000,,,3,POINT (-76.9452174 -12.0284555),1746105657,0.0004453095664804817
1273484096,,,3,POINT (-76.9457156 -12.033481),1577491990,0.0016336820804581942
1273485557,,,3,POINT (-76.96320559999999 -12.0393139),1575375274,0.0015493899831836165
1273486408,,,3,POINT (-76.9566535 -12.0461544),5434265968,0.0012321144467984139
1273486811,,,3,POINT (-76.9571392 -12.0379499),4356150205,0.0013030914933355147
1273487643,,,3,POINT (-76.9613289 -12.0428602),1577952915,0.003047739334330458
1273489287,,,3,POINT (-76.958387 -12.0403695),4356156394,0.0005638514165990773
1273489655,,,4,POINT (-76.979748 -12.045754),1273489655,0.0
1273492230,,,3,POINT (-76.9548566 -12.0299352),1746105814,0.000505226018730003
1273492335,,,3,POINT (-76.9554097 -12.0297077),1273492335,0.0
1273498856,,,4,POINT (-76.9528279 -12.0340433),1273875162,0.00014243317731600535
1273500225,,,4,POINT (-76.957249 -12.0398772),1577492065,0.000560348864545205
1273501610,,,1,POINT (-76.9621793 -12.0397856),1273570044,0.0010259553060421077
1273502110,,,3,POINT (-76.9484063 -12.030418),1746105722,0.0018476516257155751
1273503376,,,3,POINT (-76.9661304 -12.041605),1273639822,0.0005042813599564047
1273503621,,,3,POINT (-76.9547785 -12.0346971),1575375399,0.0005452367650850534
1273504268,,,4,POINT (-76.9633135 -12.0502671),1273504268,0.0
1273504400,,,3,POINT (-76.9578783 -12.0455727),1757245672,0.0009372822200278822
1273504594,,,4,POINT (-76.9425406 -12.0307276),1273504594,0.0
1273508222,,,3,POINT (-76.96038609999999 -12.0484712),1273901348,0.0021933909204744665
1273508263,,,3,POINT (-76.9561234 -12.0462296),5434265968,0.0009677342610452603
1273508791,,,3,POINT (-76.97583539999999 -12.0521876),4321946407,0.0006840070248245214
1273511475,,,4,POINT (-76.9513853 -12.0366481),1273945426,0.002391303228361916
1273512556,,,3,POINT (-76.98342030000001 -12.0419461),1826486042,0.0006310223530023316
1273513165,,,3,POINT (-76.96471440000001 -12.041022),1577952929,0.0007338550538174386
1273517523,,,4,POINT (-76.9744431 -12.0495028),1273517523,0.0
1273517627,,,3,POINT (-76.9506045 -12.0404467),1577492054,0.00018058128363392442
1273517712,,,4,POINT (-76.9776107 -12.0412198),1273517712,0.0
1273518962,,,3,POINT (-76.9644277 -12.0348327),1746106156,0.0007491598027148426
1273521626,,,4,POINT (-76.9714488 -12.0400176),1847865315,0.0001592281696083058
1273523621,,,4,POINT (-76.95611529999999 -12.0352999),1273767984,0.000581169114796475
1273530067,,,3,POINT (-76.9684611 -12.0468809),1577491985,0.00016907968535177136
1273530429,,,4,POINT (-76.9764357 -12.0453611),1273530429,0.0
1273537670,,,3,POINT (-76.9581451 -12.0334711),1273747216,0.0022898786103198207
1273538287,,,4,POINT (-76.9593527 -12.0380558),4356156394,0.0019482399544176318
1273538844,,,4,POINT (-76.96484940000001 -12.0508428),1273538844,0.0
