osmid,highway,street_count,ref,geometry,NN,NN_dist
422442202,,3,,POINT (-76.9318983 -12.1145726),422441990,0.002935751140674255
422442215,,1,,POINT (-76.93351680000001 -12.1144231),4835725006,0.0017823632514105598
422442217,,3,,POINT (-76.9344878 -12.1125074),5718525563,0.002032748779357457
422442218,,3,,POINT (-76.934926 -12.1127456),5718525563,0.001534010482353685
422442219,,3,,POINT (-76.93554829999999 -12.1119735),5718525563,0.0016793734605503835
422442252,,3,,POINT (-76.9362435 -12.1127169),5718525563,0.0007750383861449801
422442258,,3,,POINT (-76.9370206 -12.112717),5718525563,0.0010811210848022546
422442259,,4,,POINT (-76.9369301 -12.1126431),5718525563,0.0010772418205794905
422442260,,3,,POINT (-76.9358249 -12.111853),5718525563,0.001697036301907992
422442261,,3,,POINT (-76.9354946 -12.1115905),5718525563,0.0020517934715734007
422442266,,3,,POINT (-76.93518520000001 -12.1107726),5718525563,0.002926081755516642
422442267,,3,,POINT (-76.9354587 -12.1103844),5718525563,0.003210462759478209
422442270,,3,,POINT (-76.937248 -12.1122589),5718525563,0.0015757816631766417
422442271,,3,,POINT (-76.93753479999999 -12.1118908),5718525563,0.002042400352527087
422442272,,3,,POINT (-76.9372505 -12.1116831),5718525563,0.0020589135630274618
422442282,,1,,POINT (-76.93371329999999 -12.1124671),5718525563,0.002750985252595868
422442283,,3,,POINT (-76.93706229999999 -12.11435),422442169,0.00014298398510693175
422442284,,3,,POINT (-76.9374309 -12.1139079),422442169,0.0007134649605907377
422442288,,3,,POINT (-76.9387376 -12.1121818),5718525563,0.0027968563566994134
422442291,turning_loop,1,,POINT (-76.93700819999999 -12.1134328),5718525563,0.000744126790271759
422442292,turning_loop,1,,POINT (-76.93775189999999 -12.1141685),422442169,0.0008500462399079408
422442295,turning_loop,1,,POINT (-76.93836469999999 -12.1117803),5718525563,0.002707657766410134
422442536,,4,,POINT (-76.9398882 -12.1117784),429551518,0.0019426376141779363
422442540,,3,,POINT (-76.93963100000001 -12.1126095),411672337,0.0019046039063250202
422442541,,3,,POINT (-76.9392823 -12.1130205),411672335,0.001956980472567585
422442542,,3,,POINT (-76.938971 -12.1133731),411672335,0.001917486323296574
422442543,,3,,POINT (-76.938731 -12.1136468),422442169,0.0019517190294694234
422442544,,3,,POINT (-76.9386569 -12.1137378),422442169,0.0018481743045429611
422442545,,3,,POINT (-76.9380378 -12.1144907),422442169,0.0010971987057926986
422442548,,3,,POINT (-76.93746710000001 -12.1146598),422442169,0.0005736616598652605
422442550,,4,,POINT (-76.9400694 -12.1142709),411672335,0.0004988506790669908
422442552,,3,,POINT (-76.9409067 -12.1132158),411672337,0.0005041219098607611
422442553,,3,,POINT (-76.9406139 -12.1136206),411672337,0.0006839017619505492
422442554,,3,,POINT (-76.9403511 -12.1139248),411672335,0.0006702647984211627
422442555,,3,,POINT (-76.9397584 -12.1146413),411672335,0.0006991197036297209
422442557,,3,,POINT (-76.9390958 -12.1154227),411672332,0.00063877924198646
422442558,,3,,POINT (-76.93840400000001 -12.1148133),429551552,0.001498749412007175
422442559,,3,,POINT (-76.9387681 -12.115134),429551552,0.0010668412534200035
422442560,,3,,POINT (-76.9390305 -12.1140442),411672335,0.001524750241846341
422442561,,3,,POINT (-76.9394276 -12.1143699),411672335,0.0010504579191981925
422442563,,3,,POINT (-76.93965609999999 -12.1133368),411672335,0.0014837892370610113
422442564,,3,,POINT (-76.939915 -12.1130259),411672337,0.0014706714248965496
422442565,,3,,POINT (-76.94021499999999 -12.1126652),411672337,0.0013881045529839768
422442566,,3,,POINT (-76.9405209 -12.1123007),429551518,0.0012530546516493683
422442567,turning_loop,1,,POINT (-76.93848560000001 -12.1132574),422442169,0.001936888352487758
422442573,turning_loop,1,,POINT (-76.9379208 -12.1126484),5718525563,0.0018568859954296263
422442578,,3,,POINT (-76.9375524 -12.1120582),5718525563,0.0019257288386526808
429547231,,3,,POINT (-76.9385523 -12.1157513),429551552,0.00065400957944098
429547236,,3,,POINT (-76.9382422 -12.1162175),429551552,0.0008234734482588889
429547256,,4,,POINT (-76.9379773 -12.1170822),429551552,0.0014255389507106557
429547262,,3,,POINT (-76.93783519999999 -12.1176079),5718483510,0.0018981836186287237
429547274,,3,,POINT (-76.937586 -12.1184857),5718483510,0.002724100859006124
429547291,,3,,POINT (-76.9366598 -12.1182207),422442019,0.002539723703475494
429547299,,3,,POINT (-76.9371158 -12.1183629),5718483510,0.0029402840764152656
429547311,,3,,POINT (-76.9373679 -12.1174818),429551552,0.002150565920867142
429547312,,3,,POINT (-76.9369128 -12.1173431),422442162,0.0021429765304377575
429547313,turning_loop,1,,POINT (-76.93677700000001 -12.1172467),422442162,0.0019765543377363816
429547314,,4,,POINT (-76.9388677 -12.1167275),5718483510,0.000548675350277549
429547316,,3,,POINT (-76.93924869999999 -12.116997),5718483510,0.0007006541871696817
429547320,,3,,POINT (-76.9403161 -12.1170509),5718483510,0.0013395481775566492
429547323,,4,,POINT (-76.9412923 -12.1166366),411672332,0.0019602411739429075
429547324,,3,,POINT (-76.9418108 -12.1164248),411672335,0.0022836342898949857
429547327,,3,,POINT (-76.94024640000001 -12.1150272),411672335,0.0004873859764073909
429547328,,3,,POINT (-76.9406374 -12.1153521),411672335,0.0007865462732721455
429547329,,3,,POINT (-76.9409935 -12.1156356),411672335,0.001178695592592303
429547331,,3,,POINT (-76.941485 -12.1160391),411672335,0.0017801575772914986
429547334,,4,,POINT (-76.94201769999999 -12.1169379),411672332,0.002745365383695805
429547344,,3,,POINT (-76.9415111 -12.1171504),411672332,0.0023797760608973884
429547513,,3,,POINT (-76.9411001 -12.1162038),411672332,0.001663361325754513
429547522,,3,,POINT (-76.9409761 -12.1162502),411672332,0.0015492436929083172
429547530,,3,,POINT (-76.9404978 -12.1164582),411672332,0.0011589202604222945
429547558,,4,,POINT (-76.9398484 -12.1162907),411672332,0.0005194508639001835
429547581,,3,,POINT (-76.94032420000001 -12.1157162),411672332,0.0008989622962167145
429547588,,3,,POINT (-76.94004459999999 -12.116064),411672332,0.0005993227594525566
429547659,,3,,POINT (-76.9383354 -12.1155587),429551552,0.0009437983894869606
429547690,,3,,POINT (-76.9377138 -12.1170101),429551552,0.0015956694645188774
429547711,turning_loop,1,,POINT (-76.93738860000001 -12.1169236),429551552,0.0018412184145207855
429551484,,4,,POINT (-76.9385228 -12.110463),429551518,0.003708640950539609
429551493,,3,,POINT (-76.9363859 -12.1135601),5718525563,0.00013774069842558561
429551518,,3,,POINT (-76.9417729 -12.1122493),429551518,0.0
429551529,,4,,POINT (-76.93840539999999 -12.1104114),5718525563,0.0037500604048461704
429551552,,3,,POINT (-76.9390636 -12.1161591),429551552,0.0
429551564,,4,,POINT (-76.9392141 -12.1112054),429551518,0.002763545666352537
429551565,,1,,POINT (-76.94227530000001 -12.1137282),411672338,0.0009634516697826858
429551580,,3,,POINT (-76.9399875 -12.1114494),429551518,0.00195639800910012
429551582,,3,,POINT (-76.94087140000001 -12.1118425),429551518,0.000989034119733035
429551589,,3,,POINT (-76.9413113 -12.1120419),429551518,0.0005060526850121969
429553874,,1,,POINT (-76.9456191 -12.1126382),429551518,0.0038658113831361316
429553876,,3,,POINT (-76.94458400000001 -12.1121442),429551518,0.002813064027002165
429553877,,3,,POINT (-76.94353889999999 -12.1116515),429551518,0.0018644357966853056
429553880,,3,,POINT (-76.94293450000001 -12.1113655),429551518,0.0014595948067899571
429553914,,1,,POINT (-76.9452043 -12.1118956),4365093218,0.0030869899400548144
429553920,,4,,POINT (-76.94451909999999 -12.1116016),4365093218,0.0024060165439951614
429553926,,4,,POINT (-76.9437451 -12.1112314),4365093218,0.0016691005511943581
429553934,,3,,POINT (-76.943136 -12.1109463),4365093218,0.0012135951919800736
429553957,,3,,POINT (-76.94437550000001 -12.1125791),429551518,0.002623412815401962
429553965,,3,,POINT (-76.9441503 -12.1130373),429551518,0.002504590737027005
429553980,,3,,POINT (-76.94310179999999 -12.1119932),429551518,0.0013533522896768116
429554000,,3,,POINT (-76.9428966 -12.1124286),429551518,0.0011379148386349628
429554006,,3,,POINT (-76.943523 -12.1127325),429551518,0.0018155804168318438
429554020,turning_circle,1,,POINT (-76.944479 -12.1135719),411672338,0.002983217876722947
429554073,,4,,POINT (-76.94267290000001 -12.112867),429551518,0.0010915829285958367
429554148,,4,,POINT (-76.9433339 -12.1105239),4365093218,0.0008536088097007271
429554154,,4,,POINT (-76.9439448 -12.1108131),4365093218,0.0014332326014962862
429554161,,3,,POINT (-76.9447172 -12.1111758),4365093218,0.0022426559655897363
429554182,,3,,POINT (-76.9435162 -12.1101348),4365093218,0.0006543813719880926
429554187,,3,,POINT (-76.94372199999999 -12.1096954),411672347,0.0006699391763430629
429554215,,4,,POINT (-76.9441233 -12.1104314),4365093218,0.0013239947620744656
429554225,,3,,POINT (-76.94433189999999 -12.1100025),411672347,0.0013079293253081097
429554257,,3,,POINT (-76.944897 -12.1108065),4365093218,0.0021813732853388085
429560782,,3,,POINT (-76.94022080000001 -12.1110018),429551518,0.001991298737003792
429560783,,4,,POINT (-76.9406944 -12.1100068),4365093218,0.002314402147425687
429560784,,3,,POINT (-76.94092910000001 -12.1095617),4365093218,0.002072180426502107
429560785,,4,,POINT (-76.9415494 -12.1082661),411672347,0.0020009988630633785
429560786,,4,,POINT (-76.9417126 -12.1079059),411672347,0.0020495219954838285
429560787,,4,,POINT (-76.9422589 -12.1068218),4365213746,0.00198572518995063
429560788,,4,,POINT (-76.94245220000001 -12.1064088),4365213746,0.0019455364812893878
429560789,,3,,POINT (-76.942667 -12.1059739),2147047931,0.0019870587535288048
429560790,,4,,POINT (-76.9432479 -12.1047565),2147047931,0.002602502645527676
429560791,,4,,POINT (-76.9436918 -12.1038799),430020642,0.0031557347052634465
429560792,,3,,POINT (-76.9396771 -12.1102343),429551518,0.0029073360039780943
429560793,,4,,POINT (-76.94042330000001 -12.108631),4365093218,0.0027996874914833704
429560795,,3,,POINT (-76.9407762 -12.1078747),4365213746,0.002243330214212762
429567560,,3,,POINT (-76.9420315 -12.1106152),4365093218,0.00129980568163115
429567562,,3,,POINT (-76.9411303 -12.1102002),4365093218,0.0019189286203525554
429567563,,3,,POINT (-76.94039960000001 -12.1097733),4365093218,0.0025940998535074447
429567564,,4,,POINT (-76.9428549 -12.1089007),411672347,0.0005494389865981929
429567565,,3,,POINT (-76.9419711 -12.1084752),411672347,0.0015303318757619306
429567567,,4,,POINT (-76.93992609999999 -12.1074816),4365213746,0.0019908410308219254
429567568,,3,,POINT (-76.9417619 -12.1089106),4365093218,0.0014854523923688656
429567569,,3,,POINT (-76.9413462 -12.1097606),4365093218,0.0016474154120944204
429567570,,3,,POINT (-76.94178220000001 -12.1099621),4365093218,0.0012312955331625268
429567571,,3,,POINT (-76.9422371 -12.1101727),4365093218,0.0008708728495017759
429567572,,3,,POINT (-76.9422083 -12.1091253),4365093218,0.0009978720759664572
429567573,,3,,POINT (-76.9426517 -12.1093386),4365093218,0.0005280468634525173
429567574,,3,,POINT (-76.9423932 -12.1098632),4365093218,0.000612591625801568
429567575,,3,,POINT (-76.943046 -12.1085259),2147047928,0.0006197353064013089
429567576,,3,,POINT (-76.94353750000001 -12.1074472),4365101456,0.0012144598799472548
429567578,,3,,POINT (-76.9410756 -12.1114035),429551518,0.001096177417209038
429567579,,3,,POINT (-76.9413533 -12.1108261),429551518,0.0014837662888742128
429567580,,3,,POINT (-76.94092569999999 -12.11063),429551518,0.0018275339477054036
429567581,,3,,POINT (-76.94181089999999 -12.1110359),429551518,0.0012139948764313996
429567582,,3,,POINT (-76.9422646 -12.1112439),429551518,0.001119195268931459
429567584,,3,,POINT (-76.9406448 -12.1112011),429551518,0.0015399132605458225
429567585,turning_loop,1,,POINT (-76.9392594 -12.1099321),429551518,0.003418639801153766
429567586,,3,,POINT (-76.939651 -12.11029),429551518,0.0028881336707331246
429567587,turning_loop,1,,POINT (-76.940158 -12.1105261),429551518,0.002361635079775224
429567588,turning_loop,1,,POINT (-76.9400151 -12.1083296),4365213746,0.0027734483247388434
429567590,turning_loop,1,,POINT (-76.94089150000001 -12.1089748),4365093218,0.0022373242254920965
429567591,turning_loop,1,,POINT (-76.9396857 -12.109124),4365093218,0.003364870465562251
429567592,,3,,POINT (-76.9392722 -12.1088595),4365213746,0.0035143977307605097
429567593,,3,,POINT (-76.9401641 -12.1120052),429551518,0.001627213031535421
429567594,turning_loop,1,,POINT (-76.9379934 -12.1101825),5718525563,0.003732649435722983
429567599,,4,,POINT (-76.9414798 -12.1039053),2147047931,0.0017282839841833344
429567600,,3,,POINT (-76.94092190000001 -12.1050741),2147047931,0.00043325957577377823
429567605,,3,,POINT (-76.9403018 -12.1064098),4365213746,0.0008577151508498205
429567608,,4,,POINT (-76.9398223 -12.1074265),4365213746,0.0019818144060412884
429567611,,4,,POINT (-76.9408043 -12.1056158),4365213746,0.0001379062362608956
429567612,,3,,POINT (-76.94100299999999 -12.1052037),2147047931,0.00037049535758653377
429567613,,4,,POINT (-76.94159019999999 -12.1039539),2147047931,0.0017354277657030915
429567614,,3,,POINT (-76.939688 -12.1073419),4365213746,0.0019688927268864064
429567615,,3,,POINT (-76.93914940000001 -12.1068492),4365213746,0.001944644512494419
429567616,,3,,POINT (-76.9403032 -12.1076487),4365213746,0.0020473894231428135
429567617,turning_circle,1,,POINT (-76.9384603 -12.1081045),4365213746,0.0033129357886887085
429567626,,3,,POINT (-76.93965780000001 -12.1059916),4365213746,0.0010712487106092812
429567636,,4,,POINT (-76.94074809999999 -12.1035605),2147047931,0.0019091025168899824
429567647,,3,,POINT (-76.9414615 -12.1054226),2147047931,0.0007180398665769423
429567651,,3,,POINT (-76.9420489 -12.1041716),2147047931,0.0018398258640389123
