source;target;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes
5600979119;993167921;5.378999999999998;14.000000000000004;5.369999999999998;15.68333333333334
5600979119;31003285;5.332999999999998;12.750000000000004;5.331999999999999;13.200000000000008
5600979119;5518020471;5.139999999999999;13.866666666666667;5.1309999999999985;15.666666666666671
5600979119;31003258;5.401999999999999;13.500000000000004;5.401;13.650000000000007
5600979119;966367423;5.604;13.883333333333338;5.603000000000001;14.266666666666676
5628741809;3076194081;2.9539999999999984;8.416666666666666;3.165999999999998;7.783333333333331
5628741809;1008299810;0.182;0.3666666666666667;0.182;0.3833333333333333
5628741809;30983335;1.257;3.3166666666666664;1.257;3.533333333333333
5628741809;30964904;;;;
5628741809;4590287367;2.404;6.833333333333331;2.404;6.883333333333333
5628741809;1004136874;3.661999999999998;10.783333333333337;3.873999999999998;10.716666666666669
5628741809;30984135;0.45899999999999996;0.8999999999999999;0.45899999999999996;0.9666666666666666
5628741809;444056879;1.8139999999999996;5.333333333333333;1.8139999999999996;5.55
5628741809;438566223;4.009999999999997;11.666666666666664;4.221999999999996;11.35
5628741809;993167921;1.7309999999999997;5.383333333333334;1.7309999999999997;5.683333333333334
5628741809;31003285;1.3079999999999998;3.7333333333333334;2.286;2.7999999999999994
5628741809;5518020471;0.452;1.0333333333333334;0.452;1.15
5628741809;31003258;1.1369999999999998;2.4333333333333336;1.1369999999999998;2.4666666666666663
5628741809;966367423;1.329;3.0666666666666673;1.329;3.2166666666666672
5628741810;3076194081;2.9659999999999984;8.466666666666667;3.177999999999998;7.816666666666665
5628741810;1008299810;0.194;0.41666666666666663;0.194;0.41666666666666663
5628741810;30983335;1.2689999999999997;3.3666666666666663;1.2689999999999997;3.5666666666666664
5628741810;30964904;;;;
5628741810;4590287367;2.416;6.5666666666666655;2.416;6.583333333333332
5628741810;1004136874;3.6739999999999977;10.516666666666671;3.8859999999999975;10.416666666666668
5628741810;30984135;0.471;0.95;0.471;1.0
5628741810;444056879;1.8259999999999994;5.383333333333333;1.8259999999999994;5.583333333333333
5628741810;438566223;4.021999999999997;11.716666666666665;4.2339999999999955;11.383333333333333
5628741810;993167921;1.7429999999999994;5.333333333333332;1.7429999999999994;5.516666666666666
5628741810;31003285;1.3199999999999998;3.783333333333333;2.2979999999999996;2.833333333333333
5628741810;5518020471;0.464;1.0833333333333333;0.464;1.1833333333333333
5628741810;31003258;1.1489999999999998;2.4833333333333334;1.1489999999999998;2.5
5628741810;966367423;1.341;3.1166666666666667;1.341;3.250000000000001
5600979122;3076194081;3.135999999999998;8.350000000000001;3.134999999999998;8.166666666666666
5600979122;1008299810;4.2269999999999985;11.966666666666669;4.217999999999999;13.266666666666664
5600979122;30983335;4.692999999999997;13.400000000000004;4.6839999999999975;14.850000000000005
5600979122;30964904;;;;
5600979122;4590287367;5.2029999999999985;13.933333333333337;5.193999999999999;15.016666666666667
5600979122;1004136874;2.6809999999999987;7.133333333333334;2.6809999999999987;6.816666666666667
5600979122;30984135;4.503999999999999;12.500000000000002;4.494999999999999;13.849999999999998
5600979122;444056879;4.803999999999999;12.833333333333336;4.795;14.06666666666667
5600979122;438566223;3.4639999999999986;9.899999999999999;3.4639999999999986;9.833333333333334
5600979122;993167921;4.735999999999999;12.700000000000003;4.726999999999999;13.950000000000003
