u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,width,ref,bridge,access,junction,wazeinfo0800_minutes,wazeinfo0800_km,wazeinfo1400_minutes,wazeinfo1400_km
6086693679,3738278155,0,"[370218841, 446414746]","['Avenida Apurímac', 'De La Raza']",secondary,"['50', '60']",False,445.0549999999999,"LINESTRING (-71.9854443 -13.5144884, -71.98537829999999 -13.5145364, -71.9853225 -13.5145808, -71.98522869999999 -13.514667, -71.9851848 -13.5147327, -71.9851603 -13.5148001, -71.98514419999999 -13.5148707, -71.9851654 -13.5149332, -71.98521940000001 -13.5150243, -71.9854146 -13.5151978, -71.9854749 -13.5152454, -71.9855554 -13.5152891, -71.9856238 -13.5153022, -71.9856942 -13.5152989, -71.9857827 -13.5152767, -71.9858504 -13.5152291, -71.98589560000001 -13.5151731, -71.986006 -13.5150362, -71.98604419999999 -13.5150042, -71.9860572 -13.5149967, -71.98610050000001 -13.5149716, -71.9861736 -13.5149631, -71.9862507 -13.5149833, -71.9863077 -13.5150205, -71.9863433 -13.5150655, -71.98634970000001 -13.5152252, -71.9863881 -13.515465, -71.98641499999999 -13.5155675, -71.9864462 -13.5156069, -71.9864908 -13.5156418, -71.98653299999999 -13.515666, -71.98662729999999 -13.515696, -71.98673700000001 -13.515727, -71.9868235 -13.5157186, -71.986887 -13.5156969, -71.9869782 -13.5156406, -71.98726000000001 -13.5153915, -71.9873075 -13.5153693, -71.9873431 -13.5153569, -71.987447 -13.5153582, -71.9874973 -13.5153706, -71.98755559999999 -13.5153941, -71.9876026 -13.5154286, -71.98763630000001 -13.5154639, -71.98767549999999 -13.5155271)",,,,,,,1.3,0.439,1.2166666666666666,0.439
6086693679,4436928232,0,446414746,De La Raza,secondary,60,False,75.489,"LINESTRING (-71.9854443 -13.5144884, -71.98562769999999 -13.5143443, -71.9858139 -13.5142108, -71.98597890000001 -13.5140535)",,,,,,,0.0,0.002,0.0,0.002
5600850736,967482523,0,86974820,Calle Cantuta,residential,,False,188.22000000000003,"LINESTRING (-71.9356511 -13.5255666, -71.9356428 -13.5259641, -71.9356035 -13.5261456, -71.9355391 -13.5262603, -71.9354345 -13.5264135, -71.9353594 -13.526628, -71.9353464 -13.5267233, -71.935346 -13.5268027, -71.9353103 -13.5268558, -71.9352488 -13.5269247, -71.9350862 -13.527103)",,,,,,,0.9333333333333332,0.19,0.9166666666666666,0.19
5600850749,967482663,0,83144263,Calle Mariano Santos,residential,,False,60.477,"LINESTRING (-71.939098 -13.5259886, -71.9385463 -13.5260785)",,,,,,,0.1,0.057,0.1,0.057
5600850749,3707246801,0,83144263,Calle Mariano Santos,residential,,False,56.07,"LINESTRING (-71.939098 -13.5259886, -71.9396098 -13.525907)",,,,,,,0.0,0.002,0.0,0.002
5600924482,5078138687,0,365615504,,tertiary,,False,9.502,"LINESTRING (-71.9090175 -13.5514578, -71.9090839 -13.5515138)",,,,,,,0.0,0.001,0.0,0.001
5600924482,5078138685,0,365615504,,tertiary,,False,54.947,"LINESTRING (-71.9090175 -13.5514578, -71.908686 -13.5510832)",,,,,,,0.0,0.0,0.0,0.0
5600924484,3707280168,0,445252492,,tertiary,,False,57.924,"LINESTRING (-71.9112028 -13.5538372, -71.9108415 -13.5534525)",,,,,,,0.0,0.002,0.0,0.002
5600924484,5078138699,0,445252492,,tertiary,,False,84.759,"LINESTRING (-71.9112028 -13.5538372, -71.91137689999999 -13.5540877, -71.9116308 -13.5544758)",,,,,,,0.11666666666666667,0.081,0.2,0.081
30970693,30964174,0,472455925,,tertiary,,True,50.737,"LINESTRING (-71.9597412 -13.5296587, -71.95961920000001 -13.5292181)",,,,,,,0.11666666666666667,0.044,0.11666666666666667,0.044
5600850759,967482538,0,83144263,Calle Mariano Santos,residential,,False,93.768,"LINESTRING (-71.94104539999999 -13.5256583, -71.94019249999999 -13.5258115)",,,,,,,0.15,0.092,0.15,0.092
5600850759,3705942004,0,83144263,Calle Mariano Santos,residential,,False,102.875,"LINESTRING (-71.94104539999999 -13.5256583, -71.9418771 -13.5255432, -71.941986 -13.52552)",,,,,,,0.0,0.0,0.0,0.0
30970695,30970693,0,472455925,,tertiary,,True,29.488,"LINESTRING (-71.9597716 -13.529922, -71.9597559 -13.5297399, -71.9597412 -13.5296587)",,,,,,,0.08333333333333333,0.029,0.08333333333333333,0.029
5600850763,3224375053,0,316326169,Avenida Manantiales,residential,,True,85.42,"LINESTRING (-71.94241820000001 -13.5254087, -71.9426761 -13.5252, -71.9429708 -13.5248635)",,,,,,,0.0,0.0,0.0,0.0
5600850763,3224375060,0,316326170,,residential,,False,108.634,"LINESTRING (-71.94241820000001 -13.5254087, -71.9423791 -13.5252733, -71.9423537 -13.5252061, -71.9423295 -13.5251514, -71.9420636 -13.5244953)",,,,,,,0.0,0.0,0.0,0.0
5600850765,966368790,0,316326169,Avenida Manantiales,residential,,True,102.966,"LINESTRING (-71.9418367 -13.5262239, -71.9418807 -13.5260368, -71.9419077 -13.5259719, -71.94193869999999 -13.5259197, -71.94210750000001 -13.5257138, -71.9423458 -13.5254643)",,,,,,,0.0,0.006,0.0,0.006
30970701,30964176,0,1086606190,Avenida Túpac Amaru,tertiary,,True,61.25,"LINESTRING (-71.95999070000001 -13.5290044, -71.9605433 -13.5288829)",,,,,,,0.1,0.058,0.1,0.058
30970701,2643644252,0,4819804,Canas,residential,,False,14.463000000000001,"LINESTRING (-71.95999070000001 -13.5290044, -71.96000960000001 -13.5290526, -71.9600274 -13.5290939, -71.9600362 -13.5291265)",,,,,,,0.0,0.005,0.016666666666666666,0.005
30970704,30970708,0,86700257,Calca,tertiary,,True,28.536,"LINESTRING (-71.9607178 -13.5295992, -71.9607216 -13.5298558)",2,,,,,,0.06666666666666668,0.028,0.05,0.028
30970702,5319365513,0,86700226,Avenida Perú,tertiary,,True,69.204,"LINESTRING (-71.9606797 -13.5305487, -71.9602575 -13.5305081, -71.9602096 -13.5305191, -71.960165 -13.5305517, -71.9600954 -13.5306356)",,,,,,,0.0,0.001,0.0,0.001
30970708,30970702,0,86700257,Calca,tertiary,,True,77.18,"LINESTRING (-71.9607216 -13.5298558, -71.9606797 -13.5305487)",2,,,,,,0.0,0.001,0.0,0.001
30970710,30970711,0,86391531,Acomayo,residential,,False,15.121000000000002,"LINESTRING (-71.96269820000001 -13.5292826, -71.9627294 -13.529234, -71.9627485 -13.5292042, -71.9627717 -13.5291669)",,,,,,,0.11666666666666667,0.066,0.11666666666666667,0.066
30970710,30970715,0,1086606192,Avenida Túpac Amaru,tertiary,40,True,127.72900000000001,"LINESTRING (-71.96269820000001 -13.5292826, -71.9623962 -13.5291218, -71.96214329999999 -13.5290009, -71.9617844 -13.528894, -71.9616053 -13.5288768)",,,,,,,0.21666666666666667,0.126,0.2,0.126
30970711,30970710,0,86391531,Acomayo,residential,,False,15.121000000000002,"LINESTRING (-71.9627717 -13.5291669, -71.9627485 -13.5292042, -71.9627294 -13.529234, -71.96269820000001 -13.5292826)",,,,,,,0.13333333333333333,0.069,0.11666666666666667,0.069
30970711,30984183,0,86700251,Avenida Túpac Amaru,tertiary,40,True,134.998,"LINESTRING (-71.9627717 -13.5291669, -71.9637608 -13.5297611, -71.9638346 -13.5298041)",,,,,,,0.25,0.13,0.25,0.13
30970712,30964989,0,4819805,Calca,tertiary,30,True,9.143,"LINESTRING (-71.9598664 -13.5268211, -71.9598999 -13.5268966)",,8,PE-28G,,,,0.3,0.142,0.26666666666666666,0.142
30970712,10798231991,0,656842617,Avenida Huayruropata,secondary,50,True,140.454,"LINESTRING (-71.9598664 -13.5268211, -71.9610591 -13.5263203)",,,,,,,0.25,0.14,0.25,0.14
4477350744,30964117,0,82315399,Diagonal Angamos,secondary,50,True,75.312,"LINESTRING (-71.9533777 -13.5267004, -71.9534191 -13.5260243)",,,,,,,0.13333333333333333,0.07200000000000001,0.13333333333333333,0.07200000000000001
30970715,10798231997,0,1086606192,Avenida Túpac Amaru,tertiary,40,True,45.341,"LINESTRING (-71.9616053 -13.5288768, -71.96129449999999 -13.5288659, -71.9611872 -13.5288809)",,,,,,,0.0,0.0,0.0,0.0
3707261783,31001149,0,4819849,,tertiary,,False,59.031,"LINESTRING (-71.9834899 -13.5417611, -71.9837977 -13.5421996)",,,,,,,0.2833333333333333,0.058,0.2833333333333333,0.058
3707261783,4435313713,0,4819849,,tertiary,,False,166.152,"LINESTRING (-71.9834899 -13.5417611, -71.9832529 -13.5414172, -71.9827476 -13.5406915, -71.9826647 -13.5405724, -71.98264039999999 -13.5405171)",,,,,,,0.43333333333333335,0.16,0.43333333333333335,0.16
3707261790,5601275773,0,446202373,,primary,50,False,124.33099999999999,"LINESTRING (-71.98223710000001 -13.5422104, -71.9822301 -13.5421304, -71.9821997 -13.5420531, -71.9819887 -13.541698, -71.98174710000001 -13.541382, -71.9816577 -13.5412582)",,,CU-117,,,,1.0833333333333333,0.5429999999999999,1.3,0.5429999999999999
3707261790,30965633,0,446202373,,primary,50,False,58.787,"LINESTRING (-71.98223710000001 -13.5422104, -71.9821781 -13.5423164, -71.9819488 -13.5426583)",,,CU-117,,,,0.13333333333333333,0.02,0.08333333333333333,0.02
30970723,30964882,0,4819237,Jirón Los Sauces,tertiary,,False,55.051,"LINESTRING (-71.96040120000001 -13.5316256, -71.96034539999999 -13.5311335)",,,,,,,0.43333333333333335,0.051,0.5833333333333334,0.051
30970723,3257414098,0,4819237,Jirón Los Sauces,tertiary,,False,84.018,"LINESTRING (-71.96040120000001 -13.5316256, -71.96046629999999 -13.5321477, -71.9605054 -13.5323742)",,,,,,,0.45,0.083,0.3666666666666665,0.083
1703367524,4436928282,0,446414763,Avenida Humberto Vidal Unda,secondary,60,False,461.159,"LINESTRING (-71.9922321 -13.507516, -71.99220320000001 -13.5075571, -71.9921952 -13.5075871, -71.9921932 -13.5076027, -71.9921932 -13.5076406, -71.9922119 -13.5077031, -71.9922341 -13.5077449, -71.9922588 -13.5077761, -71.9922763 -13.5077983, -71.99230919999999 -13.5078368, -71.99237890000001 -13.5078909, -71.99241309999999 -13.507917, -71.9924486 -13.5079476, -71.9924674 -13.5079659, -71.9924855 -13.50799, -71.9924963 -13.5080174, -71.9925009 -13.5080507, -71.9924996 -13.5080865, -71.9924587 -13.5081869, -71.9923816 -13.5083121, -71.9923112 -13.5083988, -71.992277 -13.5084471, -71.9922354 -13.5084842, -71.99218380000001 -13.5085201, -71.9921429 -13.5085449, -71.9920788 -13.5085697, -71.9919919 -13.5085812, -71.99184990000001 -13.5085704, -71.9917037 -13.5085455, -71.9915354 -13.5085377, -71.9914395 -13.5085429, -71.9913308 -13.5085573, -71.99122149999999 -13.5085905, -71.99118 -13.508614, -71.9911572 -13.508629, -71.9911431 -13.5086629, -71.991135 -13.5086851, -71.99114369999999 -13.5087183, -71.9911705 -13.5087734, -71.9912075 -13.5088481, -71.991241 -13.5089054, -71.9915213 -13.5092269, -71.9916456 -13.5093954, -71.9916992 -13.5094593, -71.9917828 -13.5095946, -71.9918203 -13.5096539, -71.9918638 -13.5097734, -71.991876 -13.5098554, -71.9918802 -13.5099825, -71.9918661 -13.5101154, -71.99183960000001 -13.5101974, -71.9917856 -13.5102632)",,,,,,,1.1666666666666667,0.461,1.15,0.461
