osmid,y,x,street_count,highway,geometry
30964783,-13.5295271,-71.9408016,3,,POINT (-71.9408016 -13.5295271)
30964791,-13.529769,-71.9432939,3,,POINT (-71.9432939 -13.529769)
30964792,-13.5299276,-71.9439438,3,,POINT (-71.9439438 -13.5299276)
30964793,-13.5303055,-71.944693,3,,POINT (-71.944693 -13.5303055)
30964795,-13.5305415,-71.9452887,3,,POINT (-71.94528870000001 -13.5305415)
30964796,-13.530754,-71.946241,4,,POINT (-71.946241 -13.530754)
30964801,-13.5311428,-71.9500044,3,,POINT (-71.9500044 -13.5311428)
30964803,-13.5308394,-71.9462425,3,,POINT (-71.9462425 -13.5308394)
30964806,-13.5298528,-71.9432309,3,,POINT (-71.9432309 -13.5298528)
30964809,-13.5319992,-71.9391921,4,,POINT (-71.9391921 -13.5319992)
30964815,-13.5344765,-71.9384396,3,,POINT (-71.9384396 -13.5344765)
30964818,-13.5331288,-71.952096,3,,POINT (-71.952096 -13.5331288)
30964819,-13.5323718,-71.9520171,3,,POINT (-71.95201710000001 -13.5323718)
30964821,-13.5310477,-71.951865,3,,POINT (-71.951865 -13.5310477)
30964822,-13.531548,-71.9519221,3,,POINT (-71.9519221 -13.531548)
30964824,-13.5330623,-71.9529072,3,,POINT (-71.9529072 -13.5330623)
30964826,-13.5322643,-71.952745,3,,POINT (-71.95274499999999 -13.5322643)
30964827,-13.531433,-71.9526047,4,,POINT (-71.95260469999999 -13.531433)
30964831,-13.5330122,-71.9534651,3,,POINT (-71.9534651 -13.5330122)
30964832,-13.5311764,-71.9537067,4,,POINT (-71.9537067 -13.5311764)
30964833,-13.5306387,-71.9536048,3,,POINT (-71.95360479999999 -13.5306387)
30964851,-13.5324531,-71.9544865,3,,POINT (-71.9544865 -13.5324531)
30964852,-13.5325041,-71.9539739,3,,POINT (-71.95397389999999 -13.5325041)
30964854,-13.5317384,-71.9543666,4,,POINT (-71.9543666 -13.5317384)
30964855,-13.5312762,-71.9543284,3,,POINT (-71.95432839999999 -13.5312762)
30964856,-13.5305131,-71.9543571,3,,POINT (-71.9543571 -13.5305131)
30964859,-13.5317953,-71.9538234,3,,POINT (-71.9538234 -13.5317953)
30964861,-13.5313145,-71.9531364,3,,POINT (-71.95313640000001 -13.5313145)
30964865,-13.5306603,-71.9623134,3,,POINT (-71.9623134 -13.5306603)
30964866,-13.5306196,-71.9614938,3,,POINT (-71.9614938 -13.5306196)
30964869,-13.5306991,-71.9600448,3,,POINT (-71.96004480000001 -13.5306991)
30964871,-13.5305794,-71.959741,3,,POINT (-71.95974099999999 -13.5305794)
30964872,-13.5317595,-71.9667752,3,,POINT (-71.9667752 -13.5317595)
30964877,-13.5307925,-71.9657732,3,,POINT (-71.9657732 -13.5307925)
