osmid,y,x,street_count,highway,geometry
4429072276,-13.5483176,-71.866977,3,,POINT (-71.86697700000001 -13.5483176)
30984087,-13.5262278,-71.9615009,3,,POINT (-71.9615009 -13.5262278)
4449707928,-13.5244769,-71.9790653,3,,POINT (-71.9790653 -13.5244769)
30984092,-13.5256459,-71.9612671,4,,POINT (-71.9612671 -13.5256459)
30984093,-13.5229854,-71.9608005,3,,POINT (-71.9608005 -13.5229854)
3279447968,-13.5230717,-71.9209252,3,,POINT (-71.9209252 -13.5230717)
3279447969,-13.5231134,-71.921061,3,,POINT (-71.92106099999999 -13.5231134)
4429072290,-13.5500572,-71.8669247,3,,POINT (-71.8669247 -13.5500572)
5599365031,-13.5215265,-71.9196454,3,,POINT (-71.91964539999999 -13.5215265)
30984105,-13.5232318,-71.9630421,3,,POINT (-71.9630421 -13.5232318)
3696199598,-13.526704,-71.9385297,3,,POINT (-71.9385297 -13.526704)
5599365039,-13.5169482,-71.9216699,3,,POINT (-71.9216699 -13.5169482)
30984113,-13.522398,-71.962752,3,,POINT (-71.96275199999999 -13.522398)
4435421109,-13.5415381,-71.9183632,3,,POINT (-71.9183632 -13.5415381)
4429072310,-13.5534142,-71.8602727,3,,POINT (-71.8602727 -13.5534142)
10774415287,-13.5296926,-71.9794885,4,,POINT (-71.9794885 -13.5296926)
4429072309,-13.5532569,-71.8614962,3,,POINT (-71.8614962 -13.5532569)
30984120,-13.5234239,-71.960941,4,,POINT (-71.96094100000001 -13.5234239)
4429072314,-13.554016,-71.8583875,4,,POINT (-71.85838750000001 -13.554016)
30984121,-13.524784,-71.9570788,4,,POINT (-71.95707880000001 -13.524784)
10774415294,-13.5310882,-71.9825822,3,,POINT (-71.9825822 -13.5310882)
5599365056,-13.524677,-71.9288213,3,,POINT (-71.9288213 -13.524677)
30984133,-13.5245023,-71.955911,3,,POINT (-71.955911 -13.5245023)
5599365060,-13.5239849,-71.9286443,3,,POINT (-71.9286443 -13.5239849)
30984135,-13.5247938,-71.9549127,3,,POINT (-71.95491269999999 -13.5247938)
5599365065,-13.5231534,-71.9277671,3,,POINT (-71.9277671 -13.5231534)
30984139,-13.5251012,-71.9539448,3,,POINT (-71.9539448 -13.5251012)
3707283403,-13.5440131,-71.9863545,3,,POINT (-71.9863545 -13.5440131)
4429072333,-13.5604708,-71.8458246,3,,POINT (-71.8458246 -13.5604708)
5599365067,-13.5226029,-71.9272672,3,,POINT (-71.9272672 -13.5226029)
30984143,-13.5250735,-71.9626317,3,,POINT (-71.9626317 -13.5250735)
30984144,-13.523566,-71.9620907,4,,POINT (-71.9620907 -13.523566)
4429072337,-13.5609584,-71.8462687,3,,POINT (-71.8462687 -13.5609584)
30984146,-13.5227038,-71.9617634,3,,POINT (-71.9617634 -13.5227038)
5599365076,-13.5161567,-71.9242484,3,,POINT (-71.9242484 -13.5161567)
5599365079,-13.5159476,-71.9248484,3,,POINT (-71.9248484 -13.5159476)
5599365081,-13.5160744,-71.9244981,3,,POINT (-71.92449809999999 -13.5160744)
30984154,-13.5266293,-71.9636125,4,,POINT (-71.9636125 -13.5266293)
30984166,-13.5244305,-71.9655596,3,,POINT (-71.96555960000001 -13.5244305)
4783900648,-13.5359865,-71.9770907,3,,POINT (-71.97709070000001 -13.5359865)
30984175,-13.5248389,-71.9631913,3,,POINT (-71.96319130000001 -13.5248389)
30984177,-13.5272287,-71.9635966,4,,POINT (-71.9635966 -13.5272287)
10820700147,-13.5516728,-71.8699461,3,,POINT (-71.86994610000001 -13.5516728)
30984183,-13.5298041,-71.9638346,4,,POINT (-71.9638346 -13.5298041)
10810623992,-13.549177,-71.8790745,3,,POINT (-71.8790745 -13.549177)
30984184,-13.5299582,-71.96384,4,,POINT (-71.96384 -13.5299582)
3247220768,-13.5247014,-71.9688105,3,,POINT (-71.9688105 -13.5247014)
4436936745,-13.5160303,-71.9918333,3,,POINT (-71.9918333 -13.5160303)
5599365162,-13.5206727,-71.9144652,3,,POINT (-71.9144652 -13.5206727)
5599365161,-13.5221804,-71.9140483,3,,POINT (-71.9140483 -13.5221804)
4436936748,-13.5160576,-71.9934141,1,,POINT (-71.9934141 -13.5160576)
3247220781,-13.5278471,-71.9703525,3,,POINT (-71.9703525 -13.5278471)
472442926,-13.5147401,-71.9569422,3,,POINT (-71.9569422 -13.5147401)
3247220782,-13.5276566,-71.9704839,3,,POINT (-71.9704839 -13.5276566)
4427040824,-13.5282562,-71.8976729,3,,POINT (-71.8976729 -13.5282562)
3247220797,-13.524439,-71.9777205,3,,POINT (-71.9777205 -13.524439)
3247220802,-13.5244062,-71.9786561,3,,POINT (-71.97865609999999 -13.5244062)
4436936779,-13.5106478,-71.9907214,1,,POINT (-71.9907214 -13.5106478)
5600979024,-13.5428842,-71.9299882,3,,POINT (-71.9299882 -13.5428842)
30984281,-13.5292861,-71.9638536,3,,POINT (-71.96385359999999 -13.5292861)
2334689376,-13.5223046,-71.9618098,3,,POINT (-71.9618098 -13.5223046)
2334689378,-13.5220351,-71.9627519,3,,POINT (-71.9627519 -13.5220351)
2015930472,-13.5201529,-71.9872116,3,,POINT (-71.98721159999999 -13.5201529)
31000684,-13.5329287,-71.9694725,3,,POINT (-71.96947249999999 -13.5329287)
2015930477,-13.5193453,-71.9873152,4,,POINT (-71.9873152 -13.5193453)
3247220846,-13.5222611,-71.9731606,3,traffic_signals,POINT (-71.9731606 -13.5222611)
31000703,-13.5378046,-71.9709611,3,,POINT (-71.9709611 -13.5378046)
31000705,-13.5388629,-71.9707696,3,,POINT (-71.9707696 -13.5388629)
4110346381,-13.5223194,-71.9732175,3,,POINT (-71.9732175 -13.5223194)
4293765261,-13.5280421,-71.9826667,3,,POINT (-71.9826667 -13.5280421)
4293765262,-13.5282961,-71.9827518,1,,POINT (-71.9827518 -13.5282961)
31000731,-13.5367156,-71.9714631,4,,POINT (-71.97146309999999 -13.5367156)
5600979101,-13.5429831,-71.9401401,4,,POINT (-71.94014009999999 -13.5429831)
5628741794,-13.5255984,-71.9574714,3,,POINT (-71.9574714 -13.5255984)
5628741795,-13.5254885,-71.9574767,4,,POINT (-71.9574767 -13.5254885)
993167524,-13.5243772,-71.977838,4,,POINT (-71.97783800000001 -13.5243772)
5600979109,-13.5426697,-71.9397328,3,,POINT (-71.9397328 -13.5426697)
5600979110,-13.542358,-71.9403202,1,,POINT (-71.9403202 -13.542358)
5628741799,-13.5251265,-71.9576479,3,,POINT (-71.9576479 -13.5251265)
5628741804,-13.526582,-71.9589585,3,,POINT (-71.95895849999999 -13.526582)
5600979119,-13.5428192,-71.940488,1,,POINT (-71.940488 -13.5428192)
5628741809,-13.5264899,-71.9583618,3,,POINT (-71.95836180000001 -13.5264899)
