source;amenity;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes
2357195912;school;0.0;0.0;0.0;0.0
2357196157;school;0.42;1.6833333333333331;0.42;1.4333333333333331
2357196213;school;0.425;1.7000000000000002;0.425;1.4333333333333331
2357196214;school;0.477;1.7833333333333332;0.477;1.5166666666666666
2357196268;school;0.196;0.5166666666666666;0.196;0.5499999999999999
2357196273;school;0.17300000000000001;0.45;0.17300000000000001;0.4833333333333333
2357196307;school;0.066;0.13333333333333333;0.066;0.16666666666666666
2357196309;school;0.0;0.0;0.0;0.0
2357205634;school;0.005;0.016666666666666666;0.005;0.016666666666666666
2357205651;school;0.3420000000000001;1.2500000000000002;0.3420000000000001;0.7833333333333334
2357205666;school;0.326;1.0666666666666669;0.327;1.0
2357205691;school;0.7480000000000001;2.083333333333333;0.7480000000000001;1.8166666666666669
2357205693;school;1.3849999999999998;3.35;1.3849999999999998;4.083333333333333
2357205715;school;1.8229999999999995;4.283333333333333;1.8229999999999995;5.633333333333333
2357205724;school;1.911;4.483333333333333;1.911;5.883333333333333
2389897501;school;0.0;0.0;0.0;0.0
2389897521;school;0.002;0.0;0.002;0.0
2389897524;school;0.0;0.0;0.0;0.0
2389897529;police;0.0;0.0;0.0;0.0
2510721567;school;0.049;0.08333333333333334;0.049;0.1
2510721569;bank;0.0;0.0;0.0;0.0
2510721574;school;0.053000000000000005;0.1;0.053000000000000005;0.11666666666666667
2510721575;bank;0.116;0.25;0.116;0.2333333333333333
2510721577;bank;0.061;0.21666666666666667;0.061;0.2
2510721582;bank;0.0;0.0;0.0;0.0
2510721585;school;0.0;0.0;0.0;0.0
2510721586;school;0.07400000000000001;0.05;0.07400000000000001;0.05
2510721589;school;0.0;0.0;0.0;0.0
2510721592;school;0.077;0.2;0.077;0.11666666666666667
2510721593;school;0.15400000000000005;0.2333333333333333;0.15400000000000005;0.4
2510721594;school;0.0;0.0;0.0;0.0
2510721595;school;0.15200000000000002;0.2333333333333333;0.15200000000000002;0.55
2510721597;school;0.14;0.2333333333333333;0.14;0.3333333333333333
2510721599;school;0.136;0.5499999999999999;0.136;0.3333333333333333
2510761415;school;0.013;0.0;0.013;0.0
2510761417;school;0.016;0.0;0.016;0.0
2510761420;school;0.28500000000000003;1.1666666666666667;0.28500000000000003;0.9333333333333332
2510761422;school;0.213;0.2833333333333333;0.213;0.31666666666666665
2510761425;school;0.021;0.0;0.021;0.0
2606683622;school;0.233;0.5666666666666665;0.233;0.5666666666666667
2606683627;school;0.474;1.15;0.48;1.1333333333333333
2606683633;school;0.7610000000000001;1.6166666666666667;0.7610000000000001;1.7
2606683637;school;1.011;2.15;1.011;2.433333333333334
2606683643;school;0.7640000000000001;1.6166666666666667;0.7640000000000001;1.7
2606683661;school;0.945;2.033333333333333;0.945;2.1166666666666667
2629688206;school;0.15600000000000006;0.8333333333333333;0.15600000000000006;0.5499999999999999
2640595370;school;0.0;0.0;0.0;0.0
2640595373;school;0.001;0.0;0.001;0.0
2641114017;school;0.004;0.016666666666666666;0.004;0.016666666666666666
2641121464;school;0.011;0.03333333333333333;0.011;0.03333333333333333
2641131017;school;0.003;0.016666666666666666;0.003;0.016666666666666666
2641781927;university;0.0;0.0;0.0;0.0
2641788513;school;0.004;0.016666666666666666;0.004;0.016666666666666666
2643644252;school;0.002;0.0;0.002;0.0
2649600398;school;0.0;0.0;0.0;0.0
2668103368;bank;0.0;0.0;0.0;0.0
2710884270;school;0.0;0.0;0.0;0.0
2710884273;school;0.002;0.0;0.002;0.0
2710884290;school;0.111;0.3166666666666666;0.111;0.33333333333333337
2735769089;school;0.0;0.0;0.0;0.0
2805080733;school;0.182;1.05;0.182;0.9499999999999998
2988468500;school;0.124;0.26666666666666666;0.124;0.25
3014646227;police;0.0;0.0;0.0;0.0
3014652678;school;0.059;0.11666666666666667;0.059;0.11666666666666667
3076194081;hospital;0.0;0.0;0.0;0.0
3076194098;hospital;0.15;0.4166666666666667;0.14900000000000002;0.3666666666666665
3076194103;hospital;0.15;0.5;0.14900000000000002;0.3666666666666665
3076194106;school;0.006;0.016666666666666666;0.006;0.016666666666666666
3076194125;school;0.205;0.4333333333333333;0.205;0.4333333333333333
3089639238;school;0.12;0.26666666666666666;0.12;0.26666666666666666
3089639240;school;0.105;0.25;0.105;0.25
3089639244;school;0.0;0.0;0.0;0.0
3089639245;school;0.121;0.3;0.121;0.2833333333333333
3089639251;school;0.302;0.9333333333333336;0.302;0.9
3089643377;school;0.003;0.0;0.003;0.016666666666666666
3089643392;school;0.113;0.21666666666666667;0.113;0.21666666666666667
3089643393;school;0.006;0.016666666666666666;0.006;0.016666666666666666
3153700477;school;0.111;0.18333333333333326;0.111;0.2
3153700498;school;0.14;0.3;0.14;0.26666666666666666
3153700499;school;0.138;0.26666666666666666;0.138;0.26666666666666666
3153700500;school;0.27699999999999997;0.75;0.27699999999999997;0.8833333333333333
3179887345;school;0.008;0.0;0.008;0.016666666666666666
3183305838;police;0.364;0.8833333333333334;0.364;0.8333333333333334
3183305842;police;0.37200000000000005;0.9000000000000001;0.37200000000000005;0.8500000000000001
3183305846;police;0.33899999999999997;0.8;0.33899999999999997;0.7833333333333334
3183305848;police;0.7509999999999999;2.25;0.7509999999999999;1.65
3183305850;school;0.7240000000000001;1.85;0.7240000000000001;1.4000000000000004
3196478190;school;0.0;0.0;0.0;0.0
3196478191;school;0.0;0.0;0.0;0.0
3220977601;school;0.4730000000000001;0.9666666666666668;0.4730000000000001;0.9499999999999998
3220977602;school;0.5450000000000002;1.15;0.5450000000000002;1.133333333333333
3223247165;school;0.40399999999999997;1.4;0.40399999999999997;0.9000000000000001
3224375053;school;0.031;0.08333333333333334;0.031;0.06666666666666668
3224375060;school;0.139;0.2333333333333333;0.139;0.21666666666666665
3224375163;bank;0.096;0.25;0.096;0.25
3224375167;school;0.034;0.08333333333333333;0.034;0.08333333333333333
3224375169;school;0.051;0.15;0.051;0.13333333333333333
3225889730;school;0.203;1.8500000000000003;0.203;1.4833333333333334
3225889732;school;0.245;2.3666666666666667;0.245;1.6666666666666663
3225889739;school;0.16899999999999998;1.3333333333333333;0.16899999999999998;1.1166666666666667
3225934903;school;0.125;0.36666666666666653;0.125;0.43333333333333335
3225934904;school;0.02;0.03333333333333333;0.02;0.03333333333333333
3225934914;school;0.0;0.0;0.0;0.0
3225934933;school;0.08399999999999999;0.15;0.08399999999999999;0.15
3225934934;school;0.08499999999999999;0.15;0.08499999999999999;0.15
3225964473;school;0.11;0.19999999999999996;0.075;0.16666666666666666
3238860229;school;0.006;0.016666666666666666;0.006;0.0
3238861508;school;0.285;0.5833333333333334;0.285;0.6
3238861540;school;0.02;0.016666666666666666;0.02;0.016666666666666666
3240488679;university;0.265;0.4666666666666667;0.265;0.45
3240488697;school;0.002;0.0;0.002;0.0
3240488702;school;0.475;1.0833333333333333;0.475;0.4833333333333333
3240488704;school;0.433;0.7999999999999997;0.433;0.7666666666666666
3240488705;school;0.43;0.7999999999999997;0.43;0.7666666666666666
3240488710;school;0.194;0.3833333333333333;0.194;0.3999999999999999
3241267570;school;0.012;0.03333333333333333;0.012;0.03333333333333333
3241267581;school;0.13699999999999998;0.26666666666666666;0.13699999999999998;0.26666666666666666
3241267582;school;0.33;0.6666666666666667;0.33;0.6333333333333333
3241267589;school;0.12;0.2333333333333333;0.12;0.2333333333333333
3241267590;school;0.13699999999999998;0.3833333333333333;0.13699999999999998;0.3
3241267592;school;0.057000000000000016;0.4333333333333333;0.057000000000000016;0.4333333333333333
3241267614;school;0.109;0.18333333333333326;0.109;0.2
3241267616;school;0.021;0.05;0.021;0.05
3241267617;school;0.02;0.05;0.02;0.05
3241267618;school;0.0;0.0;0.0;0.0
3241291965;school;0.7709999999999999;1.85;0.7709999999999999;1.7999999999999998
3241291966;bank;0.7749999999999999;1.5833333333333333;0.7749999999999999;1.6333333333333333
3241291967;bank;0.7030000000000001;1.5;0.7030000000000001;1.5166666666666666
3241291972;bank;0.7210000000000001;1.5;0.7210000000000001;1.5333333333333332
3241291978;bank;0.7749999999999999;1.5833333333333333;0.7749999999999999;1.6333333333333333
3241425121;school;0.093;0.18333333333333332;0.093;0.18333333333333326
3241425122;school;0.125;0.15000000000000002;0.1;0.5
3241425135;bank;0.55;1.5333333333333332;0.55;1.3333333333333333
3241425136;school;0.055;0.11666666666666667;0.055;0.16666666666666666
3241425139;school;0.184;1.4833333333333334;0.184;1.4333333333333331
3241425141;school;0.034;0.08333333333333334;0.034;0.1
3241425145;school;0.0;0.0;0.0;0.0
3241425146;school;0.095;0.18333333333333332;0.095;0.18333333333333326
3241425147;school;0.214;0.38333333333333336;0.214;0.5333333333333334
3241425148;school;0.21900000000000006;0.4666666666666666;0.21900000000000006;0.5333333333333334
3241425149;school;0.015;0.05;0.015;0.016666666666666666
3241425150;school;0.018000000000000002;0.05;0.018000000000000002;0.03333333333333333
3241425151;school;0.08;0.18333333333333332;0.08;0.18333333333333326
3241425153;school;0.21700000000000005;0.45;0.21700000000000005;0.5
3241425154;school;0.08700000000000001;0.18333333333333332;0.08700000000000001;0.18333333333333326
3241425155;school;0.21800000000000005;0.45;0.21800000000000005;0.4666666666666666
3241425156;school;0.08900000000000001;0.18333333333333332;0.08900000000000001;0.18333333333333326
3241425157;school;0.21800000000000005;0.45;0.21800000000000005;0.3666666666666666
3241425158;school;0.08900000000000001;0.18333333333333332;0.08900000000000001;0.18333333333333326
3241425159;school;0.21600000000000005;0.45;0.21600000000000005;0.3666666666666666
3241425160;school;0.091;0.18333333333333332;0.091;0.18333333333333326
3241425561;school;0.21600000000000005;0.45;0.21600000000000005;0.3666666666666666
3244051183;bank;0.867;1.7;0.867;1.7666666666666666
3244051184;bank;0.867;1.7;0.867;1.7666666666666666
3244824864;school;0.052000000000000005;0.13333333333333333;0.052000000000000005;0.13333333333333333
3247220768;school;0.209;1.2166666666666666;0.209;1.1166666666666667
3247220781;school;0.31599999999999995;0.7666666666666667;0.31599999999999995;0.95
3247220782;school;0.17700000000000002;0.36666666666666653;0.17700000000000002;0.3833333333333333
3247220797;university;0.21;0.9166666666666669;0.21;0.9166666666666669
3247220846;school;0.33;0.6666666666666666;0.33;0.6666666666666666
3247225172;bank;0.020000000000000004;0.05;0.020000000000000004;0.05
3247225176;school;0.0;0.0;0.0;0.0
3247232149;school;0.004;0.0;0.004;0.0
3248394097;bank;0.0;0.0;0.0;0.0
3248394117;bank;0.006999999999999999;0.0;0.006999999999999999;0.0
3248394158;bank;0.07800000000000001;0.16666666666666666;0.07800000000000001;0.18333333333333326
3248394177;school;0.017;0.0;0.017;0.0
3248394178;school;0.024;0.03333333333333333;0.024;0.03333333333333333
3248394181;school;0.017;0.0;0.017;0.0
3248394194;bank;0.08600000000000002;0.16666666666666666;0.08600000000000002;0.18333333333333326
3248394200;school;0.04200000000000001;0.16666666666666666;0.04200000000000001;0.25
3248452591;school;0.003;0.0;0.003;0.0
3248594646;police;0.62;1.1833333333333331;0.62;1.2666666666666666
3248594666;school;0.787;1.8166666666666664;0.787;2.1
3248594690;school;1.121;1.1833333333333331;1.121;1.1833333333333331
3248594721;school;0.6509999999999999;1.7833333333333334;0.6509999999999999;1.2833333333333332
3248594735;police;0.677;1.5333333333333332;0.677;1.5333333333333332
3248632943;school;0.59;0.85;0.59;0.8
3248633188;school;1.315;1.9;1.315;1.8000000000000005
3251912619;bank;0.02200000000000001;0.05;0.02200000000000001;0.05
