district,bank_dist,courthouse_dist,hospital_dist,marketplace_dist,police_dist,school_dist,university_dist
lurigancho,7.320637938014518,,21.046934226150036,2.376796952542369,3.404311943583538,0.9529197532687652,4.791883466585954
lurin,3.677209840937638,5.095849111192931,6.735242516568497,2.515240661634752,3.1286197533136964,1.366160766568486,7.530784508836523
magdalena_del_mar,0.6061735338753382,,1.0453854795640327,1.3550468910081739,0.8559562125340604,0.4810366358695647,0.8342901934604902
mi_peru,,,,0.7055695675392661,0.917487770680628,0.47218644712041913,
miraflores,0.48686640046118423,3.0550900928792606,1.4026963428792587,1.2988177391640874,2.241282711300308,0.47154363587374853,1.2276932221362225
pachacamac,6.473312658932725,,11.449518326276106,2.071444774651967,3.0671697224477987,1.2485939222903892,13.700207121809717
pucusana,,,,2.617482822757112,2.5672709759299766,1.5424965973741784,
pueblo_libre,0.7114815527522935,,1.2949764885321091,0.8276036,1.2306872133027518,0.391629029816514,0.8843037846889947
puente_piedra,3.255684296833782,,3.959908279683379,1.2744339869722965,2.0388840118713953,0.48327651929419485,
punta_hermosa,,,4.677728898788931,,4.636646590830451,1.4374188788927331,
punta_negra,,,,1.6779755212355207,1.6572949594594604,0.7513509266409271,
rimac,1.355610397909968,,1.1863451648606804,0.5454183008641013,0.819652169976172,0.2983402160251372,3.841231394366197
san_bartolo,,,,,0.7408045158924205,0.4965251051344746,
san_borja,0.8082574272334303,,2.6577650504322796,2.0620905158501395,1.0496548204255325,0.5747156933045355,1.6861523587896257
san_isidro,0.5933845272161741,,,3.149070547934529,1.0878169275136398,0.5479510391542682,1.3155863489096578
san_juan_de_lurigancho,2.676653809005959,5.130357771387151,2.7608788205252144,0.8072107930256902,1.8743374031738336,0.4722077995005629,2.7645833773964914
san_juan_de_miraflores,1.6740137211221129,,3.033642044318714,0.5056082230843848,1.2640968545497393,0.3290590694989613,2.997869646628948
san_luis,0.9059330205223869,,,0.7168112142857137,0.5430589728260872,0.35944011891891936,1.4225204029850755
san_martin_de_porres,1.9201277796329488,5.71509714930314,4.284800028563547,0.5246610495377403,2.018259048985785,0.32449204456401803,7.378990102525208
san_miguel,1.0108185647743815,,1.4184620385735078,1.394586013838312,1.4322640364166046,0.3418285181950508,1.484681560815732
santa_anita,1.1068082184637063,1.1638493321604502,1.2668317600281476,0.7589235031667835,1.7956186762843072,0.27777496059113355,1.4393074919071074
santa_maria_del_mar,,,,,1.0308965257731957,1.171791618556701,
santa_rosa,,,,2.0014259854771788,1.3836574598893505,0.9759101590594731,
santiago_de_surco,0.9517461488203293,,3.2418138412197663,1.1354793209779177,1.8998495013144092,0.6140629235355094,2.0707509024710755
surquillo,0.9192751148148139,2.415733949382717,1.1293896641975314,0.6164654111111102,0.6906345765432105,0.45612404074074064,1.975929658024692
ventanilla,2.1399997861024844,6.345118493012408,3.2992515650879795,1.3068254319358186,2.8246976369047685,0.8887761303053824,4.357382926501038
villa_el_salvador,1.4485296252321977,3.525682852167185,1.2732251117647069,0.5641328349845209,1.7931291837461314,0.315106844582044,2.587149617647054
villa_maria_del_triunfo,2.617506311355315,5.481353140946001,4.288584861442905,0.8384457595158478,1.9641741770982695,0.6879470089356954,7.817318753623192
