osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist
4337614191,3,,,POINT (-77.1092273 -12.0698464),465071802,0.05501339149724838
3918871929,3,,,POINT (-77.0706483 -11.9456669),301604752,0.044575147435266194
4337614201,3,,,POINT (-77.1155129 -12.0677734),465071802,0.05801786323567562
589643132,4,traffic_signals,,POINT (-77.0933855 -12.0775083),465071802,0.05281328970151283
3918871930,3,,,POINT (-77.0706899 -11.9457613),301604752,0.044494210232089916
1342750073,3,,,POINT (-76.99100660000001 -11.9702887),437868020,0.008539623318154485
1918025089,3,,,POINT (-77.0646686 -11.9898824),301604752,0.005284368436794409
5711838594,3,,,POINT (-76.95524690000001 -12.0505516),439195372,0.010283091734481286
1918025091,3,,,POINT (-77.06364670000001 -11.9897777),301604752,0.00426344652740208
3918871942,3,,,POINT (-77.0714704 -11.9458454),301604752,0.04461601433286246
5711838602,3,,,POINT (-76.95938150000001 -12.0524021),439195372,0.010926915651269506
5711838605,3,,,POINT (-76.9621556 -12.0535656),439195372,0.012234123787590898
1918025102,3,,,POINT (-77.064637 -11.9902999),301604752,0.005353229540424386
821378446,3,,,POINT (-77.0108907 -12.0289131),5519669522,0.02118907227629346
2832645522,3,,,POINT (-77.0808392 -11.9886777),301604752,0.021348229341977068
1273642387,3,,,POINT (-76.91665519999999 -12.1724593),408686631,0.039828207618514876
5711838613,3,,,POINT (-76.96231880000001 -12.053635),439195372,0.012330519757500024
821378455,3,,,POINT (-77.0077883 -12.02742),5519669522,0.02028396631825034
821378456,4,,,POINT (-77.0072741 -12.0273648),5519669522,0.020371069290539008
821378457,3,,,POINT (-77.0067693 -12.0273168),5519669522,0.0204748231044837
138853789,4,,,POINT (-77.02819289999999 -12.1190434),437675773,0.018236189579646258
821378462,4,,,POINT (-77.0120447 -12.0308095),5519669522,0.022995743039310547
821378463,3,,,POINT (-77.0117595 -12.029767),5519669522,0.021969554374178624
1918025120,3,,,POINT (-77.0646339 -11.9898273),301604752,0.005239539704697639
472563105,4,,,POINT (-76.7814173 -12.3740388),5364271522,0.15987644821877003
138853793,4,,,POINT (-77.0281837 -12.1182817),437675773,0.017539546545019047
1918025119,3,,,POINT (-77.0636416 -11.9901968),301604752,0.00437153294470954
