osmid,street_count,highway,ref,geometry,police_osmid,police_dist,police_nearestnode
9217135844,3,,,POINT (-76.79458750000001 -12.1011162),8539691591,0.02332590380263977,1571640988
2761151729,4,,,POINT (-76.9806107 -12.1582844),437883950,0.005252701889831657,317338928
1572590834,4,,,POINT (-76.8111352 -12.1202964),8539691591,0.0048403652424223965,1571640988
306533619,4,traffic_signals,,POINT (-77.1426807 -12.0634954),319641192,0.05024784300709896,317337823
4282799348,3,,,POINT (-76.9729976 -12.1871018),318965716,0.008516415054013085,1805764085
1405080822,3,,,POINT (-76.96152240000001 -12.192713),318961595,0.004351071709952107,1273675776
1405080828,3,,,POINT (-76.9610972 -12.1930394),318961595,0.004153598955856365,1273675776
1711035648,3,,,POINT (-76.9266588 -12.2449382),319726292,0.015287314352934046,1710500095
1405080833,4,,,POINT (-76.9591777 -12.1961743),318961595,0.00567907452940192,1273675776
5667542274,3,,,POINT (-77.02366000000001 -12.1395464),511806555,0.004569124115424845,5667542274
1305826563,4,,,POINT (-77.0723875 -11.9814152),4394024182,0.005982309524763536,4375704579
391009544,4,traffic_signals,,POINT (-77.02288249999999 -12.1461385),318792235,0.00037245129143970336,391009544
391009545,4,,,POINT (-77.0230202 -12.1446292),318792235,0.0017519387566018875,391009544
391009546,5,,,POINT (-77.023127 -12.1434067),318792235,0.002967319746223623,391009544
471061771,4,,,POINT (-76.97375270000001 -12.0730016),4818236224,0.0051184288692966,9257947583
471061772,3,,,POINT (-76.9739403 -12.0729057),4818236224,0.005270254521362918,9257947583
4269987080,3,,,POINT (-77.09273330000001 -11.9558349),4683999092,0.019491752506637445,5494960722
391009550,5,,,POINT (-77.0231548 -12.1431669),318792235,0.0032080462156581337,391009544
391009551,4,,,POINT (-77.02321980000001 -12.1422771),318792235,0.004095630293416522,391009544
6338630923,4,,,POINT (-77.038487 -12.0458174),319323286,0.00451766885358163,537845459
391009553,4,,,POINT (-77.023382 -12.1404847),511806555,0.004735118090296117,5667542274
471061778,4,,,POINT (-76.9737035 -12.0728835),4818236224,0.005036715822833935,9257947583
471061777,3,,,POINT (-76.9738881 -12.0727843),4818236224,0.005187587932744756,9257947583
1572590869,3,,,POINT (-76.86137479999999 -12.1713606),622552389,0.022971020275639988,4972344419
4335883543,3,,,POINT (-77.02527550000001 -11.8888734),318900292,0.014725000778619228,4334474648
306533657,3,,,POINT (-77.1577522 -12.0676975),319641192,0.06497088139398928,317337823
1572590874,4,,,POINT (-76.9303304 -12.1947512),319736547,0.005830031135116135,1273624964
306533658,3,,,POINT (-77.1579327 -12.067419),319641192,0.06516021673697385,317337823
6338630940,4,,,POINT (-77.0393759 -12.0452547),319323286,0.0038923943254597945,537845459
6338630941,4,,,POINT (-77.040375 -12.0446761),319323286,0.0034980331539562377,537845459
7073879328,3,,,POINT (-76.8843949 -12.1555584),622552389,0.009789031487792893,4972344419
6841095464,3,,,POINT (-76.91109760000001 -12.2336348),426608672,0.003468553862124329,6295153243
2133021996,3,,,POINT (-77.0195241 -12.1835807),318966590,0.010478873231957493,859740377
7073879341,3,,,POINT (-76.88439700000001 -12.1555995),622552389,0.00980247110761909,4972344419
7073879342,3,,,POINT (-76.8850557 -12.1558761),622552389,0.010512569906997291,4972344419
306533682,4,traffic_signals,,POINT (-77.1318339 -12.0607323),319641192,0.04002809839699407,317337823
273405235,3,,,POINT (-77.0706978 -11.963078),319335083,0.010491341307964478,1305383006
2133022004,4,,,POINT (-77.0192799 -12.1847274),318966590,0.009370208727905295,859740377
273405242,3,motorway_junction,19B,POINT (-77.06881079999999 -11.9601143),319335083,0.013947905969371288,1305383006
2133022011,3,,,POINT (-77.0191683 -12.185064),318966590,0.009054047122308942,859740377
2133022016,3,,,POINT (-77.0189294 -12.1857301),318966590,0.008440961452859127,859740377
3951088967,5,,,POINT (-77.0481171 -11.8964642),318900292,0.01665637890262997,4334474648
2133022024,3,,,POINT (-77.017337 -12.1863328),318966590,0.00833620411172732,859740377
309581128,3,,,POINT (-77.1076209 -12.0554033),319641192,0.02054633073771317,317337823
306533704,3,,,POINT (-77.1325665 -12.0606033),319641192,0.040771048284449336,317337823
2133022027,4,,,POINT (-77.01869960000001 -12.1864787),318966590,0.007761587109068906,859740377
1273746764,4,,,POINT (-77.0548647 -12.0444926),441049944,0.0041231709368789865,3417654682
306533708,3,,,POINT (-77.1468406 -12.0627),319641192,0.05447453401535292,317337823
1784003351,4,,,POINT (-76.9968511 -12.1924945),4358170948,0.012293125587904456,3758368337
306533713,3,,,POINT (-77.1326787 -12.0607531),319641192,0.040847594787622135,317337823
1784003352,3,,,POINT (-76.99799760000001 -12.1879521),4358170948,0.008834362580855397,3758368337
306533716,4,,,POINT (-77.1325253 -12.0609321),319641192,0.04065915627519046,317337823
108221784,4,,,POINT (-77.03095759999999 -12.1005318),4159349590,0.0034688854420363174,138846126
309581145,4,,,POINT (-77.10876279999999 -12.0619855),319641192,0.01769553647140636,317337823
309581149,4,,,POINT (-77.1083883 -12.0644773),319641192,0.0164123463556791,317337823
2133022050,4,,,POINT (-77.01844749999999 -12.1873679),318966590,0.006976431174163375,859740377
3777385835,4,traffic_signals,,POINT (-77.0368448 -12.1140442),406037578,0.008869345225605832,138854662
3777385836,4,traffic_signals,,POINT (-77.0368479 -12.1139933),406037578,0.008894868719554845,138854662
3777385837,5,traffic_signals,,POINT (-77.03699229999999 -12.1140247),406037578,0.009010256234984831,138854662
263116140,4,,,POINT (-77.0261352 -12.089582),319331711,0.0063387323278250845,263122105
3777385840,4,,,POINT (-77.0380409 -12.1140691),406037578,0.009945028767894134,138854662
