u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,lanes,ref,bridge,access,junction,tunnel,width
1273528398,8013723178,0,372364609,True,Avenida Atocongo,primary,612.758,"LINESTRING (-76.90954120000001 -12.1962499, -76.9095141 -12.196131, -76.90947799999999 -12.1960273, -76.9094401 -12.1959425, -76.909385 -12.1958508, -76.9093185 -12.1957547, -76.9092492 -12.1956672, -76.9091959 -12.1956069, -76.9091421 -12.1955513, -76.90907559999999 -12.1955054, -76.9089931 -12.195465, -76.90889919999999 -12.1954249, -76.9087179 -12.1953498, -76.9084811 -12.1952865, -76.90794390000001 -12.1951712, -76.90772819999999 -12.1950779, -76.9075064 -12.1949604, -76.90734 -12.1948279, -76.9071952 -12.1946683, -76.90713340000001 -12.1945749, -76.90706230000001 -12.1943839, -76.9070335 -12.194261, -76.9070127 -12.1941432, -76.9069618 -12.1936771, -76.9069325 -12.1933344, -76.906921 -12.1931914, -76.9068327 -12.1921538)",35,2,,,,,,
1273462861,1273627808,0,111917563,False,Jirón Volcan Misti,tertiary,139.465,"LINESTRING (-76.99100230000001 -12.2011099, -76.9905356 -12.2007404, -76.9900516 -12.2002699)",,2,,,,,,
1273462861,1273913363,0,111917563,False,Jirón Volcan Misti,tertiary,119.197,"LINESTRING (-76.99100230000001 -12.2011099, -76.9914644 -12.2013634, -76.9919731 -12.2016078)",,2,,,,,,
1273462861,1784334591,0,532852829,False,Avenida Cordillera Occidental,residential,113.03999999999999,"LINESTRING (-76.99100230000001 -12.2011099, -76.9911525 -12.2008087, -76.9915869 -12.2002756)",,,,,,,,
1938227287,1273651304,0,169320570,False,Avenida Lurigancho,secondary,91.21799999999999,"LINESTRING (-76.9868484 -12.0192056, -76.98669270000001 -12.0193444, -76.986592 -12.0194523, -76.98651359999999 -12.0195397, -76.986451 -12.0196345, -76.9864042 -12.0197049, -76.98637100000001 -12.01978, -76.9863416 -12.0198474)",50,2,,,,,,
1938227287,1578885888,0,169320570,False,Avenida Lurigancho,secondary,384.70399999999995,"LINESTRING (-76.9868484 -12.0192056, -76.98699809999999 -12.0190881, -76.98708139999999 -12.0190223, -76.9871031 -12.0190052, -76.9872261 -12.0189089, -76.9873166 -12.018843, -76.98743949999999 -12.0187803, -76.9875404 -12.0187415, -76.9881271 -12.0185409, -76.98901360000001 -12.018213, -76.9895128 -12.0180375, -76.9897725 -12.017941, -76.98995050000001 -12.0178797, -76.99007 -12.0178386)",50,2,,,,,,
6415319128,6415319136,0,444205011,False,,unclassified,150.60500000000002,"LINESTRING (-76.8194919 -12.333688, -76.819316 -12.3340389, -76.8188809 -12.3349038)",30,1,,,no,,,
427589721,1743642573,0,1068882300,True,Avenida Paseo Japón,primary,23.901,"LINESTRING (-77.1125693 -11.996814, -77.1126695 -11.9966227)",60,3,,,,,,
847511646,847509832,0,324921984,True,Avenida Perú,primary,85.80600000000001,"LINESTRING (-77.08634360000001 -12.0309514, -77.0856416 -12.0310032, -77.0855573 -12.0310139)",60,,,,,,,
391020638,391020639,0,34111969,True,Catalino Miranda,tertiary,96.435,"LINESTRING (-77.0131319 -12.1398036, -77.013805 -12.1392387)",30,2,,,,,,
391020638,678989884,0,53787319,True,Jirón Luna Pizarro,residential,103.974,"LINESTRING (-77.0131319 -12.1398036, -77.01367620000001 -12.1404143, -77.0137625 -12.1405066)",40,2,,,,,,
6415319136,6415319128,0,444205011,False,,unclassified,150.60500000000002,"LINESTRING (-76.8188809 -12.3349038, -76.819316 -12.3340389, -76.8194919 -12.333688)",30,1,,,no,,,
6415319136,6737157735,0,"[342653880, 436956371, 466166518]",True,Carretera Panamericana Sur,motorway,607.6569999999999,"LINESTRING (-76.8188809 -12.3349038, -76.8193277 -12.3342319, -76.8197428 -12.3336078, -76.8198506 -12.3334397, -76.82058929999999 -12.3323384, -76.82193289999999 -12.3303241)",100,2,PE-1S,yes,,,,
4785274979,1754249776,0,111942949,True,Avenida Los Cóndores,tertiary,31.051,"LINESTRING (-76.870014 -12.1021417, -76.8700903 -12.1024108)",,2,,,,,,
4785274985,1273528397,0,741784607,False,Avenida La Unión,tertiary,152.834,"LINESTRING (-76.8715806 -12.0995186, -76.87292840000001 -12.0991282)",,2,,,,,,
4785274985,6944085868,0,741784607,False,Avenida La Unión,tertiary,99.032,"LINESTRING (-76.8715806 -12.0995186, -76.8712235 -12.0996827, -76.8708539 -12.0998363, -76.8707426 -12.0998633)",,2,,,,,,
1746075767,5049819858,0,162786315,True,Avenida Las Gaviotas,tertiary,101.723,"LINESTRING (-76.9453322 -12.0252412, -76.9462573 -12.0253762)",,2,,,,,,
1951268989,1844389424,0,"[324583992, 549550042, 549550043]",True,Avenida Próceres de la Independencia,primary,398.091,"LINESTRING (-77.0108256 -11.9937099, -77.0108019 -11.9937886, -77.0101119 -11.996078, -77.01008469999999 -11.9961693, -77.0100625 -11.996243, -77.009897 -11.9967912, -77.00981470000001 -11.9970638, -77.00980269999999 -11.9971038, -77.0097906 -11.9971439)","['30', '50']","['3', '2']",,,,,,
1273692286,1826853904,0,230525759,False,Avenida El Triunfo,secondary,35.032,"LINESTRING (-76.9729071 -12.1936219, -76.97288349999999 -12.1933077)",40,2,,,,,,
4356276356,1746796572,0,330146444,True,Avenida Los Eucaliptos,secondary,30.113,"LINESTRING (-76.9777239 -12.0465183, -76.9774705 -12.0464091)",,2,,,,,,
4356276356,1273880351,0,428257597,False,Enrique Quintana,residential,9.728,"LINESTRING (-76.9777239 -12.0465183, -76.9777636 -12.0464399)",,,,,,,,
4785275019,6944085831,0,316476721,False,Avenida Manchay,tertiary,9.289,"LINESTRING (-76.8733982 -12.1057199, -76.8734238 -12.1056402)",,,,,,,,
3335028877,3611960953,0,333666618,True,Avenida Simon Bolivar,secondary,6.983,"LINESTRING (-77.0538719 -12.0751143, -77.0538083 -12.075123)",50,,,,,,,
3501097102,842491072,0,4828411,True,Avenida Industrial,secondary,191.457,"LINESTRING (-77.0591577 -11.9924677, -77.0591689 -11.9923984, -77.059421 -11.9908383, -77.0594325 -11.990767)",50,,,,,,,
4785275024,6950175914,0,111942949,True,Avenida Los Cóndores,tertiary,135.358,"LINESTRING (-76.87226769999999 -12.1049003, -76.8733478 -12.1055057)",,2,,,,,,
1273626773,1273689554,0,338229265,False,Avenida Edilberto Ramos,tertiary,51.191,"LINESTRING (-76.96684070000001 -12.1391048, -76.9670437 -12.1395202)",40,2,,,,,,
2846425237,442944347,0,37762377,False,Calle 26,residential,66.27199999999999,"LINESTRING (-77.1087844 -12.0601805, -77.10856029999999 -12.0601395, -77.1081849 -12.0600733)",,,,,,,,
2846425237,442944314,0,37762377,False,Calle 26,residential,249.74699999999999,"LINESTRING (-77.1087844 -12.0601805, -77.1091697 -12.0602527, -77.10971720000001 -12.0603561, -77.1108715 -12.0605744, -77.11104 -12.0605453)",,,,,,,,
3738206362,3738206393,0,370097526,False,Calle Las Poncianas,residential,134.602,"LINESTRING (-76.9169218 -11.9766777, -76.9168152 -11.9778837)",,,,,,,,
3738206362,3738206223,0,370097526,False,Calle Las Poncianas,residential,130.605,"LINESTRING (-76.9169218 -11.9766777, -76.9170251 -11.9755075)",,,,,,,,
1746075803,9156967292,0,162786315,True,Avenida Las Gaviotas,tertiary,10.699,"LINESTRING (-76.9476275 -12.0255973, -76.9477248 -12.0256115)",,2,,,,,,
1369043001,1369043005,0,413980353,True,Huari,tertiary,118.014,"LINESTRING (-77.01403380000001 -12.0506524, -77.0140966 -12.0509283, -77.0141373 -12.0511075, -77.014199 -12.0515483, -77.0141939 -12.0516984)",30,2,,,,,,
133922977,133922980,0,14073918,False,Avenida 28 de Julio,secondary,71.452,"LINESTRING (-77.0323439 -12.1257412, -77.03173769999999 -12.1259895)",45,3,,,,,,
133922977,4081333635,0,14073918,False,Avenida 28 de Julio,secondary,90.628,"LINESTRING (-77.0323439 -12.1257412, -77.03276820000001 -12.1255692, -77.03302890000001 -12.1254638, -77.0331133 -12.1254275)",45,3,,,,,,
627835042,627837028,0,321074653,True,Jirón Atahualpa,residential,103.404,"LINESTRING (-77.1215736 -12.0716412, -77.1223301 -12.0712248, -77.12240250000001 -12.0711854)",,,,,,,,
627835043,309581246,0,111882158,False,Calle Tacna,residential,135.906,"LINESTRING (-77.1223047 -12.0729262, -77.12289389999999 -12.0740041)",,,,,,,,
