osmid,street_count,highway,ref,geometry,bank_osmid,bank_dist,bank_nearestnode
4226751456,3,,,POINT (-77.0278603 -12.1981971),512156980,0.009592890264262287,4226751425
1273535456,4,,,POINT (-77.1050032 -11.838683),4347967864,0.036556931672253164,4346787536
4226751459,3,,,POINT (-77.02775699999999 -12.1984134),512156980,0.009627493978813012,4226751425
824253414,4,,,POINT (-76.9950599 -11.9739851),4351779142,0.002845424509631645,824299302
817699820,4,,,POINT (-76.9983939 -11.9857742),437497390,0.009257462407229059,817764549
824253421,4,,,POINT (-76.9965461 -11.9720291),4351779142,0.0010233733434089818,824299302
3757448177,4,,,POINT (-76.9448964 -12.2280364),436951140,0.016103087647620317,4149728997
3757448178,4,,,POINT (-76.9450351 -12.2281155),436951140,0.016244379038736705,4149728997
4374928369,3,,,POINT (-76.9044332 -12.0209181),439816321,0.007044724547785111,5497637374
3757448182,4,,,POINT (-76.94644959999999 -12.2256808),436951140,0.015166905819898482,4149728997
263396343,4,traffic_signals,,POINT (-77.0512858 -12.0721788),4341884769,0.0014164698796689664,263389394
1481055224,5,,,POINT (-77.00236839999999 -12.0628594),4862900922,0.007555041565069034,526021471
3757448183,4,,,POINT (-76.9478581 -12.223284),436951140,0.014580021270458071,4149728997
1481055223,3,,,POINT (-76.9902266 -12.0643746),438440287,0.006273904407322506,1042083440
817699831,3,,,POINT (-76.99693139999999 -11.9879128),437497390,0.010639658751834195,817764549
3757448190,4,,,POINT (-76.9493725 -12.2207736),3748015510,0.013855912965225129,4149688948
3757448191,4,,,POINT (-76.9494601 -12.2206138),3748015510,0.013769686143842587,4149688948
1273732096,4,,,POINT (-77.17087480000001 -11.7720415),4347967864,0.05727590536570234,4346787536
824253438,3,,,POINT (-76.9941504 -11.9735722),4351779142,0.003496597045708085,824299302
1746075852,3,,,POINT (-76.9529812 -12.0264471),4949862124,0.015978174135051117,1577492163
1775377412,4,,,POINT (-76.9003263 -12.0393078),439816321,0.023223615846606226,5497637374
817699845,4,,,POINT (-76.9960114 -11.9835996),4444225789,0.010073415473410362,1317570875
3757448199,4,traffic_signals,,POINT (-76.9523834 -12.2157944),3748015510,0.012441821203104437,4149688948
3757448204,4,,,POINT (-76.9539949 -12.2130992),3748015510,0.012746533336555484,4149688948
5413182485,3,crossing,,POINT (-76.9778803 -12.1311243),5175518123,0.004285760596449519,316069674
824253461,4,,,POINT (-76.99664869999999 -11.9721189),4351779142,0.0008928051299220027,824299302
4502592543,4,,,POINT (-76.9667875 -12.2035924),6416609277,0.006324031633374764,1674228150
2469993506,3,,,POINT (-77.06210710000001 -12.008499),3604565389,0.0015636860202821506,2469993750
4502592547,3,,,POINT (-76.96674470000001 -12.2033678),6416609277,0.006104954121039664,1674228150
6302571555,3,,,POINT (-76.9620953 -12.0602921),439101590,0.004056594725603289,5740278559
824253479,4,,,POINT (-76.9965421 -11.9722191),4351779142,0.000960641972853516,824299302
1804901417,3,,,POINT (-76.9969329 -12.0106731),437360394,0.005998296044500225,493839484
1804901437,3,,,POINT (-76.9969064 -12.0109619),437360394,0.0059163415605229365,493839484
273423424,3,,,POINT (-77.06704689999999 -11.9713957),4422580277,0.006382057962758135,549107324
1804901444,4,,,POINT (-76.99640119999999 -12.0122477),437360394,0.006102088289605121,493839484
1273830470,4,,,POINT (-76.96196209999999 -12.1345755),5010414115,0.013261633338320708,1795359953
471047252,3,,,POINT (-76.9727738 -12.0581266),563421050,0.003346618081009813,5390577576
6277569620,3,,,POINT (-77.08023710000001 -11.8632326),435323606,0.0047310049138191215,2460656224
1804901478,3,,,POINT (-76.9961758 -12.012687),437360394,0.006287545744127124,493839484
273423474,3,,,POINT (-77.0670717 -11.9712345),4422580277,0.006220800462962417,549107324
