osmid,geometry,NN,NN_dist,bank_distance,bank_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
5600926292,POINT (-71.9116822 -13.5424971),4454367836,0.00084422973769,862.92,0.0066385469291099,995.996,0.0059910335543998,515.3399999999999,0.0034196805378695,2686.697,0.018310708621961,2686.697,0.0175011050608203,76.618,0.0011476449712377,1415.696,0.0088421182432179,SAN_SEBASTIAN
5600926295,POINT (-71.9173981 -13.5432236),9018986580,0.0014453818941721,2384.808,0.0099126969417996,1587.1459999999995,0.0109051811144884,1106.4899999999998,0.0068134304517649,3277.846999999999,0.0140623632281512,3277.846999999999,0.0133272929001822,667.768,0.0061842686916094,2006.846,0.0138836286343239,SAN_SEBASTIAN
5600926298,POINT (-71.9167828 -13.544308),9018986580,0.0025296854053414,2384.808,0.0099126969417996,1587.1459999999995,0.0109051811144884,1106.4899999999998,0.0068134304517649,3277.846999999999,0.0140623632281512,3277.846999999999,0.0133272929001822,667.768,0.0061842686916094,2006.846,0.0138836286343239,SAN_SEBASTIAN
5600926303,POINT (-71.9160256 -13.5459897),3269201831,0.0042521570290847,1514.0289999999998,0.0094710775997191,1405.465,0.0093368943284085,924.809,0.0054330573790472,3096.166,0.0152986613333526,3096.166,0.0145321399004143,486.087,0.0045270448606163,1825.165,0.0123022657003618,SAN_SEBASTIAN
5600926304,POINT (-71.9163322 -13.5459534),9018986580,0.0042272818086798,2384.808,0.0099126969417996,1587.1459999999995,0.0109051811144884,1106.4899999999998,0.0068134304517649,3277.846999999999,0.0140623632281512,3277.846999999999,0.0133272929001822,667.768,0.0061842686916094,2006.846,0.0138836286343239,SAN_SEBASTIAN
5600926305,POINT (-71.9164403 -13.5443689),9018986580,0.0026580994808299,2384.808,0.0099126969417996,1587.1459999999995,0.0109051811144884,1106.4899999999998,0.0068134304517649,3277.846999999999,0.0140623632281512,3277.846999999999,0.0133272929001822,667.768,0.0061842686916094,2006.846,0.0138836286343239,SAN_SEBASTIAN
5600926306,POINT (-71.9167306 -13.5445137),9018986580,0.0027407312454888,2384.808,0.0099126969417996,1587.1459999999995,0.0109051811144884,1106.4899999999998,0.0068134304517649,3277.846999999999,0.0140623632281512,3277.846999999999,0.0133272929001822,667.768,0.0061842686916094,2006.846,0.0138836286343239,SAN_SEBASTIAN
5600926307,POINT (-71.9164318 -13.5444931),9018986580,0.0027803262614302,2384.808,0.0099126969417996,1587.1459999999995,0.0109051811144884,1106.4899999999998,0.0068134304517649,3277.846999999999,0.0140623632281512,3277.846999999999,0.0133272929001822,667.768,0.0061842686916094,2006.846,0.0138836286343239,SAN_SEBASTIAN
5600926308,POINT (-71.9153077 -13.5456204),3269201831,0.0038468375089157,1514.0289999999998,0.0094710775997191,1405.465,0.0093368943284085,924.809,0.0054330573790472,3096.166,0.0152986613333526,3096.166,0.0145321399004143,486.087,0.0045270448606163,1825.165,0.0123022657003618,SAN_SEBASTIAN
5600926309,POINT (-71.9158041 -13.5453034),3269201831,0.0035445516077495,1514.0289999999998,0.0094710775997191,1405.465,0.0093368943284085,924.809,0.0054330573790472,3096.166,0.0152986613333526,3096.166,0.0145321399004143,486.087,0.0045270448606163,1825.165,0.0123022657003618,SAN_SEBASTIAN
5600926312,POINT (-71.9154862 -13.5447363),3269201831,0.0029601884331913,1514.0289999999998,0.0094710775997191,1405.465,0.0093368943284085,924.809,0.0054330573790472,3096.166,0.0152986613333526,3096.166,0.0145321399004143,486.087,0.0045270448606163,1825.165,0.0123022657003618,SAN_SEBASTIAN
5600926316,POINT (-71.9179332 -13.5472764),5600926320,0.0052908113328714,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926318,POINT (-71.9200958 -13.5422422),5600926318,0.0,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926319,POINT (-71.9201018 -13.5424987),5600926318,0.0002565701658405,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926320,POINT (-71.9195322 -13.542233),5600926320,0.0,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926421,POINT (-71.9195214 -13.5425228),5600926320,0.0002900011724127,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926422,POINT (-71.920661 -13.5426501),5600926318,0.000697017539231,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926423,POINT (-71.9203248 -13.5428256),5600926318,0.000626734840265,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926424,POINT (-71.9199505 -13.5436904),5600926318,0.0014554708276005,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926426,POINT (-71.9194577 -13.5437443),5600926320,0.001513135136068,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926427,POINT (-71.9201868 -13.5436651),5600926318,0.0014258069329325,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926428,POINT (-71.920426 -13.5436343),5600926318,0.0014307251483097,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926429,POINT (-71.9208535 -13.5446422),5600926318,0.0025167656406609,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926430,POINT (-71.9197133 -13.5447456),5600926320,0.0025191180936991,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926431,POINT (-71.9200043 -13.5456576),5600926318,0.0034166254418647,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926432,POINT (-71.9210979 -13.5452447),5600926318,0.0031653136748213,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926433,POINT (-71.9205931 -13.5452983),5600926318,0.0030962969011397,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926434,POINT (-71.9199476 -13.5453342),5600926318,0.003095549586098,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926435,POINT (-71.9205488 -13.5449678),5600926318,0.0027629883025458,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926436,POINT (-71.920067 -13.5450082),5600926318,0.0027661499308599,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926437,POINT (-71.9198131 -13.5450486),5600926318,0.0028206028167741,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926438,POINT (-71.9193459 -13.546031),5600926320,0.0038025664609578,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926439,POINT (-71.9188863 -13.546055),5600926320,0.0038761928241538,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926440,POINT (-71.9209497 -13.5455965),5600926318,0.0034612820890518,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926441,POINT (-71.9209796 -13.5465134),5600926318,0.0043616799378213,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926442,POINT (-71.9205911 -13.5471466),5600926318,0.0049293469597897,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926443,POINT (-71.9201811 -13.5464533),5600926318,0.0042119638293783,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926444,POINT (-71.9201804 -13.5467054),5600926318,0.0044640017249102,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926445,POINT (-71.9202237 -13.5470098),5600926318,0.0047693152726561,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926446,POINT (-71.9192886 -13.5467199),5600926320,0.0044935078246288,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926447,POINT (-71.9193035 -13.5470615),5600926320,0.0048339131084461,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926448,POINT (-71.919477 -13.5467159),5600926320,0.0044832398385553,,0.0076979438066153,,0.0133112622515681,,0.0091278700547904,,0.0127895622023725,,0.0121312281627025,,0.0085407856512278,,0.0162935778788739,SAN_SEBASTIAN
5600926449,POINT (-71.919857 -13.5464147),5600926318,0.0041793278993154,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926450,POINT (-71.9197565 -13.5467141),5600926318,0.0044847535160807,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926451,POINT (-71.9197848 -13.5469582),5600926318,0.004726243434272,,0.0071672939865703,,0.0138497909908357,,0.0093405256599716,,0.0124652403118208,,0.0118276105211615,,0.0089104613359849,,0.0168329898871513,SAN_SEBASTIAN
5600926503,POINT (-71.9227681 -13.5527023),6223484233,0.0105196242922428,,0.0216449804177083,,0.0209476960188939,,0.0197462591005126,,0.0235039056351397,,0.0268656259398504,0.0,0.0034298918014988,,0.0227928335266054,SAN_SEBASTIAN
5600926623,POINT (-71.9227733 -13.5507111),3269164677,0.0087561718233484,3125.581,0.003613691914086,2327.9190000000003,0.0175381838355619,3397.5550000000003,0.0097486313248828,4018.62,0.0105265166318991,4018.62,0.0100869835879253,3382.523,0.005543359025895,2747.6190000000006,0.020518194462612,SAN_SEBASTIAN
5600926629,POINT (-71.9233605 -13.5503997),5600975318,0.0083673966381423,3175.434,0.003305408278861,2377.7720000000004,0.0179968912162583,3447.4080000000004,0.0099766259793043,4068.473,0.0104547879323519,4068.473,0.0100478561152617,3432.376,0.0051267161702217,2797.4720000000007,0.0209765430407897,SAN_SEBASTIAN
5600926639,POINT (-71.9243868 -13.550554),4616381601,0.0083731430687641,3286.2520000000004,0.0027813045320484,2488.59,0.0190177717732563,3558.226,0.010543288082985,4179.291,0.0103733238514899,4179.291,0.0100425701586192,3543.1940000000004,0.0042364136271199,2908.2900000000004,0.0219966854246452,SAN_SEBASTIAN
5600926644,POINT (-71.9237816 -13.5488433),9018986577,0.006763273494397,3232.584,0.0030079030070723,2434.922,0.018523761309733,3504.558,0.0102646489518322,4125.6230000000005,0.0104058516698029,4125.6230000000005,0.0100376801902909,3489.526,0.0046634948461405,2854.6220000000003,0.0215030766913734,SAN_SEBASTIAN
