osmid,street_count,highway,ref,geometry,school_osmid,school_dist
263389399,4,,,POINT (-77.04623170000001 -12.0680735),5578473418,0.0012207444490890465
263389400,4,,,POINT (-77.0454082 -12.0671015),2068560820,0.0011192897256736096
263389401,4,,,POINT (-77.0445972 -12.0661178),2068560819,0.0005487543803887546
3740696790,3,,,POINT (-76.8759036 -12.2108002),445599681,0.001054123919024222
3737747670,4,,,POINT (-77.0697699 -11.9303557),5574540084,0.002203321696894315
1273921750,4,,,POINT (-77.1206373 -11.9968694),5560392761,0.008962609953014282
3737747678,3,,,POINT (-77.0678618 -11.9379018),5574658409,0.0005459131890725276
4948000991,4,,,POINT (-76.9791884 -12.1727139),5597235347,0.001515383611500804
4948000992,3,,,POINT (-76.9789751 -12.1726442),5597235347,0.0016856829624818507
1814003938,4,,,POINT (-77.0296165 -11.8708335),5574157527,0.001587669527948704
1746075873,4,,,POINT (-76.9500025 -12.0268801),5596916873,0.0014718359827145245
3737747679,3,,,POINT (-77.06783660000001 -11.9380281),5574658409,0.000631580382853905
2173173989,3,,,POINT (-76.9634095 -12.0319036),517476264,0.0009195121404133433
3737747686,3,,,POINT (-77.06644009999999 -11.9451661),435857548,0.002035632890525771
1746075880,3,,,POINT (-76.95328910000001 -12.0270828),517487985,0.0010180689017621962
3737747680,4,,,POINT (-77.0671746 -11.9404774),5574658403,0.0018911798883264512
4346249450,3,,,POINT (-77.0078773 -12.1190673),5597286247,0.0032273194837191704
4574281964,3,,,POINT (-76.8758867 -12.0414665),5596890856,0.015575415241019281
1273692402,4,,,POINT (-76.95428269999999 -12.1309404),442105204,0.0034052418425450687
2352414966,3,,,POINT (-77.1068037 -11.8247537),5567486921,0.0036720299413309436
3725525239,4,,,POINT (-77.0791124 -12.0600217),420680096,0.001266248129742077
1746075899,3,,,POINT (-76.9475005 -12.0280296),7472762022,0.0012902716496918203
3725525244,4,,,POINT (-77.0790453 -12.0603403),420680096,0.001532799713188939
3725525245,4,,,POINT (-77.0792452 -12.0603836),420680096,0.0016495180678205983
3737747708,3,,,POINT (-77.0663054 -11.9458672),5574699851,0.0015484654661948266
2352414976,4,,,POINT (-77.108906 -11.8243649),5567441854,0.002763626852522383
1273954563,4,,,POINT (-76.9460337 -12.1644307),5597181435,0.0004529659810645129
1746075907,4,,,POINT (-76.9496419 -12.0283849),5597037563,0.0022531357926242604
2352414979,3,,,POINT (-77.11004010000001 -11.8242144),5567441854,0.0021554270574518806
3725525255,3,,,POINT (-77.1331611 -12.0671984),436257932,0.025775425681732623
2352414983,3,,,POINT (-77.1041044 -11.8211677),5567441852,0.0011300412603080776
391020814,3,,,POINT (-77.0177607 -12.1372146),5595075567,0.002077572210530859
9168814354,3,,,POINT (-76.99907690000001 -12.1720956),5597238434,0.0013258542944085915
133955862,3,,,POINT (-77.1323756 -12.0562244),5560325045,0.02924135166592531
3758457112,3,,,POINT (-76.96103720000001 -12.1924599),5597243312,0.001335226909552259
3758457113,4,,,POINT (-76.962273 -12.1903878),5597245725,0.0007621324360004103
3758457114,4,,,POINT (-76.9630999 -12.1889679),5597245725,0.001978178204820928
6032982299,3,,,POINT (-77.0726837 -11.9272954),5574541459,0.0006104917526112647
1814003996,4,,,POINT (-77.0288585 -11.8724638),5574157527,0.002155006273769485
3758457117,3,,,POINT (-76.9641159 -12.1874039),5597241466,0.001903220000421567
133955870,3,,,POINT (-77.13602710000001 -12.0540241),5560325045,0.0333798180655706
4284612890,3,,,POINT (-76.9184047 -12.0853975),5596889335,0.007289764155991291
563839256,3,,,POINT (-77.03406579999999 -12.0519062),5593356736,0.002390486812345239
1814004002,3,,,POINT (-77.0288182 -11.872605),5574157527,0.0022418829786508246
4343202095,3,,,POINT (-77.0530711 -12.1085051),385021673,0.0014743058968687817
133955891,3,,,POINT (-77.13451739999999 -12.0517003),5560325045,0.03277570094139421
821756215,3,,,POINT (-77.00348099999999 -12.0176435),186006230,0.0012192947645152004
4343202104,3,,,POINT (-77.05288299999999 -12.1086943),385021673,0.0017376615332970332
1273725240,4,,,POINT (-76.9242078 -12.1983861),5597077428,0.0013728914013828074
133955898,3,,,POINT (-77.1341182 -12.0519892),5560325045,0.03229598724068277
3738206527,4,,,POINT (-76.9160401 -11.9799452),513983869,0.001983382124513298
4341662016,3,,,POINT (-77.12363310000001 -12.0620638),5560325045,0.019475549436673907
133955906,3,,,POINT (-77.1337717 -12.0513532),5560325045,0.03222823072556072
1675395395,3,,,POINT (-76.9404534 -12.2356435),5593383529,0.001148060891232597
1745486146,4,,,POINT (-76.9656009 -12.0492647),5597201674,0.000244181182726208
4343202119,3,,,POINT (-77.047527 -12.1056778),436442089,0.0007542018812655234
133955913,3,,,POINT (-77.1342803 -12.0512046),5560325045,0.03275355399006589
4343202121,3,,,POINT (-77.0479067 -12.1040638),284935771,0.0008399890734736605
4348805454,3,,,POINT (-76.8524326 -12.2949185),4813996721,0.000762951302506444
133955919,3,,,POINT (-77.1345255 -12.0514915),5560325045,0.03286453615023155
427589967,3,,,POINT (-77.1096728 -12.0030042),5560356561,0.004870476038328729
427589968,4,,,POINT (-77.1094444 -12.0028884),5560356561,0.004629917943112667
821756241,3,,,POINT (-77.0076734 -12.018684),1966842481,0.0007264217094780598
3738206546,3,,,POINT (-76.9142739 -11.9810054),513983869,0.0006538378874478775
3267592535,3,,,POINT (-76.91844759999999 -12.0440065),5319290471,0.0010220027592967396
3738206553,3,,,POINT (-76.9147485 -11.9811795),513983869,0.0002730152197098432
3738206564,4,,,POINT (-76.9154707 -11.9814404),513983869,0.0007198252506931331
1796866431,3,,,POINT (-76.97688170000001 -12.1518438),5597275163,0.0013630177731770085
3738206599,3,,,POINT (-76.9277415 -11.9843536),513147895,0.0018769845314007942
6047105415,3,,,POINT (-77.0604484 -11.9895711),5576816411,0.0012990570618669586
6047105417,3,,,POINT (-77.0616047 -11.9895927),5576816411,0.0024555557985922356
1745486222,3,,,POINT (-76.9635167 -12.0485221),5597301074,8.501911549861376e-05
3738206607,3,,,POINT (-76.9244455 -11.9852671),513147895,0.005280229193385199
1745486227,4,,,POINT (-76.966224 -12.051379),562790826,0.0019312450142345864
3738206615,3,,,POINT (-76.9253945 -11.9854523),513147895,0.0044684224821085255
412189084,4,,,POINT (-77.01633150000001 -12.0740954),5594726944,0.002592566311594361
6129287592,3,,,POINT (-76.97341780000001 -12.0864539),437504895,0.0033810831405957746
4336189865,3,,,POINT (-77.0340587 -11.8902576),5574337473,0.0015788894229807379
4336189866,3,,,POINT (-77.0339118 -11.889975),5574337473,0.0015324177498281864
842695087,3,,,POINT (-77.0611224 -11.9859231),5576816405,0.00023531971867920895
412189107,3,,,POINT (-77.02134 -12.0777576),447103579,0.0008562799323394386
842695095,4,,,POINT (-77.0583393 -11.9854888),5576323767,0.0008531406566286212
842695098,4,,,POINT (-77.0579388 -11.9854139),5576323767,0.0011997620097261594
5589402044,3,,,POINT (-77.12695890000001 -11.8183003),5567439115,0.004820828340651032
412189116,4,,,POINT (-77.0188533 -12.076144),5594726946,0.0013717530754464604
5589402046,3,,,POINT (-77.1236365 -11.8239853),5567441855,0.0008926737421911337
631734720,4,traffic_signals,,POINT (-77.142746 -12.0631727),436257932,0.036171412895461975
1993703873,3,,,POINT (-76.89292690000001 -12.2740705),659458362,0.014465271187790358
842695108,4,,,POINT (-77.0579647 -11.9853075),5576323767,0.001150248307970517
5589402054,3,,,POINT (-77.1034781 -11.839888),468921223,0.0007373535065440705
1814004171,4,,,POINT (-77.032172 -11.8762081),5574157526,0.0017810506169093508
387416528,3,,,POINT (-77.0022115 -12.1275151),33750036,0.0006386096440815732
560562642,4,,,POINT (-77.09920049999999 -12.0406531),426065710,0.007472878787469013
560562643,4,,,POINT (-77.09900399999999 -12.040634),426065710,0.0073215106418185035
3737747935,4,traffic_signals,,POINT (-77.08371320000001 -11.962213),5560474655,0.002282073114516522
3737747937,4,traffic_signals,,POINT (-77.0836941 -11.9623463),5560474661,0.0023154126759553826
