osmid,y,x,highway,street_count,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
4375725241,-11.9851238,-77.0792254,,3,,POINT (-77.0792254 -11.9851238),5054741474,7782384927,4830.808,465071802,1842073829,5665.665,446209514,847686868,4017.78,795773506,675163961,668.3409999999999,4683999092,1385727694,4160.354,5565143625,675127456,360.3449999999999,68872592,827065984,7799.162999999999
4375734563,-11.987788,-77.080762,,4,,POINT (-77.08076199999999 -11.987788),5054741474,7782384927,4662.563,465071802,1842073829,5325.5109999999995,446209514,847686868,3677.626,795773506,675163961,328.187,4683999092,1385727694,3992.1090000000004,5565181446,4375734563,0.0,68872592,827065984,7459.008999999998
4375737628,-11.9889142,-77.0813557,,3,,POINT (-77.0813557 -11.9889142),4363097847,4363097855,2853.4300000000003,465071802,1842073829,5184.589,446209514,847686868,3536.704,795773506,675163961,418.474,4683999092,1385727694,4170.982000000001,5565181448,675163971,309.275,68872592,827065984,7318.086999999999
4375737629,-11.9889816,-77.081248,,3,,POINT (-77.081248 -11.9889816),4363097847,4363097855,2849.3920000000003,465071802,1842073829,5180.5509999999995,446209514,847686868,3532.666,795773506,675163961,428.34,4683999092,1385727694,4180.848000000001,5565181448,675163971,319.14099999999996,68872592,827065984,7314.048999999998
4375748037,-11.9892925,-77.0815687,,3,,POINT (-77.08156870000001 -11.9892925),4363097847,4363097855,2805.4070000000006,465071802,1842073829,5136.566,446209514,847686868,3488.6810000000005,795773506,675163961,370.45099999999996,4683999092,1385727694,4122.959000000001,5565181448,675163971,261.25199999999995,68872592,827065984,7270.0639999999985
4375748038,-11.9893585,-77.0814634,,3,,POINT (-77.0814634 -11.9893585),4363097847,4363097855,2801.3140000000003,465071802,1842073829,5132.473,446209514,847686868,3484.588,795773506,675163961,380.262,4683999092,1385727694,4132.770000000001,5565181448,675163971,271.063,68872592,827065984,7265.970999999999
4375757649,-11.9931594,-77.0834701,,3,,POINT (-77.0834701 -11.9931594),4363097847,4363097855,2310.395,465071802,1842073829,4641.554,446209514,847686868,2993.6690000000003,795773506,675163961,1450.624,319639890,847669883,3448.868000000001,5565173272,1359114628,307.62299999999993,68872592,827065984,6775.051999999999
4375757650,-11.9931394,-77.0835611,,3,,POINT (-77.0835611 -11.9931394),4363097847,4363097855,2318.5060000000003,465071802,1842073829,4649.665,446209514,847686868,3001.78,795773506,675163961,1440.479,319639890,847669883,3456.979000000001,5565173272,1359114628,297.47799999999995,68872592,827065984,6783.162999999999
4375757668,-11.9950974,-77.0842915,,3,,POINT (-77.08429150000001 -11.9950974),4363097847,4363097855,2076.952,465071802,1842073829,4408.111,446209514,847686868,2760.226,795823910,2980070197,746.4869999999999,319639890,847669883,3215.425,5565191413,1359115774,321.528,68872592,827065984,6541.608999999999
4375757669,-11.9950604,-77.0843775,,3,,POINT (-77.0843775 -11.9950604),4363097847,4363097855,2087.1710000000003,465071802,1842073829,4418.33,446209514,847686868,2770.445,795823910,2980070197,736.2679999999998,319639890,847669883,3225.6440000000007,5565191413,1359115774,319.082,68872592,827065984,6551.827999999999
4375775116,-11.997585,-77.0847448,,3,,POINT (-77.0847448 -11.997585),4363097847,4363097855,1792.7009999999998,465071802,1842073829,4123.860000000001,446209514,847686868,2475.9750000000004,795926841,1359116004,802.94,319639890,847669883,2931.1740000000004,5565191413,1359115774,440.52200000000005,68872592,827065984,6257.357999999999
4375775117,-11.9975627,-77.0846632,,3,,POINT (-77.08466319999999 -11.9975627),4363097847,4363097855,1791.57,465071802,1842073829,4122.729,446209514,847686868,2474.8440000000005,795926841,1359116004,812.155,319639890,847669883,2930.0430000000006,5565191413,1359115774,449.7370000000001,68872592,827065984,6256.226999999999
4375806208,-11.9981893,-77.0846044,,3,,POINT (-77.0846044 -11.9981893),4363097847,4363097855,1723.7919999999997,465071802,1842073829,4054.951,446209514,847686868,2407.0660000000003,795926841,1359116004,734.031,319639890,847669883,2862.265,5565196284,1359116148,160.432,68872592,827065984,6188.448999999999
4375806209,-11.9981702,-77.0845189,,3,,POINT (-77.08451890000001 -11.9981702),4363097847,4363097855,1722.2199999999996,465071802,1842073829,4053.379,446209514,847686868,2405.494,795926841,1359116004,743.5699999999999,319639890,847669883,2860.6929999999998,5565196284,1359116148,169.971,68872592,827065984,6186.876999999999
4375812187,-12.0074979,-77.0825623,,3,,POINT (-77.08256230000001 -12.0074979),4363097847,4363097855,639.979,465071802,1842073829,3019.474,446209514,847686868,1371.5889999999997,795934148,1359116650,827.74,319639890,847669883,1778.4519999999998,523519868,844536333,132.21,68872592,827065984,5152.971999999998
4375814131,-12.0026783,-77.0835625,,3,,POINT (-77.0835625 -12.0026783),4363097847,4363097855,1211.926,465071802,1842073829,3543.085,446209514,847686868,1895.2000000000003,795933273,1359116512,87.939,319639890,847669883,2350.3990000000003,439602865,3418182144,195.259,68872592,827065984,5676.582999999999
4375814132,-12.0027779,-77.0835411,,3,,POINT (-77.08354110000001 -12.0027779),4363097847,4363097855,1200.609,465071802,1842073829,3531.768,446209514,847686868,1883.8830000000003,795933273,1359116512,76.622,319639890,847669883,2339.0820000000003,439602865,3418182144,206.576,68872592,827065984,5665.265999999999
4375826304,-12.0138925,-77.0792798,,3,,POINT (-77.07927979999999 -12.0138925),4363097847,4363097855,973.174,465071802,1842073829,2196.8410000000003,446209514,847686868,548.956,776396360,844536200,850.17,319639890,847669883,1262.049,5565242006,4261132465,156.26399999999998,68872592,827065984,4330.338999999999
4375859276,-12.0148732,-77.07892,,3,,POINT (-77.07892 -12.0148732),4363097847,4363097855,1051.1119999999999,465071802,1842073829,2086.0880000000006,446209514,847686868,421.15700000000004,795986056,846528963,1174.616,319639890,847669883,1263.4619999999998,5565241998,4261132470,150.017,68872592,827065984,4219.585999999999
4375859277,-12.015142,-77.0786209,,3,,POINT (-77.0786209 -12.015142),4363097847,4363097855,1091.1029999999998,465071802,1842073829,2040.5100000000004,446209514,847686868,392.625,795986056,846528963,1129.038,319639890,847669883,1234.9299999999998,5597316541,1442029849,987.618,68872592,827065984,4174.008
4375920176,-11.9944235,-77.0840948,,3,,POINT (-77.0840948 -11.9944235),4363097847,4363097855,2164.129,465071802,1842073829,4495.2880000000005,446209514,847686868,2847.4030000000002,795823910,2980070197,813.4749999999999,319639890,847669883,3302.6020000000003,5565173272,1359114628,511.2639999999999,68872592,827065984,6628.785999999999
4375920177,-11.9944632,-77.0840095,,3,,POINT (-77.08400949999999 -11.9944632),4363097847,4363097855,2153.8540000000003,465071802,1842073829,4485.013,446209514,847686868,2837.128,795823910,2980070197,823.3889999999999,319639890,847669883,3292.3270000000007,5565173272,1359114628,521.178,68872592,827065984,6618.510999999999
4388633623,-12.0352137,-77.0490929,,3,,POINT (-77.04909290000001 -12.0352137),4422152646,827029828,,465071802,1842073829,,307664865,3128682676,,621019662,827103305,,307350814,4617934675,,4133987790,4388633623,0.0,68872592,827065984,
4394242840,-12.0119473,-77.070753,,3,,POINT (-77.070753 -12.0119473),4363097847,4363097855,2758.889000000001,465071802,1842073829,2664.9670000000006,446209514,847686868,1567.0410000000004,795987483,2023009515,518.877,319639890,847669883,2412.6820000000002,5577120290,2023009445,315.64799999999997,68872592,827065984,4049.928000000001
4420566471,-12.03036,-77.0612165,,1,,POINT (-77.0612165 -12.03036),1863374495,2737460737,507.7970000000001,465071802,1842073829,1449.009,7657266220,846730645,605.6530000000001,621764673,1379581630,562.807,307350814,4617934675,1744.7930000000001,5577210224,138801014,134.687,68872592,827065984,1864.806
