osmid,y,x,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
5409835731,-11.979238,-76.7927513,,3,POINT (-76.79275130000001 -11.979238),1863374455,331604739,2152.73,487183431,1524458694,2499.703,483500696,4762470517,2514.8089999999997,818103399,1745790482,1036.221,318959257,1273778804,3352.8,5596732112,5409835730,158.951,,,
5409835732,-11.9805174,-76.7919309,,3,POINT (-76.7919309 -11.9805174),1863374455,331604739,1989.4430000000002,487183431,1524458694,2336.416,483500696,4762470517,2506.392,818103399,1745790482,926.129,318959257,1273778804,3189.513,5596732112,5409835730,51.257,,,
5409835733,-11.9792563,-76.7922726,,3,POINT (-76.7922726 -11.9792563),1863374455,331604739,2100.6200000000003,487183431,1524458694,2447.5930000000003,483500696,4762470517,2566.9190000000003,818103399,1745790482,984.1110000000001,318959257,1273778804,3300.6900000000005,5596732112,5409835730,196.327,,,
5409835734,-11.9791379,-76.7908263,,3,POINT (-76.79082630000001 -11.9791379),1863374455,331604739,1942.2900000000002,487183431,1524458694,2289.263,483500696,4762470517,2725.249,818103399,1745790482,825.7810000000002,318959257,1273778804,3142.36,5596732112,5409835730,323.975,,,
5409835735,-11.9800918,-76.7901017,,3,POINT (-76.79010169999999 -11.9800918),1863374455,331604739,1784.9230000000002,487183431,1524458694,2131.896,483500696,4762470517,2710.912,818103399,1745790482,721.609,318959257,1273778804,2984.993,5596732112,5409835730,255.777,,,
5418852689,-11.9850728,-76.8162486,,3,POINT (-76.81624859999999 -11.9850728),1863374455,331604739,4859.985000000001,487183431,1524458694,5206.9580000000005,483500696,4762470517,550.562,483500666,8858981459,446.77299999999997,4423758389,1273621776,724.7750000000001,5580666567,2910148551,269.014,,,
5418852691,-11.9845965,-76.8157516,,3,POINT (-76.8157516 -11.9845965),1863374455,331604739,4760.747,487183431,1524458694,5107.72,483500696,4762470517,512.6999999999999,483500666,8858981459,482.474,4423758389,1273621776,824.013,5580666562,5368817566,153.163,,,
5468829839,-11.9941735,-76.8198093,,4,POINT (-76.8198093 -11.9941735),1863374455,331604739,5719.284,487183431,1524458694,6066.257,483500696,4762470517,1315.199,483490600,1273537082,103.46600000000001,4423758389,1273621776,759.715,483490575,1273971899,51.461,,,
5468829840,-11.9932226,-76.819433,,4,POINT (-76.819433 -11.9932226),1863374455,331604739,5641.933,487183431,1524458694,5988.906,483500696,4762470517,1237.848,483490600,1273537082,44.695,4423758389,1273621776,682.364,5596759279,1570070705,225.96999999999997,,,
5468829842,-11.9925682,-76.816759,,1,POINT (-76.816759 -11.9925682),1863374455,331604739,5857.579,487183431,1524458694,6204.552,483500696,4762470517,1453.494,483490600,1273537082,407.79499999999996,4423758389,1273621776,898.0100000000001,5596759279,1570070705,489.5729999999999,,,
5468829843,-11.9958149,-76.8206625,,3,POINT (-76.8206625 -11.9958149),1863374455,331604739,5920.861,487183431,1524458694,6267.834,483500696,4762470517,1516.776,483490600,1273537082,388.787,4423758389,1273621776,961.292,483490575,1273971899,233.85999999999999,,,
5494778939,-11.9770425,-76.7690467,,4,POINT (-76.7690467 -11.9770425),4749878325,1570070883,639.83,487183431,1524458694,398.129,483500696,4762470517,5271.260000000001,487183429,1273900349,773.916,318959257,1273778804,482.542,5596729856,1273888814,303.719,,,
5494781142,-11.9785924,-76.7773063,,3,POINT (-76.77730630000001 -11.9785924),1863374455,331604739,442.341,487183431,1524458694,787.258,483500696,4762470517,4679.861,817953105,1745790471,182.97,318959257,1273778804,1435.1570000000002,487183441,1524458631,153.902,,,
5494781143,-11.977869,-76.7742884,,4,POINT (-76.7742884 -11.977869),1863374455,331604739,104.353,487183431,1524458694,449.27,483500696,4762470517,4611.787000000001,487183429,1273900349,345.24,318959257,1273778804,1115.708,5596732115,2910179090,233.95100000000002,,,
5494781145,-11.974173,-76.7664984,,2,POINT (-76.7664984 -11.974173),4749878325,1570070883,1035.539,487183431,1524458694,792.5949999999999,483500696,4762470517,5666.969000000002,487183429,1273900349,1169.625,318959257,1273778804,359.56399999999996,487185420,5368834263,310.567,,,
5494781146,-11.9737376,-76.7669812,,3,POINT (-76.7669812 -11.9737376),4749878325,1570070883,1898.2960000000003,487183431,1524458694,1522.3049999999998,483500696,4762470517,6231.732000000001,487183429,1273900349,2032.3820000000003,318959257,1273778804,1222.3210000000001,487185420,5368834263,1173.324,,,
5494781149,-11.9738451,-76.7676598,,1,POINT (-76.7676598 -11.9738451),4749878325,1570070883,1973.0910000000003,487183431,1524458694,1597.1,483500696,4762470517,6306.527000000001,487183429,1273900349,2107.1770000000006,318959257,1273778804,1297.1160000000002,487185420,5368834263,1248.1190000000001,,,
5497407270,-11.9779487,-76.7828826,,3,POINT (-76.78288259999999 -11.9779487),1863374455,331604739,1017.904,487183431,1524458694,1364.877,483500696,4762470517,3597.9269999999997,818103399,1745790482,192.92600000000002,318959257,1273778804,2227.7509999999997,5596732107,5497407270,0.0,,,
5497407271,-11.977542,-76.7829662,,3,POINT (-76.7829662 -11.977542),1863374455,331604739,1062.608,487183431,1524458694,1409.581,483500696,4762470517,3625.0389999999998,818103399,1745790482,215.00599999999997,318959257,1273778804,2272.4549999999995,5596732107,5497407270,46.128,,,
5497407272,-11.9810724,-76.7943419,,3,POINT (-76.79434190000001 -11.9810724),1863374455,331604739,2258.8580000000006,487183431,1524458694,2605.8310000000006,483500696,4762470517,2236.9770000000003,818103399,1745790482,1195.544,4423758389,1273621776,2804.0570000000002,817307804,7638908239,433.001,,,
5497407273,-11.9773492,-76.7823451,,3,POINT (-76.7823451 -11.9773492),1863374455,331604739,991.728,487183431,1524458694,1338.701,483500696,4762470517,3695.9189999999994,818103399,1745790482,285.88599999999997,318959257,1273778804,2201.575,5596732107,5497407270,117.008,,,
5497529776,-11.9876522,-76.8198627,,4,POINT (-76.8198627 -11.9876522),1863374455,331604739,5295.6269999999995,487183431,1524458694,5642.599999999999,483500696,4762470517,823.0960000000001,483500666,8858981459,219.861,4423758389,1273621776,256.016,5596759264,1273880291,208.762,,,
