osmid,highway,street_count,geometry,NN,NN_dist
1273592152,,3,POINT (-76.8159869 -11.9945313),8858981457,0.0057937785503115995
1273599734,,1,POINT (-76.7493614 -11.9747432),1524458647,0.005051969977148523
1273605081,,3,POINT (-76.8278062 -11.9939767),1745959757,0.005718259396881905
1273608529,,4,POINT (-76.7765198 -11.9793805),1273753351,0.0019665120492879913
1273612145,,3,POINT (-76.8158801 -11.987981),8858981453,0.002986297239061221
1273617905,,1,POINT (-76.7425892 -11.9683832),5401301831,0.0037801858115747602
1273618621,,3,POINT (-76.8256792 -11.9930965),5735090777,0.00525699369697103
1273621335,,4,POINT (-76.8261931 -11.9954048),1745959757,0.006951980173305958
1273621776,,3,POINT (-76.81869 -11.9891397),8858981453,5.313097025151533e-05
1273622044,,4,POINT (-76.80692380000001 -11.9855662),6277684472,0.004186697966182604
1273628043,,3,POINT (-76.8181541 -11.9853639),8858981459,0.0019004768085919474
1273629685,,3,POINT (-76.8178097 -11.9861973),8858981452,0.001973090421138775
1273631604,,3,POINT (-76.8284768 -11.9951424),1745959757,0.0047332350374729715
1273631732,,3,POINT (-76.810891 -11.9859319),9488304309,0.0015025483686026547
1273634055,,3,POINT (-76.7671022 -11.979055),1273832820,0.004160432669809662
1273634329,,4,POINT (-76.7678722 -11.9766801),1273832820,0.0016638249697611934
1273634431,,4,POINT (-76.8218356 -11.9920744),5735090777,0.001793155263774939
1273635696,,3,POINT (-76.79035450000001 -11.9790601),7120170538,0.005932514463530739
1273643326,,3,POINT (-76.8155764 -11.9857455),9488304309,0.0035414850049126805
1273650884,,4,POINT (-76.8149617 -11.9854817),9488304309,0.003052304783277781
1273669314,,4,POINT (-76.819908 -11.9937194),5735090777,0.0035336733069138895
1273670449,,3,POINT (-76.7576353 -11.9725889),1273670449,0.0
1273675181,,4,POINT (-76.7707857 -11.9780533),1524458694,0.0021183686600769087
1273681190,,3,POINT (-76.7704657 -11.979013),1524458694,0.0031300054712418987
1273684383,,3,POINT (-76.8217276 -11.9907387),5735090777,0.000655548937918649
1273688319,,3,POINT (-76.8153804 -11.9844894),9488304309,0.003907409813419639
1273690384,,3,POINT (-76.8096871 -11.9872214),9488304309,0.0025344942730152428
1273694664,,4,POINT (-76.8190445 -11.9883033),8858981451,5.6830449589424015e-05
1273694932,,3,POINT (-76.81969580000001 -11.9925705),5735090777,0.002605313518556454
1273695448,,3,POINT (-76.78623399999999 -11.9781535),7120170538,0.0020203183536147053
1273696485,,3,POINT (-76.8090839 -11.9847986),9488304309,0.0036355793623494568
1273699121,,3,POINT (-76.7466895 -11.9753302),1570071197,0.006609475794643367
1273699530,,3,POINT (-76.7698694 -11.9744586),1846395124,0.0010338725501720543
1273702377,,3,POINT (-76.8075659 -11.984203),6277684472,0.004315921427690105
1273703449,,3,POINT (-76.78510350000001 -11.9787154),7120170538,0.0007578923472353389
1273705340,,3,POINT (-76.8196404 -11.9922528),5735090777,0.0023840217532556706
1273713282,,4,POINT (-76.784493 -11.9787905),7120170538,0.00026614516715177156
1273713910,,3,POINT (-76.8160288 -11.9876356),8858981454,0.0029952836343209613
1273719824,,3,POINT (-76.7917034 -11.9794936),7684076214,0.005975350638249582
1273722411,,3,POINT (-76.81960530000001 -11.9894306),4288415545,0.0010094125271770413
1273725489,,3,POINT (-76.8255474 -11.9937217),5735090777,0.0054960338981915125
1273726824,,3,POINT (-76.816181 -11.9872822),8858981451,0.002983416249870912
1273730716,,4,POINT (-76.7664626 -11.9744879),1273730716,0.0
1273731705,,3,POINT (-76.74751809999999 -11.9767478),1524458647,0.007668332205899636
1273732038,,4,POINT (-76.8209789 -11.9944383),5735090777,0.004028083616312247
1273732199,,4,POINT (-76.7692916 -11.9762786),1846395124,0.0008756449109098658
1273732792,,3,POINT (-76.7737126 -11.9747255),1570070883,0.001986306776406173
1273738229,,4,POINT (-76.7681243 -11.9759026),1273832820,0.0008464751916045911
1273738321,,3,POINT (-76.8163823 -11.9847784),8858981459,0.0037630394111664274
1273738951,,3,POINT (-76.7860482 -11.9789626),7120170538,0.001628388712797692
1273742618,,3,POINT (-76.8256172 -11.9953161),5735090777,0.006626695122758874
1273743223,,3,POINT (-76.813253 -11.9847632),9488304309,0.0022346116732042476
1273750648,,4,POINT (-76.7819258 -11.9785028),1273750648,0.0
1273751006,,4,POINT (-76.81992049999999 -11.988685),8858981451,0.0010123778790515708
1273753351,,3,POINT (-76.777119 -11.9775075),1273753351,0.0
