osmid,ref,highway,street_count,geometry,NN,NN_dist
1273720894,,,3,POINT (-77.08413299999999 -11.8735432),1273656500,0.0010545071360687794
1273722157,,,3,POINT (-77.1163823 -11.8272406),1756231361,0.00239605253907384
1273723550,,,3,POINT (-77.0718921 -11.8639218),4054790937,0.00017285236475148464
1273727740,,,3,POINT (-77.0825837 -11.845422),1755339362,0.0009716481101701439
1273731518,,,4,POINT (-77.09672209999999 -11.8295345),1756160771,0.006110894423895861
1273732468,,,4,POINT (-77.1082966 -11.8294656),5499086523,0.004493437015248501
1273732541,,,3,POINT (-77.10683299999999 -11.8350303),1756160812,0.0017780442739152426
1273736018,,,3,POINT (-77.07889609999999 -11.8627753),6277569620,0.001416828955812729
1273736300,,,4,POINT (-77.0892757 -11.8434469),1273642147,0.0006754111118456065
1273736366,,,3,POINT (-77.1160431 -11.8275058),1756231361,0.002281496230545829
1273737698,,,4,POINT (-77.0966354 -11.8335539),1273465981,0.0022806768052478174
1273738473,,,3,POINT (-77.09654430000001 -11.8383315),1273651836,0.0005861919480855254
1273743221,,,3,POINT (-77.070009 -11.9019937),273353510,0.0022884165376935188
1273743258,,,3,POINT (-77.1129936 -11.8292477),8923606507,0.00048816220665199716
1273743856,,,3,POINT (-77.0988081 -11.8408348),1756160932,0.001002043761513885
1273750653,,,3,POINT (-77.0715234 -11.8615112),5805904105,0.0003473394449271837
1273750822,,,3,POINT (-77.07759059999999 -11.8629594),1273819524,0.0008932053795182109
1273751363,,,4,POINT (-77.0916072 -11.8399096),1756160926,0.0007062764685303375
1273752959,,,3,POINT (-77.0866698 -11.8735704),1755199094,0.0012239269790334988
1273758791,,,4,POINT (-77.0780999 -11.8634218),1273819524,0.0014470279195662288
1273767115,,,3,POINT (-77.1134297 -11.8273689),5499086523,0.001352894988528573
1273767585,,,3,POINT (-77.0733207 -11.8708689),1273696269,0.0023259427207077544
1273770079,,,3,POINT (-77.1033712 -11.8322125),1756160822,0.006113519412746189
1273775252,,,4,POINT (-77.11075409999999 -11.8302292),1756212128,0.0022075733849680882
1273787542,,,3,POINT (-77.0908743 -11.862359),5727255025,0.0002548273925601541
1273788325,,,4,POINT (-77.09758669999999 -11.8311003),1273465981,0.00489834240126076
1273788616,,,3,POINT (-77.0741999 -11.8738468),1755170198,0.001447208547514963
1273788857,,,3,POINT (-77.0991695 -11.8263953),2352423320,0.00670753766146718
1273791658,,,1,POINT (-77.0900328 -11.8574803),5727255086,0.0023802959164738774
1273791933,,,3,POINT (-77.07174759999999 -11.8714067),4077140112,0.0013967850013501286
1273803547,,,3,POINT (-77.0634553 -11.8584277),3109724432,0.004240467712414366
1273806520,,,3,POINT (-77.08921580000001 -11.8754619),1755199094,0.0036186497481806353
1273807974,,,3,POINT (-77.07485269999999 -11.8721054),1273696269,0.0003573271470279688
1273813109,,,3,POINT (-77.09965219999999 -11.8428872),1759655325,0.000936954283835491
1273819524,,,3,POINT (-77.07759369999999 -11.8620662),1273819524,0.0
1273820286,,,3,POINT (-77.0931832 -11.831425),1273606735,0.003207418440115835
1273821065,,,3,POINT (-77.1022413 -11.8377532),5589402054,0.00246719380673746
1273830037,,,3,POINT (-77.0783807 -11.8623083),1273819524,0.0008233962654788966
1273832696,,,3,POINT (-77.08376029999999 -11.8493992),1755339362,0.0049897315809543695
1273835482,,,4,POINT (-77.1052198 -11.8336852),1756160812,0.003787767628825354
1273836210,,,3,POINT (-77.0819472 -11.8590037),2953477188,0.0015914918692869855
1273837055,,,3,POINT (-77.0915464 -11.8418307),1273837055,0.0
1273837364,,,4,POINT (-77.076959 -11.865937),2460656299,6.22332708469219e-05
